Pitcher,InducedVertBreak,PitchCount
"Melfi, David",23.055811764705883,17
"Mollerus, Josh",22.76745153846154,39
"Thurman, Grayson",22.639276129032258,31
"Williamson, Noah",22.040640381679392,262
"Allegretti, Christian",21.65557174863388,183
"Mikolajchak, Nick",21.622303085106385,94
"Lebron, David",21.37426160854893,889
"Miller, Jalen",21.145065397727272,880
"McCabe, Brandon",20.98225840425532,376
"Allegretti , Christian ",20.622219520547947,146
"Stashak, Cody",20.608220402684562,149
"Engler, Scott",20.336402,490
"Plesac, Zach",20.165952671009773,307
"Vallimont, Chris",19.46408105050505,495
"Wood, Grant",19.464009047619047,21
"Campbell, Maceo",19.41879586357039,689
"Firoved, Graham",19.394050714285715,28
"Scafidi, Christian",19.370878731343282,134
"McKenna, Brian",19.328173384615386,65
"Santos, Ramon",19.320353728813558,59
