Pitcher,InducedVertBreak,PitchCount
"Case, Brad",-2.1017195297805644,319
"Ross, Dalton",0.9111839882697949,341
"Uelmen, Erich",2.041212783109405,521
"Williams, Peyton",2.6248619847328243,131
"Wilson, John",2.79707776119403,67
"Devine, Michael",3.2423100000000007,10
"Guerrieri, Taylor",3.4897964999999997,40
"Barringer, Shane",3.53473005899705,339
"Scott, Wesley",3.986973018617021,752
"Vennaro, Zach",4.689400509977827,451
"Brennan, Tim",4.764165025380711,197
"Van Gurp, Franklin",5.0463542666666665,150
"Kaminsky, Rob",5.092945869565217,46
"Benoit, Donovan",5.2571990109890105,91
"Nightingale, Seth",5.3196074285714285,35
"Emanuel, Kent",5.349469404255319,235
"Palm, Tyler",5.7706627659574465,282
"Rees, Jackson",5.880601113801452,413
"Henriquez, Jonh",5.968220724637681,69
"Stem, Craig",6.444389691011236,356
