row_number,inning,half,pitcher,batter,ball_count,strike_count,pitch,result,outs,runner_1B,runner_2B,runner_3B,score,away_score,home_score,pitcher_pitch_count,gameid,game_date,pitcher_throw,batter_hit,batter_height,batter_position,Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle,Horizontal Approach Angle,Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color,Handedness,Hit Type,Exit Velocity (mph),Launch Angle (°),Batter Name,Hit Time,Direction (°),Bearing (°),Distance (ft)
,,,Nick Wells,Jalen Miller,,,,Fly out to right field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Popup,78.33,38.88,Jalen Miller,4/25/2025 19:12,12.04,20.25,266.76
,,,Nick Wells,Frankie Tostado,,,,Single to center field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LineDrive,75.02,23.28,Frankie Tostado,4/25/2025 19:13,10.66,9.31,250.8
,,,Nick Wells,Osvaldo Tovalin,,,,Line out (L5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LineDrive,63.1,17.78,Osvaldo Tovalin,4/25/2025 19:23,–22.71,–29.35,153.74
,,,Nick Wells,Justin Connell,,,,Single to Left field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LineDrive,98.1,11.48,Justin Connell,4/25/2025 19:25,–17.73,–18.80,191.87
,,,Nick Wells,Jairus Richards,,,,Fielders Choice (4-6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GroundBall,83.65,–25.15,Jairus Richards,4/25/2025 19:27,27.2,10.95,4.9
,,,Nick Wells,Jeffrey Wehler,,,,Triple to center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LineDrive,101.27,31.32,Jeffrey Wehler,4/25/2025 19:28,7.57,14.22,397.16
,,,Nick Wells,Tomo Otosaka,,,,Flyout to left field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Popup,94.9,53.11,Tomo Otosaka,4/25/2025 19:42,–12.15,–23.22,264.73
,,,Nick Wells,Jalen Miller,,,,Groundout (e4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GroundBall,70.26,–24.50,Jalen Miller,4/25/2025 19:43,16.2,18.42,6.25
,,,Nick Wells,Alerick Soularie,,,,Lineout (L4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LineDrive,57.8,20.32,Alerick Soularie,4/25/2025 19:46,–23.27,–24.93,141.52
,,,Nick Wells,Osvaldo Tovalin,,,,Groundout (4-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GroundBall,33.36,–69.76,Osvaldo Tovalin,4/25/2025 20:02,44.47,–10.66,3.02
,,,Nick Wells,Jairus Richards,,,,Single to Right Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FlyBall,57.65,36.08,Jairus Richards,4/25/2025 20:05,34.63,40.09,176.1
