row_number,inning,half,pitcher,batter,ball_count,strike_count,pitch,result,outs,runner_1B,runner_2B,runner_3B,score,away_score,home_score,pitcher_pitch_count,gameid,game_date,pitcher_throw,batter_hit,batter_height,batter_position,Pitch Type,Release Speed (mph),Launch Angle (°),Batter Name,Hit Time,Direction (°),Bearing (°),Distance (ft),Exit Velocity (mph),Location Side (ft),Location Height (ft),Hit Type,Hit Type,Hit Time
135,4,Bottom,Keylan Killgore,Jairus Richards,0,0,Called Strike,,0,FALSE,FALSE,FALSE,0-0,0,0,54,624477,,L,L,Jun-00,OF,Four-Seam,91,,Jairus Richards,,,,,,,,,,4/29/2025
136,4,Bottom,Keylan Killgore,Jairus Richards,0,1,Ball,,0,FALSE,FALSE,FALSE,0-0,0,0,55,624477,,L,L,Jun-00,OF,ChangeUp,86,,Jairus Richards,,,,,,,,,,4/29/2025
137,4,Bottom,Keylan Killgore,Jairus Richards,1,1,Ball,,0,FALSE,FALSE,FALSE,0-0,0,0,56,624477,,L,L,Jun-00,OF,Four-Seam,92,,Jairus Richards,,,,,,,,,,4/29/2025
138,4,Bottom,Keylan Killgore,Jairus Richards,2,1,,fly out to left field,0,FALSE,FALSE,FALSE,0-0,0,0,57,624477,,L,L,Jun-00,OF,Four-Seam,92,33.26,Jairus Richards,,,,320,88,,,,,4/29/2025
139,4,Bottom,Keylan Killgore,Jeffrey Wehler,0,0,Ball,,1,FALSE,FALSE,FALSE,0-0,0,0,58,624477,,L,R,Jun-00,IF,ChangeUp,86,,Jeffrey Wehler,,,,,,,,,,4/29/2025
140,4,Bottom,Keylan Killgore,Jeffrey Wehler,1,0,Ball,,1,FALSE,FALSE,FALSE,0-0,0,0,59,624477,,L,R,Jun-00,IF,Slider,85,,Jeffrey Wehler,,,,,,,,,,4/29/2025
141,4,Bottom,Keylan Killgore,Jeffrey Wehler,2,0,Foul,,1,FALSE,FALSE,FALSE,0-0,0,0,60,624477,,L,R,Jun-00,IF,Four-Seam,92,,Jeffrey Wehler,,,,,,,,,,4/29/2025
142,4,Bottom,Keylan Killgore,Jeffrey Wehler,2,1,Called Strike,,1,FALSE,FALSE,FALSE,0-0,0,0,61,624477,,L,R,Jun-00,IF,Four-Seam,91,,Jeffrey Wehler,,,,,,,,,,4/29/2025
143,4,Bottom,Keylan Killgore,Jeffrey Wehler,2,2,,single,1,FALSE,FALSE,FALSE,0-0,0,0,62,624477,,L,R,Jun-00,IF,,86,-5.22,Jeffrey Wehler,,,,21,101,,,,,4/29/2025
144,4,Bottom,Keylan Killgore,Michael Berglund,0,0,Ball,,1,TRUE,FALSE,FALSE,0-0,0,0,63,624477,,L,L,1-Jun,C,Four-Seam,92,,Michael Berglund,,,,,,,,,,4/29/2025
145,4,Bottom,Keylan Killgore,Michael Berglund,1,0,Swinging Strike,,1,TRUE,FALSE,FALSE,0-0,0,0,64,624477,,L,L,1-Jun,C,Slider,84,,Michael Berglund,,,,,,,,,,4/29/2025
146,4,Bottom,Keylan Killgore,Michael Berglund,1,1,Ball,,1,TRUE,FALSE,FALSE,0-0,0,0,65,624477,,L,L,1-Jun,C,Slider,86,,Michael Berglund,,,,,,,,,,4/29/2025
148,4,Bottom,Keylan Killgore,Michael Berglund,2,1,,fly out,2,TRUE,FALSE,FALSE,0-0,0,0,67,624477,,L,L,1-Jun,C,Four-Seam,92,,Michael Berglund,,,,,,,,,,4/29/2025
181,5,Bottom,A.J. Alexy,Tomo Otosaka,0,0,Called Strike,,0,FALSE,FALSE,FALSE,0-0,0,0,1,624477,,R,L,11-May,OF,Four-Seam,90,,Tomo Otosaka,,,,,,,,,,4/29/2025
182,5,Bottom,A.J. Alexy,Tomo Otosaka,0,1,Foul,,0,FALSE,FALSE,FALSE,0-0,0,0,2,624477,,R,L,11-May,OF,Slider,83,,Tomo Otosaka,,,,,,,,,,4/29/2025
183,5,Bottom,A.J. Alexy,Tomo Otosaka,0,2,Ball,,0,FALSE,FALSE,FALSE,0-0,0,0,3,624477,,R,L,11-May,OF,Four-Seam,91,,Tomo Otosaka,,,,,,,,,,4/29/2025
184,5,Bottom,A.J. Alexy,Tomo Otosaka,1,2,,single,0,FALSE,FALSE,FALSE,0-0,0,0,4,624477,,R,L,11-May,OF,,85,7.4,Tomo Otosaka,,,,160,99,,,,,4/29/2025
185,5,Bottom,A.J. Alexy,Jalen Miller,0,0,Foul,,0,TRUE,FALSE,FALSE,0-0,0,0,5,624477,,R,R,Jun-00,2B,Four-Seam,91,,Jalen Miller,,,,,,,,,,4/29/2025
186,5,Bottom,A.J. Alexy,Jalen Miller,0,1,Foul,,0,TRUE,FALSE,FALSE,0-0,0,0,6,624477,,R,R,Jun-00,2B,ChangeUp,85,,Jalen Miller,,,,,,,,,,4/29/2025
187,5,Bottom,A.J. Alexy,Jalen Miller,0,2,Foul,,0,TRUE,FALSE,FALSE,0-0,0,0,7,624477,,R,R,Jun-00,2B,Slider,80,,Jalen Miller,,,,,,,,,,4/29/2025
188,5,Bottom,A.J. Alexy,Jalen Miller,0,2,,double,0,TRUE,FALSE,FALSE,0-0,0,0,8,624477,,R,R,Jun-00,2B,Four-Seam,91,17,Jalen Miller,,,,352,106,,,,,4/29/2025
189,5,Bottom,A.J. Alexy,Frankie Tostado,0,0,Ball,,0,FALSE,TRUE,FALSE,0-0,0,0,9,624477,,R,L,2-Jun,1B,Slider,86,,Frankie Tostado,,,,,,,,,,4/29/2025
190,5,Bottom,A.J. Alexy,Frankie Tostado,1,0,Ball,,0,FALSE,TRUE,FALSE,0-0,0,0,10,624477,,R,L,2-Jun,1B,Four-Seam,93,,Frankie Tostado,,,,,,,,,,4/29/2025
