row_number,inning,half,pitcher,batter,ball_count,strike_count,pitch,result,outs,runner_1B,runner_2B,runner_3B,score,away_score,home_score,pitcher_pitch_count,gameid,game_date,pitcher_throw,batter_hit,batter_height,batter_position,Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle,Horizontal Approach Angle,Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color,Handedness,Hit Type,Exit Velocity (mph),Launch Angle (°),Batter Name,Hit Time,Direction (°),Bearing (°),Distance (ft)
10,1,Bottom,Tim Brennan,Tomo Otosaka,0,0,Called Strike,,0,FALSE,FALSE,FALSE,0-0,0,0,1,624478,,R,L,11-May,OF,5.71,4/30/2025 22:39,90.21,2361,2:15,7.15,17.45,-5.85,-0.7,0.5,2.45,5.47,2.61,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
11,1,Bottom,Tim Brennan,Tomo Otosaka,0,1,Called Strike,,0,FALSE,FALSE,FALSE,0-0,0,0,2,624478,,R,L,11-May,OF,5.1,4/30/2025 22:39,80.74,2544,8:45,0.27,-14.3,-7.12,-3.17,1,2.54,5.39,2.79,Slider,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
12,1,Bottom,Tim Brennan,Tomo Otosaka,0,2,,double,0,FALSE,FALSE,FALSE,0-0,0,0,3,624478,,R,L,11-May,OF,5.33,4/30/2025 22:39,88.91,2707,10:00,1.6,-0.7,-6.03,-2.7,0.05,2.77,5.38,2.53,Slider,"hsla(0, 0%, 58%, 1)",L,LineDrive,80.82,9.17,Tomo Otosaka,4/30/2025 18:39,?37.04,?42.99,128.38
13,1,Bottom,Tim Brennan,Jalen Miller,0,0,Ball,,0,FALSE,TRUE,FALSE,0-0,0,0,4,624478,,R,R,Jun-00,2B,5.05,4/30/2025 22:40,79.47,2434,8:15,-5.78,-16.91,-8.63,-5.16,-0.87,1.99,5.55,2.59,Curveball,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
14,1,Bottom,Tim Brennan,Jalen Miller,1,0,Ball,,0,FALSE,TRUE,FALSE,0-0,0,0,5,624478,,R,R,Jun-00,2B,5.95,4/30/2025 22:40,90.47,2446,2:30,5.53,17.21,-5.21,-1.57,-0.44,3.2,5.44,2.45,Sinker,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
15,1,Bottom,Tim Brennan,Jalen Miller,2,0,Foul,,0,FALSE,TRUE,FALSE,0-0,0,0,6,624478,,R,R,Jun-00,2B,5.79,4/30/2025 22:41,89.76,2429,2:30,4.87,17.57,-6.01,0.24,1.38,2.57,5.45,2.63,Sinker,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
16,1,Bottom,Tim Brennan,Jalen Miller,2,1,Called Strike,,0,FALSE,TRUE,FALSE,0-0,0,0,7,624478,,R,R,Jun-00,2B,5.15,4/30/2025 22:41,80.21,2522,8:30,-2.58,-16.3,-7.65,-3.98,0.22,2.56,5.52,2.61,Slider,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
17,1,Bottom,Tim Brennan,Jalen Miller,2,2,,P4,0,FALSE,TRUE,FALSE,0-0,0,0,8,624478,,R,R,Jun-00,2B,4.81,4/30/2025 22:41,80.64,2492,8:15,-5.35,-18.61,-8.51,-4.28,0.21,1.9,5.5,2.71,Curveball,"hsla(0, 0%, 58%, 1)",R,Popup,80.73,66.87,Jalen Miller,4/30/2025 18:41,1.49,,
18,1,Bottom,Tim Brennan,Frankie Tostado,0,0,Foul,,1,FALSE,TRUE,FALSE,0-0,0,0,9,624478,,R,L,2-Jun,1B,5.96,4/30/2025 22:42,90.63,2471,2:30,5.55,17.37,-6.36,-1.87,-0.72,2.16,5.49,2.46,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
19,1,Bottom,Tim Brennan,Frankie Tostado,0,1,Ball,,1,FALSE,TRUE,FALSE,0-0,0,0,10,624478,,R,L,2-Jun,1B,5.39,4/30/2025 22:42,84.83,1512,3:15,0.05,12.34,-6.72,-0.13,1.43,2.59,5.4,2.58,ChangeUp,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
20,1,Bottom,Tim Brennan,Frankie Tostado,1,1,Ball,,1,FALSE,TRUE,FALSE,0-0,0,0,11,624478,,R,L,2-Jun,1B,5.42,4/30/2025 22:43,84.94,1581,3:30,-2.01,12.54,-7.48,-0.13,1.52,2.04,5.43,2.69,ChangeUp,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
21,1,Bottom,Tim Brennan,Frankie Tostado,2,1,Called Strike,,1,FALSE,TRUE,FALSE,0-0,0,0,12,624478,,R,L,2-Jun,1B,5.37,4/30/2025 22:43,86.33,2555,10:45,2.93,-1.53,-5.82,-2.21,0.66,3.13,5.51,2.6,Slider,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
22,1,Bottom,Tim Brennan,Frankie Tostado,2,2,Foul,,1,FALSE,TRUE,FALSE,0-0,0,0,13,624478,,R,L,2-Jun,1B,5.8,4/30/2025 22:43,92,2340,1:30,12.3,10.82,-4.5,-2.04,-0.43,3.42,5.7,2.36,Four-Seam,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
23,1,Bottom,Tim Brennan,Frankie Tostado,2,2,Called Strike,strike out,1,FALSE,TRUE,FALSE,0-0,0,0,14,624478,,R,L,2-Jun,1B,5.05,4/30/2025 22:44,80.47,2333,8:30,-4.05,-18.47,-6.81,-3.76,0.64,3.22,5.41,2.65,Curveball,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
24,1,Bottom,Tim Brennan,Alerick Soularie,0,0,Ball,,2,FALSE,TRUE,FALSE,0-0,0,0,15,624478,,R,R,Jun-00,OF,5.17,4/30/2025 22:44,80.97,2484,8:00,-7.5,-16.16,-8.19,-5.33,-0.84,2.18,5.37,2.83,Curveball,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
25,1,Bottom,Tim Brennan,Alerick Soularie,1,0,Called Strike,,2,FALSE,TRUE,FALSE,0-0,0,0,16,624478,,R,R,Jun-00,OF,5.92,4/30/2025 22:45,91.1,2338,2:45,2.15,14.73,-6.41,-0.82,0.58,2.35,5.5,2.57,Sinker,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
26,1,Bottom,Tim Brennan,Alerick Soularie,1,1,,fly out,2,FALSE,TRUE,FALSE,0-0,0,0,17,624478,,R,R,Jun-00,OF,6.07,4/30/2025 22:45,91.02,2366,2:45,2.69,15.02,-5.99,-1.52,-0.18,2.62,5.42,2.48,Sinker,"hsla(0, 0%, 58%, 1)",R,GroundBall,88.01,?44.45,Alerick Soularie,4/30/2025 18:45,31.04,22.12,4.15
42,2,Bottom,Tim Brennan,Jairus Richards,0,0,Ball,,0,FALSE,FALSE,FALSE,Jan-00,1,0,18,624478,,R,L,Jun-00,OF,5.62,4/30/2025 22:54,86.9,2314,1:00,2.39,0.8,-5.22,-1.68,1.12,3.66,5.45,2.75,Slider,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
43,2,Bottom,Tim Brennan,Jairus Richards,1,0,Called Strike,,0,FALSE,FALSE,FALSE,Jan-00,1,0,19,624478,,R,L,Jun-00,OF,5.95,4/30/2025 22:54,90.12,2362,2:45,2.45,17.63,-6.79,-1.79,-0.57,1.94,5.4,2.55,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
44,2,Bottom,Tim Brennan,Jairus Richards,1,1,Swinging Strike,,0,FALSE,FALSE,FALSE,Jan-00,1,0,20,624478,,R,L,Jun-00,OF,5.65,4/30/2025 22:54,86.95,2509,11:30,2.86,-0.44,-6.82,-2.78,-0.01,2.17,5.47,2.55,Slider,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
45,2,Bottom,Tim Brennan,Jairus Richards,1,2,Foul,,0,FALSE,FALSE,FALSE,Jan-00,1,0,21,624478,,R,L,Jun-00,OF,5.58,4/30/2025 22:54,85.56,1577,3:15,-0.26,12,-6.56,-0.86,0.7,2.61,5.34,2.5,ChangeUp,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
