row_number,inning,half,pitcher,batter,ball_count,strike_count,pitch,result,outs,runner_1B,runner_2B,runner_3B,score,away_score,home_score,pitcher_pitch_count,gameid,game_date,pitcher_throw,batter_hit,batter_height,batter_position,Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle,Horizontal Approach Angle,Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color,Handedness,Hit Type,Exit Velocity (mph),Launch Angle (°),Batter Name,Hit Time,Direction (°),Bearing (°),Distance (ft)
8,1,Bottom,John Gant,Tomo Otosaka,0,0,Ball,,0,FALSE,FALSE,FALSE,0-0,0,0,1,624480,,R,L,11-May,OF,5.22,5/2/2025 22:38,93.73,2601,1:45,12.64,16.88,-6.67,-1.31,-1.09,1.77,6.16,1.55,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
9,1,Bottom,John Gant,Tomo Otosaka,1,0,Foul,,0,FALSE,FALSE,FALSE,0-0,0,0,2,624480,,R,L,11-May,OF,5.37,5/2/2025 22:38,93.78,2445,1:30,17.44,16.77,-5.41,-0.25,0.29,2.47,6.12,1.92,Four-Seam,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
10,1,Bottom,John Gant,Tomo Otosaka,1,1,Ball,,0,FALSE,FALSE,FALSE,0-0,0,0,3,624480,,R,L,11-May,OF,5.37,5/2/2025 22:38,88.25,2738,12:30,6.59,1.34,-8.36,-2.82,-0.87,0.88,6.1,1.89,Slider,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
11,1,Bottom,John Gant,Tomo Otosaka,2,1,,double,0,FALSE,FALSE,FALSE,0-0,0,0,4,624480,,R,L,11-May,OF,5.22,5/2/2025 22:39,94.2,2538,1:30,16.86,16.22,-5.96,-0.7,0,1.92,6.03,2.01,Four-Seam,"hsla(0, 0%, 58%, 1)",L,LineDrive,101.14,10.17,Tomo Otosaka,5/2/2025 18:39,–14.16,–19.14,257.87
12,1,Bottom,John Gant,Jalen Miller,0,0,Ball,,0,FALSE,TRUE,FALSE,0-0,0,0,5,624480,,R,R,Jun-00,2B,5.24,5/2/2025 22:40,94.29,2444,2:00,10.6,16.65,-8.4,-0.77,-0.16,0.06,6.03,1.95,Sinker,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
13,1,Bottom,John Gant,Jalen Miller,1,0,Swinging Strike,,0,FALSE,FALSE,TRUE,0-0,0,0,6,624480,,R,R,Jun-00,2B,5.03,5/2/2025 22:40,83.14,1604,3:15,-0.41,14.88,-9.31,0.12,0.3,1.19,6.29,1.44,ChangeUp,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
14,1,Bottom,John Gant,Jalen Miller,1,1,Ball,,0,FALSE,FALSE,TRUE,0-0,0,0,7,624480,,R,R,Jun-00,2B,5.18,5/2/2025 22:41,82.97,1736,2:15,7.49,16.71,-9.96,0.24,0.39,-0.01,6.37,1.56,ChangeUp,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
15,1,Bottom,John Gant,Jalen Miller,2,1,Foul,,0,FALSE,FALSE,TRUE,0-0,0,0,8,624480,,R,R,Jun-00,2B,5.06,5/2/2025 22:41,83.29,1628,1:30,14.54,12,-5.51,-0.37,0.29,3.57,6.23,1.64,ChangeUp,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
16,1,Bottom,John Gant,Jalen Miller,2,2,,fly out,0,FALSE,FALSE,TRUE,0-0,0,0,9,624480,,R,R,Jun-00,2B,5.34,5/2/2025 22:43,95.74,2594,2:00,10.68,18.28,-5.82,-0.07,0.28,2.57,6.14,1.87,Sinker,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
17,1,Bottom,John Gant,Frankie Tostado,0,0,,double,1,FALSE,FALSE,TRUE,0-0,0,0,10,624480,,R,L,2-Jun,1B,5.23,5/2/2025 22:44,83.11,1591,3:30,-1.41,14.45,-8.76,-0.14,0.34,1.88,6.29,1.67,ChangeUp,"hsla(0, 0%, 58%, 1)",L,LineDrive,86.18,7.55,Frankie Tostado,5/2/2025 18:44,36.26,38.99,117.29
