GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
cdbe141f-85c1-4ec0-b01b-4ff613b0d959,1,f2af9e30-2d29-11f0-a858-7d14d42ede69,f4af9328-6e8b-442d-bcf2-eb9aae14c9d7,2025-05-09,19:04:23.60,2025-05-09,23:04:23.60,2025-05-09T19:04:23.6081664-04:00,2025-05-09T23:04:23.6081664Z,GAS,HP,BallCalled,Undefined,NoShift,97.38203,59.86706,153.11334,23.21859,80.58804,-53.97498,142.35554,-47.83724,254.59123,-126.1221,336.49332,16.98134,287.77689,145.62309,"Crook, Narciso",643271,"Wylie, Justin",687045,"Skender, Ethan",663690,"Martin, Richie",621006,"Watson, Kevin",675982,"Guthrie, Dalton",656495,"De La Rosa, Eric",680763,true
cdbe141f-85c1-4ec0-b01b-4ff613b0d959,2,fa319d70-2d29-11f0-a858-7d14d42ede69,ebc108d2-c401-40f8-9804-d95ea3a3c797,2025-05-09,19:04:36.08,2025-05-09,23:04:36.08,2025-05-09T19:04:36.0896000-04:00,2025-05-09T23:04:36.0896000Z,GAS,HP,FoulBallNotFieldable,Undefined,NoShift,97.03058,58.99181,152.7842,22.94134,81.90482,-54.87143,143.04012,-47.26995,253.58698,-125.41412,337.5324,21.81594,288.37204,145.68024,"Crook, Narciso",643271,"Wylie, Justin",687045,"Skender, Ethan",663690,"Martin, Richie",621006,"Watson, Kevin",675982,"Guthrie, Dalton",656495,"De La Rosa, Eric",680763,true
cdbe141f-85c1-4ec0-b01b-4ff613b0d959,3,051a6e60-2d2a-11f0-a858-7d14d42ede69,2f1c7293-78d3-44ea-9b86-b5ff25ac8cbb,2025-05-09,19:04:54.34,2025-05-09,23:04:54.34,2025-05-09T19:04:54.3487488-04:00,2025-05-09T23:04:54.3487488Z,GAS,HP,FoulBallNotFieldable,Undefined,NoShift,97.97043,58.74878,152.98569,23.03929,95.61736,-69.49459,141.2907,-48.66786,254.18026,-125.53041,336.16122,18.90104,285.49328,146.65171,"Crook, Narciso",643271,"Wylie, Justin",687045,"Skender, Ethan",663690,"Martin, Richie",621006,"Watson, Kevin",675982,"Guthrie, Dalton",656495,"De La Rosa, Eric",680763,true
cdbe141f-85c1-4ec0-b01b-4ff613b0d959,4,111f84c0-2d2a-11f0-a858-7d14d42ede69,62fb2a02-44cd-46cc-9ba7-c5c1ee20e401,2025-05-09,19:05:14.51,2025-05-09,23:05:14.51,2025-05-09T19:05:14.5140736-04:00,2025-05-09T23:05:14.5140736Z,GAS,HP,FoulBallNotFieldable,Undefined,NoShift,97.47311,60.7299,151.59094,22.905,97.08727,-72.10999,141.52847,-48.57643,255.09108,-125.88114,333.05589,19.56771,280.89514,145.27709,"Crook, Narciso",643271,"Wylie, Justin",687045,"Skender, Ethan",663690,"Martin, Richie",621006,"Watson, Kevin",675982,"Guthrie, Dalton",656495,"De La Rosa, Eric",680763,true
cdbe141f-85c1-4ec0-b01b-4ff613b0d959,5,1d90f180-2d2a-11f0-a858-7d14d42ede69,2c24df36-aff7-4fa4-9197-d754d9750920,2025-05-09,19:05:35.57,2025-05-09,23:05:35.57,2025-05-09T19:05:35.5750912-04:00,2025-05-09T23:05:35.5750912Z,GAS,HP,StrikeSwinging,Undefined,NoShift,98.27339,61.58536,151.27939,22.6832,96.91572,-72.92858,142.83525,-47.76736,255.7839,-125.28322,333.43125,21.29552,283.49872,149.39754,"Crook, Narciso",643271,"Wylie, Justin",687045,"Skender, Ethan",663690,"Martin, Richie",621006,"Watson, Kevin",675982,"Guthrie, Dalton",656495,"De La Rosa, Eric",680763,true
cdbe141f-85c1-4ec0-b01b-4ff613b0d959,6,34c77a90-2d2a-11f0-a858-7d14d42ede69,4fe18fe7-d0cf-4f8c-a3ef-bb5e01ee1454,2025-05-09,19:06:14.30,2025-05-09,23:06:14.30,2025-05-09T19:06:14.3028224-04:00,2025-05-09T23:06:14.3028224Z,GAS,HP,FoulBallNotFieldable,Undefined,NoShift,95.34083,79.00715,146.32522,44.26991,83.12444,-52.76132,149.39455,-35.13309,256.74364,-123.02121,335.20327,5.99975,286.78139,145.39104,"Crook, Narciso",643271,"Wylie, Justin",687045,"Skender, Ethan",663690,"Martin, Richie",621006,"Watson, Kevin",675982,"Guthrie, Dalton",656495,"De La Rosa, Eric",680763,true
cdbe141f-85c1-4ec0-b01b-4ff613b0d959,7,434cac20-2d2a-11f0-a858-7d14d42ede69,91c342fe-915a-48f0-900d-e38c264e328d,2025-05-09,19:06:38.68,2025-05-09,23:06:38.68,2025-05-09T19:06:38.6810368-04:00,2025-05-09T23:06:38.6810368Z,GAS,HP,FoulBallNotFieldable,Undefined,NoShift,93.66311,78.32146,144.42018,44.20485,95.9598,-61.71019,149.59842,-31.79883,253.33803,-129.81156,332.53698,5.55762,289.41196,144.39293,"Crook, Narciso",643271,"Wylie, Justin",687045,"Skender, Ethan",663690,"Martin, Richie",621006,"Watson, Kevin",675982,"Guthrie, Dalton",656495,"De La Rosa, Eric",680763,true
cdbe141f-85c1-4ec0-b01b-4ff613b0d959,8,5250aaa0-2d2a-11f0-a858-7d14d42ede69,f71dd794-144e-45d9-a925-edffeadef461,2025-05-09,19:07:03.87,2025-05-09,23:07:03.87,2025-05-09T19:07:03.8793728-04:00,2025-05-09T23:07:03.8793728Z,GAS,HP,InPlay,Out,NoShift,93.69554,78.83666,144.33094,44.17152,104.29713,-64.43892,149.18489,-30.57501,253.57531,-129.45277,335.801,2.98984,291.07894,145.01287,"Crook, Narciso",643271,"Wylie, Justin",687045,"Skender, Ethan",663690,"Martin, Richie",621006,"Watson, Kevin",675982,"Guthrie, Dalton",656495,"De La Rosa, Eric",680763,true
cdbe141f-85c1-4ec0-b01b-4ff613b0d959,9,663e7150-2d2a-11f0-a858-7d14d42ede69,67618598-335a-4883-8a9a-c7eef6c8d0f4,2025-05-09,19:07:37.31,2025-05-09,23:07:37.31,2025-05-09T19:07:37.3128192-04:00,2025-05-09T23:07:37.3128192Z,GAS,HP,StrikeSwinging,Undefined,NoShift,97.61472,59.89758,153.51221,18.07598,93.22804,-69.93269,140.489,-51.41657,253.91992,-126.52639,343.34006,20.42443,288.41931,146.57614,"Crook, Narciso",643271,"Wylie, Justin",687045,"Skender, Ethan",663690,"Martin, Richie",621006,"Watson, Kevin",675982,"Guthrie, Dalton",656495,"De La Rosa, Eric",680763,true
cdbe141f-85c1-4ec0-b01b-4ff613b0d959,10,701fe460-2d2a-11f0-a858-7d14d42ede69,219a15bb-9eae-428c-b6da-e37dbcf94536,2025-05-09,19:07:54.08,2025-05-09,23:07:54.08,2025-05-09T19:07:54.0878848-04:00,2025-05-09T23:07:54.0878848Z,GAS,HP,StrikeSwinging,Undefined,NoShift,98.07475,61.45029,153.66799,18.68604,96.10706,-72.04152,141.36493,-50.72375,256.3685,-125.97844,341.77494,21.37774,288.01793,146.32201,"Crook, Narciso",643271,"Wylie, Justin",687045,"Skender, Ethan",663690,"Martin, Richie",621006,"Watson, Kevin",675982,"Guthrie, Dalton",656495,"De La Rosa, Eric",680763,true
