Status,Season,season_id,Team,team_id,Player,player_id,R,HR,SB,R_from_100,HR_from_20,SB_from_40,stats_url
close,ALPB- 2023,34162,High Point Rockers,163529,"Aklinski, B",1750098,114,24,31,14,4,-9,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34162
close,ALPB- 2023,34162,York Revolution,3614,"Martin, D",1751055,90,19,46,-10,-1,6,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34162
close,ALPB- 2023,34162,Spire City Ghost Hounds,165441,"Dedelow, C",1751123,88,26,34,-12,6,-6,https://baseball.pointstreak.com/team_stats.html?teamid=165441&seasonid=34162
close,ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Jarrett, Z",1750944,86,21,32,-14,1,-8,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154
close,ALPB- 2022,34154,York Revolution,3614,"Stokes, T",1750727,84,19,31,-16,-1,-9,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34154
close,ALPB- 2021,34146,Gastonia Honey Hunters,163528,"Skole, J",1750580,84,23,30,-16,3,-10,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34146
close,ALPB- 2025,34102,York Revolution,3614,"Miller, J",1745941,94,16,48,-6,-4,8,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34102
close,ALPB- 2025,34102,Charleston Dirty Birds,163527,"Nelson, J",1750017,82,28,40,-18,8,0,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=34102
close,ALPB- 2024,33927,York Revolution,3614,"McDermott, M",1696439,113,18,54,13,-2,14,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=33927
close,ALPB- 2024,33927,Gastonia Baseball Club,163528,"Stowers, J",1696445,91,17,49,-9,-3,9,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=33927
close,ALPB- 2017,30757,New Britain Bees,107693,"Crouse, M",941125,86,20,40,-14,0,0,https://baseball.pointstreak.com/team_stats.html?teamid=107693&seasonid=30757
close,ALPB- 2017,30757,York Revolution,3614,"Harris, A",621744,89,23,31,-11,3,-9,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=30757
close,ALPB- 2012,12585,Lancaster Barnstormers,3613,"Lentini, F",582166,98,19,32,-2,-1,-8,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=12585
