Season,season_id,Team,team_id,Player,player_id,AB,GDP,DP_Rate,stats_url
ALPB- 2021,34146,High Point Rockers,163529,"Mitchell, J",1750253,360,0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34146
ALPB- 2025,34102,Long Island Ducks,3609,"Roller, C",1745462,360,0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34102
ALPB- 2021,34146,Southern Maryland Blue Crabs,3608,"Collier, Z",1750064,290,0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34146
ALPB- 2024,33927,Lexington Legends,163530,"Howell, K",1710926,286,0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=33927
ALPB- 2013,21966,York Revolution,3614,"x Patterson, E",434764,262,0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=21966
ALPB- 2024,33927,Lancaster Stormers,3613,"Hulsizer, N",1695452,257,0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=33927
ALPB- 2023,34162,Staten Island Ferry Hawks,163526,"Pugh, B",1711533,249,0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=163526&seasonid=34162
ALPB- 2022,34154,Kentucky Wild Health Genomes,165440,"Moorer, D",1697197,220,0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=165440&seasonid=34154
ALPB- 2022,34154,York Revolution,3614,"Rodriguez, L",1750423,210,0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34154
ALPB- 2018,31284,Lancaster Barnstormers,3613,"Sandford, D",827312,471,1,0.0021,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=31284
ALPB- 2015,29210,Sugar Land Skeeters,34136,"Almonte, D",600721,396,1,0.0025,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=29210
ALPB - 2011,540,Bridgeport Bluefish,3611,"Greenberg, A",45555,379,1,0.0026,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=540
ALPB- 2013,21966,Somerset Patriots,3604,"Stevens, B",429778,307,1,0.0033,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=21966
ALPB- 2019,34130,Long Island Ducks,3609,"Fields, D",1115672,287,1,0.0035,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34130
ALPB- 2021,34146,High Point Rockers,163529,"Russell, M",1750186,283,1,0.0035,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34146
ALPB- 2022,34154,Charleston Dirty Birds,163527,"Heath, N",1750863,261,1,0.0038,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=34154
ALPB- 2019,34130,Sugar Land Skeeters,34136,"Bernard, W",1750265,245,1,0.0041,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=34130
ALPB- 2012,12585,York Revolution,3614,"Fiorentino, J",341789,244,1,0.0041,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=12585
ALPB- 2021,34146,Lexington Legends,163530,"Sturgeon, C",1750095,243,1,0.0041,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34146
ALPB- 2019,34130,New Britain Bees,107693,"Amarista, A",1750202,236,1,0.0042,https://baseball.pointstreak.com/team_stats.html?teamid=107693&seasonid=34130
ALPB - 2010,249,Southern Maryland Blue Crabs,3608,"x Kirkland, K",45604,234,1,0.0043,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=249
ALPB- 2024,33927,York Revolution,3614,"x Kato, K",1695935,231,1,0.0043,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=33927
ALPB- 2024,33927,Long Island Ducks,3609,"Heath, N",1694121,227,1,0.0044,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=33927
ALPB- 2022,34154,Kentucky Wild Health Genomes,165440,"Johns, G",1700738,225,1,0.0044,https://baseball.pointstreak.com/team_stats.html?teamid=165440&seasonid=34154
ALPB- 2017,30757,York Revolution,3614,"Witherspoon, T",942013,447,2,0.0045,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=30757
ALPB- 2015,29210,Southern Maryland Blue Crabs,3608,"Lewis, F",790197,446,2,0.0045,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=29210
ALPB- 2023,34162,Lancaster Barnstormers,3613,"Dunston, S",1750750,222,1,0.0045,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162
ALPB- 2012,12585,Southern Maryland Blue Crabs,3608,"Benjamin, C",126812,431,2,0.0046,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=12585
ALPB- 2025,34102,Hagerstown Flying Boxcars,163525,"Arbolida, C",1765809,219,1,0.0046,https://baseball.pointstreak.com/team_stats.html?teamid=163525&seasonid=34102
ALPB- 2024,33927,Southern Maryland Blue Crabs,3608,"Quiroz, I",1697257,218,1,0.0046,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=33927
ALPB- 2024,33927,Gastonia Baseball Club,163528,"x Reinheimer, J",1696440,216,1,0.0046,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=33927
ALPB- 2015,29210,York Revolution,3614,"Nash, T",824103,215,1,0.0047,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=29210
ALPB - 2010,249,Long Island Ducks,3609,"Kovatch, B",45573,213,1,0.0047,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=249
ALPB- 2016,30100,Long Island Ducks,3609,"Vega, A",794900,413,2,0.0048,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=30100
