Status,Season,season_id,Team,team_id,Player,player_id,AVG,R,H,2B,3B,HR,RBI,BB,SO,SB,R_from_100,RBI_from_80,stats_url,AB,CS,DP,E,G,HBP,P,SF,SH
met,ALPB- 2023,34162,High Point Rockers,163529,"Aklinski, B",1750098,.286,114,129,22,5,24,102,71,105,31,14.0,22.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34162,451,3,7,1,123,17,OF,8,0
met,ALPB- 2023,34162,Gastonia Honey Hunters,163528,"Jarrett, Z",1750944,.299,101,135,25,3,25,90,61,104,28,1.0,10.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34162,452,6,11,3,118,4,LF,3,0
met,ALPB- 2022,34154,Lexington Legends,163530,"Hawkins, C",1701072,.298,110,141,23,1,48,125,82,102,6,10.0,45.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34154,473,0,12,5,127,7,LF,2,0
met,ALPB- 2022,34154,Kentucky Wild Health Genomes,165440,"Becker, L",1750826,.308,107,149,30,5,23,98,71,117,14,7.0,18.0,https://baseball.pointstreak.com/team_stats.html?teamid=165440&seasonid=34154,484,7,6,19,123,2,2B,8,1
met,ALPB- 2021,34146,Lexington Legends,163530,"Aklinski, B",1750098,.290,105,122,21,3,28,105,67,108,10,5.0,25.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34146,420,1,4,14,116,2,OF,3,0
met,ALPB- 2021,34146,Lexington Legends,163530,"Pugh, T",1750086,.323,102,122,26,3,26,107,68,103,13,2.0,27.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34146,378,3,6,2,117,8,CF,2,0
met,ALPB- 2021,34146,Lancaster Barnstormers,3613,"Gindl, C",1111228,.291,106,131,23,2,34,91,76,91,3,6.0,11.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34146,450,2,3,5,115,4,LF,4,2
met,ALPB- 2019,34130,York Revolution,3614,"Nash, T",824103,.294,107,143,35,1,41,100,106,122,0,7.0,20.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34130,486,0,14,4,137,7,1B,5,0
met,ALPB- 2014,28163,Long Island Ducks,3609,"Ford, L",127677,.347,100,189,40,2,15,95,53,65,8,0.0,15.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=28163,544,0,18,0,140,16,OF,8,1
close,ALPB- 2023,34162,Lancaster Barnstormers,3613,"Cordero, A",1750753,.339,83,166,40,0,15,116,32,73,12,-17.0,36.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,490,3,19,12,121,6,IF,12,0
close,ALPB- 2023,34162,Spire City Ghost Hounds,165441,"Cabrera, L",1728741,.294,91,137,27,0,34,100,52,122,20,-9.0,20.0,https://baseball.pointstreak.com/team_stats.html?teamid=165441&seasonid=34162,466,8,8,3,118,4,RF,4,0
close,ALPB- 2023,34162,Lexington Counter Clocks,163530,"Dillard, T",1751196,.255,83,108,25,0,39,98,101,124,8,-17.0,18.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34162,423,2,9,5,123,2,C,4,0
close,ALPB- 2023,34162,York Revolution,3614,"Mendoza, A",1751066,.346,90,148,41,3,15,87,70,80,23,-10.0,7.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34162,428,3,10,13,115,8,3B,6,0
close,ALPB- 2023,34162,Long Island Ducks,3609,"Travis, S",1750668,.303,82,138,24,1,19,92,43,49,1,-18.0,12.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34162,456,3,10,11,119,4,1B,5,0
