Status,Season,season_id,Team,team_id,Player,player_id,AVG,R,H,2B,3B,HR,RBI,BB,SO,SB,HR_from_20,SB_from_40,stats_url,AB,CS,DP,E,G,HBP,P,SF,SH
met,ALPB- 2025,34102,Charleston Dirty Birds,163527,"Nelson, J",1750017,.317,82,126,21,0,28,75,53,90,40,8.0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=34102,397,8,9,6,99,7,IF,4,0
met,ALPB- 2017,30757,New Britain Bees,107693,"Crouse, M",941125,.261,86,128,18,8,20,68,52,160,40,0.0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=107693&seasonid=30757,491,14,8,5,133,6,OF,2,2
close,ALPB- 2023,34162,York Revolution,3614,"Martin, D",1751055,.282,90,120,23,2,19,82,56,119,46,-1.0,6.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34162,425,2,10,3,117,2,CF,8,2
close,ALPB- 2023,34162,Spire City Ghost Hounds,165441,"Dedelow, C",1751123,.281,88,114,25,4,26,78,61,132,34,6.0,-6.0,https://baseball.pointstreak.com/team_stats.html?teamid=165441&seasonid=34162,406,5,4,4,115,7,LF,7,0
close,ALPB- 2023,34162,High Point Rockers,163529,"Aklinski, B",1750098,.286,114,129,22,5,24,102,71,105,31,4.0,-9.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34162,451,3,7,1,123,17,OF,8,0
close,ALPB- 2023,34162,Lexington Counter Clocks,163530,"Encarnacion, J",1750426,.270,67,130,19,3,17,63,26,131,37,-3.0,-3.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34162,481,5,5,5,122,1,3B,4,0
close,ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,"Sundberg, J",1750711,.239,82,108,22,3,11,51,92,127,36,-9.0,-4.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,451,8,4,2,121,5,CF,0,2
close,ALPB- 2023,34162,Gastonia Honey Hunters,163528,"Reinheimer, J",1750918,.310,62,75,17,2,11,29,35,44,30,-9.0,-10.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34162,242,2,2,3,62,2,SS,0,0
close,ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Reinheimer, J",1750918,.281,89,134,34,4,12,69,60,97,55,-8.0,15.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154,477,9,8,18,120,6,SS,8,1
close,ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Jarrett, Z",1750944,.313,86,130,22,3,21,84,40,86,32,1.0,-8.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154,416,7,5,4,116,12,LF,8,0
close,ALPB- 2022,34154,Lexington Legends,163530,"Ervin, P",1750772,.275,75,103,18,0,18,59,71,100,33,-2.0,-7.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34154,375,6,9,4,109,8,LF,2,0
close,ALPB- 2022,34154,York Revolution,3614,"Stokes, T",1750727,.274,84,119,27,4,19,62,56,104,31,-1.0,-9.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34154,435,4,10,2,113,9,LF,5,0
close,ALPB- 2021,34146,Gastonia Honey Hunters,163528,"Skole, J",1750580,.270,84,99,21,2,23,85,80,122,30,3.0,-10.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34146,366,5,3,7,116,8,CF,8,0
close,ALPB- 2019,34130,York Revolution,3614,"Dotel, W",1745092,.313,71,150,19,5,13,79,31,130,34,-7.0,-6.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34130,480,10,21,7,125,8,OF,5,6
close,ALPB- 2025,34102,York Revolution,3614,"Miller, J",1745941,.308,94,124,35,2,16,71,37,58,48,-4.0,8.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34102,402,6,3,5,95,4,2B,4,1
close,ALPB- 2025,34102,Southern Maryland Blue Crabs,3608,"Loftin, J",1743141,.270,67,93,15,0,11,47,36,87,49,-9.0,9.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34102,344,17,9,10,92,23,U,2,1
close,ALPB- 2025,34102,Gastonia Ghost Peppers,163528,"De La Rosa, E",1748840,.277,63,78,16,8,16,62,45,121,37,-4.0,-3.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34102,282,4,2,5,85,7,OF,4,2
close,ALPB- 2025,34102,Long Island Ducks,3609,"Roller, C",1745462,.253,80,91,19,6,13,40,48,106,31,-7.0,-9.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34102,360,6,0,1,89,10,OF,4,0
close,ALPB- 2025,34102,Gastonia Ghost Peppers,163528,"x Watson Jr., K",1748844,.220,66,63,12,2,12,44,54,84,32,-8.0,-8.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34102,286,4,2,2,79,8,OF,1,2
close,ALPB- 2024,33927,York Revolution,3614,"Martin Jr, R",1695939,.326,108,131,26,3,12,57,68,88,78,-8.0,38.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=33927,402,3,10,3,112,7,OF,5,6
close,ALPB- 2024,33927,York Revolution,3614,"McDermott, M",1696439,.309,113,157,26,7,18,66,39,115,54,-2.0,14.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=33927,508,10,4,9,120,17,IF,2,5
close,ALPB- 2024,33927,Charleston Dirty Birds,163527,"Carr, J",1696566,.294,97,127,26,2,14,69,57,87,58,-6.0,18.0,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=33927,432,5,8,3,115,9,OF,5,0
close,ALPB- 2024,33927,Gastonia Baseball Club,163528,"Stowers, J",1696445,.301,91,120,24,2,17,73,54,75,49,-3.0,9.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=33927,399,7,13,1,105,9,OF,6,0
close,ALPB- 2024,33927,Lancaster Stormers,3613,"Dunston Jr., S",1695449,.264,71,84,18,5,14,49,55,82,49,-6.0,9.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=33927,318,4,3,2,90,8,OF,1,0
close,ALPB- 2024,33927,Lancaster Stormers,3613,"Proctor, C",1695444,.258,72,105,18,3,12,64,42,90,46,-8.0,6.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=33927,407,5,5,9,110,3,C,4,1
close,ALPB- 2024,33927,Southern Maryland Blue Crabs,3608,"Hill, A",1697260,.231,72,92,18,4,20,68,65,109,38,0.0,-2.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=33927,398,3,9,20,121,6,SS,5,1
close,ALPB- 2024,33927,Long Island Ducks,3609,"Encarnacion, J",1743134,.253,63,75,12,2,17,56,29,90,39,-3.0,-1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=33927,297,5,2,4,78,2,OF,1,0
close,ALPB- 2024,33927,Gastonia Baseball Club,163528,"Watson Jr, K",1696446,.302,69,111,17,4,13,66,55,60,40,-7.0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=33927,368,7,5,4,98,8,OF,2,0
close,ALPB- 2024,33927,Gastonia Baseball Club,163528,"De La Rosa, E",1696441,.225,59,83,15,5,14,53,41,145,36,-6.0,-4.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=33927,369,10,3,4,109,7,OF,1,0
close,ALPB- 2024,33927,York Revolution,3614,"x Casey, D",1695938,.348,78,112,21,2,16,96,31,71,33,-4.0,-7.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=33927,322,3,9,2,79,2,OF,9,0
close,ALPB- 2024,33927,Charleston Dirty Birds,163527,"x Cancel, G",1696210,.282,50,55,10,1,17,39,43,50,30,-3.0,-10.0,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=33927,195,0,4,4,53,1,IF,0,0
close,ALPB- 2024,33927,Lexington Legends,163530,"Howell, K",1710926,.276,58,79,15,3,14,37,37,71,31,-6.0,-9.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=33927,286,4,0,0,73,6,OF,1,2
close,ALPB- 2024,33927,Staten Island Ferry Hawks,163526,"Johnson, K",1696399,.308,93,132,24,4,11,62,32,83,32,-9.0,-8.0,https://baseball.pointstreak.com/team_stats.html?teamid=163526&seasonid=33927,429,5,9,2,112,20,OF,3,5
close,ALPB- 2018,31284,Sugar Land Skeeters,34136,"Giansanti, A",1101035,.295,79,137,22,1,17,58,43,79,35,-3.0,-5.0,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=31284,465,6,8,13,122,3,U,1,4
close,ALPB- 2018,31284,Long Island Ducks,3609,"Valdespin, J",1239366,.338,94,154,18,7,12,55,46,58,30,-8.0,-10.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=31284,456,5,16,15,113,2,IF,2,5
close,ALPB- 2017,30757,Sugar Land Skeeters,34136,"Prince, J",960120,.263,75,124,24,1,11,52,85,103,55,-9.0,15.0,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=30757,471,12,7,14,127,2,IF,5,7
close,ALPB- 2017,30757,York Revolution,3614,"Harris, A",621744,.315,89,145,28,1,23,73,48,95,31,3.0,-9.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=30757,460,13,6,12,114,3,OF,3,2
close,ALPB- 2013,21966,Southern Maryland Blue Crabs,3608,"Smith, S",440812,.253,73,112,17,4,13,50,36,112,36,-7.0,-4.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=21966,443,8,5,2,122,7,OF,4,9
close,ALPB- 2012,12585,Camden Riversharks,3610,"Walker, C",289443,.237,72,121,16,5,12,44,50,112,42,-8.0,2.0,https://baseball.pointstreak.com/team_stats.html?teamid=3610&seasonid=12585,510,11,6,4,125,1,OF,0,9
close,ALPB- 2012,12585,Lancaster Barnstormers,3613,"Lentini, F",582166,.319,98,172,36,2,19,92,30,83,32,-1.0,-8.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=12585,539,8,19,5,136,7,OF,6,1
