Status,Season,season_id,Team,team_id,Player,player_id,AVG,R,H,2B,3B,HR,RBI,BB,SO,SB,HR_from_20,SO_under_cap_60,stats_url,AB,CS,DP,E,G,HBP,P,SF,SH
met,ALPB- 2023,34162,Spire City Ghost Hounds,165441,"Read, R",1751113,.305,42,93,15,0,20,53,16,41,0,0.0,19.0,https://baseball.pointstreak.com/team_stats.html?teamid=165441&seasonid=34162,305,0,15,3,81,8,C,4,0
met,ALPB- 2022,34154,Lancaster Barnstormers,3613,"Dugan, K",1745222,.326,58,77,16,0,23,69,33,50,7,3.0,10.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34154,236,1,3,2,62,7,RF,2,0
met,ALPB- 2021,34146,High Point Rockers,163529,"Cardullo, S",1750033,.289,73,94,20,0,20,76,57,46,16,0.0,14.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34146,325,2,9,12,91,18,1B,7,1
met,ALPB- 2021,34146,Gastonia Honey Hunters,163528,"Rogers, J",1264796,.286,80,97,11,1,20,73,68,48,7,0.0,12.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34146,339,1,11,8,95,6,1B,3,0
met,ALPB- 2025,34102,Lexington Legends,163530,"Whalen, B",1744113,.332,68,100,29,1,21,75,56,39,26,1.0,21.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34102,301,5,3,16,83,3,U,5,0
met,ALPB- 2025,34102,Lexington Legends,163530,"Terry, C",1744116,.322,65,107,26,0,21,80,32,42,4,1.0,18.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34102,332,2,10,3,88,9,IF,3,0
met,ALPB- 2017,30757,Lancaster Barnstormers,3613,"x Hobson, K",1113281,.326,42,78,9,1,21,61,29,42,1,1.0,18.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=30757,239,1,6,3,63,5,1B,2,0
met,ALPB- 2013,21966,Southern Maryland Blue Crabs,3608,"x Hankerd, C",440810,.322,56,97,26,2,22,61,25,50,1,2.0,10.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=21966,301,0,6,2,81,15,OF,5,0
met,ALPB- 2012,12585,York Revolution,3614,"Perez, A",288351,.314,86,161,35,3,23,86,45,55,4,3.0,5.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=12585,512,1,12,13,132,5,2B,3,1
met,ALPB - 2011,540,York Revolution,3614,"Nowak, C",151949,.330,67,98,19,0,25,66,28,52,7,5.0,8.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=540,297,1,6,5,84,11,IF,5,0
met,ALPB - 2010,249,Lancaster Barnstormers,3613,"Nelson, B",45649,.288,84,158,28,0,22,91,36,43,4,2.0,17.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=249,549,7,14,28,135,1,SS,6,7
