Status,Season,season_id,Team,team_id,Player,player_id,AVG,R,H,2B,3B,HR,RBI,BB,SO,SB,BB_from_80,HR_from_20,stats_url,AB,CS,DP,E,G,HBP,P,SF,SH
met,ALPB- 2023,34162,Lexington Counter Clocks,163530,"Dillard, T",1751196,.255,83,108,25,0,39,98,101,124,8,21.0,19.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34162,423,2,9,5,123,2,C,4,0
met,ALPB- 2022,34154,York Revolution,3614,"Rodriguez, N",1750414,.249,78,103,16,0,26,82,108,160,0,28.0,6.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34154,413,0,11,5,124,11,1B,4,0
met,ALPB- 2022,34154,Lexington Legends,163530,"Hawkins, C",1701072,.298,110,141,23,1,48,125,82,102,6,2.0,28.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34154,473,0,12,5,127,7,LF,2,0
met,ALPB- 2021,34146,Gastonia Honey Hunters,163528,"Skole, J",1750580,.270,84,99,21,2,23,85,80,122,30,0.0,3.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34146,366,5,3,7,116,8,CF,8,0
met,ALPB- 2019,34130,York Revolution,3614,"Nash, T",824103,.294,107,143,35,1,41,100,106,122,0,26.0,21.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34130,486,0,14,4,137,7,1B,5,0
met,ALPB- 2019,34130,Lancaster Barnstormers,3613,"Gindl, C",1111228,.291,82,143,32,3,22,91,83,100,2,3.0,2.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34130,492,1,7,3,137,3,LF,9,1
met,ALPB- 2024,33927,Charleston Dirty Birds,163527,"Barnum, K",1696568,.301,90,141,24,0,41,115,82,142,0,2.0,21.0,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=33927,468,0,17,4,120,0,1B,4,0
met,ALPB- 2017,30757,Long Island Ducks,3609,"Krauss, M",1111694,.282,75,121,30,2,21,84,83,96,4,3.0,1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=30757,429,1,9,3,126,5,OF,5,0
met,ALPB- 2012,12585,Camden Riversharks,3610,"Burgamy, B",1127208,.294,84,134,29,1,20,81,80,92,8,0.0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3610&seasonid=12585,456,4,9,18,126,10,3B,2,0
close,ALPB- 2023,34162,York Revolution,3614,"Rodriguez, N",1750414,.253,54,102,22,2,24,82,73,152,0,-7.0,4.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34162,403,1,10,3,117,4,1B,3,0
close,ALPB- 2023,34162,Charleston Dirty Birds,163527,"Smith, J",1750770,.330,93,140,31,2,22,64,73,74,24,-7.0,2.0,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=34162,424,4,6,5,116,5,LF,5,0
close,ALPB- 2023,34162,Gastonia Honey Hunters,163528,"Davidson, B",1748838,.267,59,71,14,1,25,78,70,123,3,-10.0,5.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34162,266,2,5,3,87,0,RF,0,0
close,ALPB- 2023,34162,High Point Rockers,163529,"Aklinski, B",1750098,.286,114,129,22,5,24,102,71,105,31,-9.0,4.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34162,451,3,7,1,123,17,OF,8,0
close,ALPB- 2023,34162,Southern Maryland Blue Crabs,3608,"Hobson, K",1750300,.185,56,75,14,0,17,48,71,125,5,-9.0,-3.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34162,405,2,6,8,119,5,1B,2,0
close,ALPB- 2022,34154,Kentucky Wild Health Genomes,165440,"Shaw, C",1750051,.264,77,110,28,1,17,72,94,142,0,14.0,-3.0,https://baseball.pointstreak.com/team_stats.html?teamid=165440&seasonid=34154,416,1,3,9,117,5,LF,5,0
close,ALPB- 2022,34154,Long Island Ducks,3609,"Romero, D",1234788,.287,57,116,24,0,17,80,89,61,1,9.0,-3.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34154,404,0,9,16,118,10,3B,9,0
close,ALPB- 2022,34154,York Revolution,3614,"Franco, C",1750343,.298,79,110,28,0,30,95,72,88,0,-8.0,10.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34154,369,0,11,15,101,3,1B,1,0
close,ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Skole, J",1750580,.255,78,94,18,4,23,61,79,119,26,-1.0,3.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154,369,8,3,2,118,1,CF,1,1
close,ALPB- 2022,34154,Southern Maryland Blue Crabs,3608,"Walker, J",1750706,.236,75,98,25,2,17,64,83,127,15,3.0,-3.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34154,416,1,8,10,122,15,3B,6,0
close,ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Rosa, J",1750930,.308,88,141,35,7,21,92,76,118,16,-4.0,1.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154,458,11,4,21,122,9,2B,5,0
close,ALPB- 2022,34154,Kentucky Wild Health Genomes,165440,"Becker, L",1750826,.308,107,149,30,5,23,98,71,117,14,-9.0,3.0,https://baseball.pointstreak.com/team_stats.html?teamid=165440&seasonid=34154,484,7,6,19,123,2,2B,8,1
close,ALPB- 2022,34154,High Point Rockers,163529,"Aklinski, B",1750098,.268,93,120,33,3,19,74,73,89,20,-7.0,-1.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34154,448,4,11,4,121,13,OF,4,0
close,ALPB- 2022,34154,Lexington Legends,163530,"Ervin, P",1750772,.275,75,103,18,0,18,59,71,100,33,-9.0,-2.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34154,375,6,9,4,109,8,LF,2,0
close,ALPB- 2021,34146,Gastonia Honey Hunters,163528,"Sale, J",1750579,.284,94,118,22,2,34,104,79,96,13,-1.0,14.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34146,415,4,7,24,120,2,LF,5,0
close,ALPB- 2021,34146,Lancaster Barnstormers,3613,"Gindl, C",1111228,.291,106,131,23,2,34,91,76,91,3,-4.0,14.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34146,450,2,3,5,115,4,LF,4,2
close,ALPB- 2021,34146,York Revolution,3614,"Rodriguez, N",1750414,.316,65,98,14,0,25,81,72,94,0,-8.0,5.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34146,310,0,5,6,91,7,1B,6,0
close,ALPB- 2019,34130,High Point Rockers,163529,"Cardullo, S",1750033,.266,96,136,36,3,22,70,76,94,20,-4.0,2.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34130,511,5,10,3,138,17,1B,4,1
close,ALPB- 2024,33927,Gastonia Baseball Club,163528,"Wylie, J",1697020,.249,93,106,20,2,34,84,76,105,25,-4.0,14.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=33927,426,6,14,8,120,3,IF,6,2
close,ALPB- 2024,33927,Gastonia Baseball Club,163528,"Gatewood, J",1696437,.295,87,126,34,0,33,121,70,92,13,-10.0,13.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=33927,427,4,5,8,118,4,IF,5,0
close,ALPB- 2024,33927,High Point Rockers,163529,"Owings, C",1697000,.276,70,126,27,3,19,94,79,99,5,-1.0,-1.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=33927,457,1,8,13,124,2,IF,12,0
close,ALPB- 2018,31284,Lancaster Barnstormers,3613,"Gailen, B",290236,.282,80,125,18,0,28,91,72,82,14,-8.0,8.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=31284,444,10,7,3,126,2,OF,8,0
close,ALPB- 2016,30100,Lancaster Barnstormers,3613,"Bell, J",956607,.296,71,141,29,1,19,87,71,105,1,-9.0,-1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=30100,476,0,15,14,131,2,IF,6,0
close,ALPB- 2012,12585,York Revolution,3614,"Nowak, C",151949,.285,81,132,28,1,34,107,71,87,10,-9.0,14.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=12585,463,3,9,18,129,11,IF,3,0
close,ALPB- 2012,12585,Southern Maryland Blue Crabs,3608,"Benjamin, C",126812,.260,61,112,24,6,21,85,70,91,4,-10.0,1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=12585,431,1,2,7,117,5,LF,7,5
close,ALPB - 2010,249,York Revolution,3614,"Grimes, S",45506,.312,138,162,32,8,17,59,84,99,28,4.0,-3.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=249,520,9,4,10,132,24,OF,1,3
close,ALPB - 2010,249,Southern Maryland Blue Crabs,3608,"Crozier, E",45601,.269,68,115,23,9,21,69,74,126,9,-6.0,1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=249,427,4,5,14,119,2,1B,7,0
