Status,Season,season_id,Team,team_id,Player,player_id,AVG,R,H,2B,3B,HR,RBI,BB,SO,SB,AVG_from_0.33,HR_from_15,stats_url,AB,CS,DP,E,G,HBP,P,SF,SH
met,ALPB- 2023,34162,Charleston Dirty Birds,163527,"Smith, J",1750770,.330,93,140,31,2,22,64,73,74,24,0.0,7.0,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=34162,424,4,6,5,116,5,LF,5,0
met,ALPB- 2023,34162,Gastonia Honey Hunters,163528,"Franco, C",1750343,.374,50,79,14,0,17,59,49,47,1,0.044,2.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34162,211,0,4,3,61,0,1B,6,0
met,ALPB- 2023,34162,Gastonia Honey Hunters,163528,"Escarra, J",1751163,.348,40,57,14,0,15,41,24,17,1,0.018,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34162,164,0,3,3,41,1,C,2,0
met,ALPB- 2023,34162,York Revolution,3614,"Mendoza, A",1751066,.346,90,148,41,3,15,87,70,80,23,0.016,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34162,428,3,10,13,115,8,3B,6,0
met,ALPB- 2023,34162,Lancaster Barnstormers,3613,"Cordero, A",1750753,.339,83,166,40,0,15,116,32,73,12,0.009,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34162,490,3,19,12,121,6,IF,12,0
met,ALPB- 2022,34154,Lancaster Barnstormers,3613,"Cordero, A",1750753,.339,87,184,35,5,18,118,28,65,8,0.009,3.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34154,542,6,21,9,131,6,IF,7,0
met,ALPB- 2021,34146,York Revolution,3614,"Mesa, M",1750339,.330,67,110,25,1,18,79,34,76,0,0.0,3.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34146,333,0,11,4,92,3,LF,7,0
met,ALPB- 2021,34146,York Revolution,3614,"Castro, C",1750416,.352,47,92,12,3,17,59,16,50,0,0.022,2.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34146,261,0,9,6,70,4,C,5,0
met,ALPB- 2019,34130,York Revolution,3614,"Tejeda, I",951080,.338,86,169,40,0,23,87,55,73,1,0.008,8.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34130,500,1,19,6,131,2,C,7,0
met,ALPB- 2025,34102,Lexington Legends,163530,"Whalen, B",1744113,.332,68,100,29,1,21,75,56,39,26,0.002,6.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34102,301,5,3,16,83,3,U,5,0
met,ALPB- 2025,34102,High Point Rockers,163529,"Edwards, E",1748853,.343,33,46,8,1,15,49,24,35,3,0.013,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=163529&seasonid=34102,134,0,1,1,34,2,IF,1,0
