Season,season_id,Team,team_id,Player,player_id,SB,CS,Attempts,SB_Rate,stats_url
ALPB- 2024,33927,York Revolution,3614,"Martin Jr, R",1695939,78,3,81,0.963,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=33927
ALPB- 2024,33927,Lancaster Stormers,3613,"Dunston Jr., S",1695449,49,4,53,0.9245,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=33927
ALPB- 2024,33927,Charleston Dirty Birds,163527,"Carr, J",1696566,58,5,63,0.9206,https://baseball.pointstreak.com/team_stats.html?teamid=163527&seasonid=33927
ALPB- 2016,30100,Long Island Ducks,3609,"Lentini, F",582166,51,5,56,0.9107,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=30100
ALPB- 2024,33927,Lancaster Stormers,3613,"Proctor, C",1695444,46,5,51,0.902,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=33927
ALPB- 2025,34102,York Revolution,3614,"Miller, J",1745941,48,6,54,0.8889,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34102
ALPB- 2018,31284,Lancaster Barnstormers,3613,"Noel, R",1097506,53,7,60,0.8833,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=31284
ALPB- 2022,34154,Southern Maryland Blue Crabs,3608,"Sundberg, J",1750711,45,6,51,0.8824,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34154
ALPB- 2019,34130,Sugar Land Skeeters,34136,"Noel, J",1750267,45,6,51,0.8824,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=34130
ALPB- 2019,34130,Lancaster Barnstormers,3613,"Sandford, C",1750089,74,10,84,0.881,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34130
ALPB- 2024,33927,Gastonia Baseball Club,163528,"Stowers, J",1696445,49,7,56,0.875,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=33927
ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Reinheimer, J",1750918,55,9,64,0.8594,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154
ALPB - 2010,249,Somerset Patriots,3604,"Lydon, W",46193,66,11,77,0.8571,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=249
ALPB- 2016,30100,New Britain Bees,107693,"Crouse, M",941125,51,9,60,0.85,https://baseball.pointstreak.com/team_stats.html?teamid=107693&seasonid=30100
ALPB- 2019,34130,New Britain Bees,107693,"Ford, D",1256788,50,9,59,0.8475,https://baseball.pointstreak.com/team_stats.html?teamid=107693&seasonid=34130
ALPB- 2024,33927,York Revolution,3614,"McDermott, M",1696439,54,10,64,0.8438,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=33927
ALPB- 2023,34162,York Revolution,3614,"Otosaka, T",1744297,42,9,51,0.8235,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34162
ALPB- 2021,34146,York Revolution,3614,"Sandford, C",1750089,55,12,67,0.8209,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=34146
ALPB- 2017,30757,Sugar Land Skeeters,34136,"Prince, J",960120,55,12,67,0.8209,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=30757
ALPB- 2014,28163,York Revolution,3614,"Valdez, W",584385,55,12,67,0.8209,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=28163
ALPB- 2015,29210,Bridgeport Bluefish,3611,"Dotel, W",1260729,45,10,55,0.8182,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=29210
ALPB - 2010,249,Bridgeport Bluefish,3611,"Greenberg, A",45555,44,11,55,0.8,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=249
ALPB- 2022,34154,Gastonia Honey Hunters,163528,"Hampton, R",1750605,65,17,82,0.7927,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34154
ALPB- 2012,12585,Camden Riversharks,3610,"Walker, C",289443,42,11,53,0.7925,https://baseball.pointstreak.com/team_stats.html?teamid=3610&seasonid=12585
ALPB- 2017,30757,Lancaster Barnstormers,3613,"Sandford, D",827312,45,13,58,0.7759,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=30757
ALPB- 2018,31284,Lancaster Barnstormers,3613,"Sandford, D",827312,82,25,107,0.7664,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=31284
ALPB - 2010,249,Newark Bears,3612,"Jones, K",46323,40,13,53,0.7547,https://baseball.pointstreak.com/team_stats.html?teamid=3612&seasonid=249
ALPB - 2010,249,Camden Riversharks,3610,"Walker, C",45798,55,18,73,0.7534,https://baseball.pointstreak.com/team_stats.html?teamid=3610&seasonid=249
ALPB- 2025,34102,Southern Maryland Blue Crabs,3608,"Loftin, J",1743141,49,17,66,0.7424,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34102
ALPB- 2017,30757,New Britain Bees,107693,"Crouse, M",941125,40,14,54,0.7407,https://baseball.pointstreak.com/team_stats.html?teamid=107693&seasonid=30757
ALPB- 2013,21966,Sugar Land Skeeters,34136,"Godwin, A",442671,50,18,68,0.7353,https://baseball.pointstreak.com/team_stats.html?teamid=34136&seasonid=21966
ALPB- 2018,31284,New Britain Bees,107693,"Ford, D",1256788,36,14,50,0.72,https://baseball.pointstreak.com/team_stats.html?teamid=107693&seasonid=31284
ALPB- 2012,12585,Lancaster Barnstormers,3613,"Godwin, A",290237,39,16,55,0.7091,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=12585
