#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore
1,Apr 256:36 PM,Staten Island,Hagerstown,6-1,"Dunaway, M","Richardson, D",final|
1,Apr 256:40 PM,High Point,S Maryland,6-4,"Edwards, J","Miller, J",final|
1,Apr 256:40 PM,Lancaster,Long Island,9-1,"Skirrow, N","Gant, J",final|
1,Apr 257:00 PM,York,Gastonia,,,,Gastonia
1,Apr 257:03 PM,Charleston,Lexington,1-2,"Laio, N","McGowin, K",final|
,Apr 257:10 PM,York,Gastonia,5-4,"Churchill, I","Hasler, K",final|
2,Apr 266:03 PM,Staten Island,Hagerstown,13-3,"Oxford, B","Martinez, J",final|
2,Apr 266:34 PM,Lancaster,Long Island,5-13,"Plesac, Z","Swarmer, M",final|
2,Apr 267:02 PM,York,Gastonia,10-9,"Robinson, C","Myatt, T",final|
2,Apr 267:05 PM,Charleston,Lexington,5-9,"Wicklander, P","Sampson, K",final|
2,Apr 267:54 PM,High Point,S Maryland,14-4,"Scolaro, J","Kahaloa, I",final|
3,Apr 271:36 PM,Lancaster,Long Island,3-2,"Engler, S","Washington, M",final|
3,Apr 272:04 PM,Staten Island,Hagerstown,5-8,"Corcino, D","Sigman, J",final|
3,Apr 272:06 PM,Charleston,Lexington,3-17,"Eastman, C","Endersby, J",final|
3,Apr 272:06 PM,High Point,S Maryland,17-10,"Backman, B","Thurman, A",final|
3,Apr 274:01 PM,York,Gastonia,11-3,"Pace, F","Grey, C",final|
4,Apr 2812:31 PM,High Point,Gastonia,3-0,"Solter, M","Smith, K",final|
5,Apr 282:49 PM,High Point,Gastonia,7-4,"Frisbee, M","Scott, A",final|
6,Apr 296:33 PM,High Point,Gastonia,2-11,"Hennen, R","Guerrieri, T",final|
4,Apr 296:34 PM,Staten Island,Long Island,12-10,"Baker, R","Williams, P",final|
4,Apr 296:39 PM,Charleston,S Maryland,6-3,"Meza, C","Campbell, M",final|
1,Apr 296:48 PM,Lancaster,York,4-9,"Galdoni, L","Killgore, K",final|
4,Apr 298:36 PM,Hagerstown,Lexington,5-4,"Quintana, F","Tully, T",final|
5,Apr 3010:32 AM,Hagerstown,Lexington,3-6,"Castillo, W","Picone, D",final|
5,Apr 306:33 PM,Staten Island,Long Island,8-4,"Dunaway, M","Senger, M",final|
2,Apr 306:34 PM,Lancaster,York,7-8,"Robinson, C","Diehl, P",final|
5,Apr 306:37 PM,Charleston,S Maryland,12-8,"Del Prado, N","Kelly, J",final|
6,May  110:39 AM,Charleston,S Maryland,1-3,"Semple, S","McGowin, K",final|
6,May  112:03 PM,Hagerstown,Lexington,6-13,"Laio, N","Kickham, M",final|
3,May  16:33 PM,Lancaster,York,10-6,"Rees, J","Veen, Z",final|
6,May  16:34 PM,Staten Island,Long Island,10-5,"Oxford, B","Alintoff, J",final|
4,May  26:32 PM,Long Island,York,10-2,"Gant, J","Pace, F",final|
1,May  26:41 PM,Lexington,High Point,6-5,"Wicklander, P","Edwards, J",final|
1,May  26:50 PM,Gastonia,Lancaster,5-6,"Gilliam, R","Wells, N",final|
1,May  26:53 PM,S Maryland,Charleston,7-5,"Kahaloa, I","Lusk, L",final|
1,May  27:01 PM,Hagerstown,Staten Island,2-4,"McSweeney, M","Martinez, J",final|
2,May  33:31 PM,Hagerstown,Staten Island,5-12,"Oxford, B","Corcino, D",final|
3,May  36:22 PM,Hagerstown,Staten Island,6-8,"Andrews, T","Saturria, M",final|
