Pitcher,RelSpeed,Date,PitchCall,SpinRate,Batter
"Dilone, Julio",101.15922,4/30/2025,BallCalled,2615.949353,"Abreu, Osvaldo"
"Andrews, Tanner",98.75195,2025-06-07,BallCalled,2280.255147,"Coca, Yeison"
"Reed, Michael",98.53066,2025-08-05,StrikeCalled,2671.595406,"Alleyne, Bubba"
"Klobosits, Gabe",98.48836,2025-08-09,StrikeSwinging,2408.372268,"DiGiacomo, Giovanni"
"Green, Max",98.47279,2025-08-22,BallCalled,1908.896898,"De La Rosa, Eric"
"Cellucci, Brendan",98.41298,2025-08-24,FoulBallNotFieldable,2607.784521,"Sedio, Chad"
"Maruskin, Jack",98.36981,5/16/2025,BallCalled,2204.187185,"Wehler, Jeffrey"
"Edwards, Christian",98.34013,2025-07-05,HitByPitch,2046.302833,"Baylor, Jamari"
"Alvarez, Manuel",98.19929,2025-06-04,FoulBallNotFieldable,2263.750944,"Burt, D.J."
"Rees, Jackson",98.02357,2025-07-13,BallCalled,2404.638813,"Thomas, Cody"
"Alesandro, Ronaldo",97.88288,2025-06-26,BallCalled,2267.920771,"Briggs, Lamar"
"Moreno, Gerson",97.72665,2025-06-10,StrikeSwinging,2389.366844,"Atwood, Andy"
"Robinson, Cam",97.67865,2025-06-08,FoulBallNotFieldable,2508.812601,"Huntzinger, Jerry"
"Vennaro, Zach",97.6651,2025-05-25,StrikeCalled,2140.013536,"Alonso, Alan"
"Blair, Daniel",97.44132,2025-07-30,BallCalled,2161.042019,"Fuentes, Brian"
"Branche, Stevie",97.40126,2025-07-12,StrikeCalled,2570.491565,"Scantlin, Nate"
"Llovera, Mauricio",97.37153,2025-06-04,FoulBallNotFieldable,2288.222291,"Sandoval, Pablo"
"Thompson, Cory",97.11349,2025-07-19,InPlay,2342.179302,"Johnson, Kolby"
"Weisenburger, Jack",97.10997,2025-06-18,BallCalled,2257.00755,"Davis, Jaylin"
"Higgins, Connor",97.00733,5/15/2025,BallCalled,2429.43122,"Rosa, Joseph"
