Pitcher,RelSpeed,Date,PitchCall,SpinRate,Batter
"Dilone, Julio",101.09588,5/14/2025,StrikeSwinging,2660.830542,"Yetsko, Ian"
"Klobosits, Gabe",98.48836,2025-08-09,StrikeSwinging,2408.372268,"DiGiacomo, Giovanni"
"Green, Max",98.31563,2025-07-04,StrikeSwinging,2367.565186,"Blackwell, Benjamin"
"Maruskin, Jack",97.98301,5/11/2025,StrikeSwinging,2094.823736,"Higgins, Ryan"
"Moreno, Gerson",97.72665,2025-06-10,StrikeSwinging,2389.366844,"Atwood, Andy"
"Rees, Jackson",97.65805,2025-07-13,StrikeSwinging,2456.070872,"Kohlwey, Taylor"
"Alvarez, Manuel",97.50651,2025-06-12,StrikeSwinging,2183.370342,"Roller, Chris"
"Vennaro, Zach",97.21975,4/27/2025,StrikeSwinging,2054.765494,"Loftin, Jackson"
"Alesandro, Ronaldo",97.19749,2025-06-21,StrikeSwinging,2309.831398,"Johnson, Tyler"
"Llovera, Mauricio",97.1511,2025-06-04,StrikeSwinging,2245.982315,"Contreras, Mark"
"Branche, Stevie",97.10766,2025-07-19,StrikeSwinging,2718.364412,"Alexander, Evan"
"Johnson, Kyle",96.93804,5/16/2025,StrikeSwinging,1986.168345,"Kaler, Kole"
"Romano, Sal",96.89234,2025-08-17,StrikeSwinging,2110.920324,"Black, Mark"
"Cellucci, Brendan",96.8613,2025-08-21,StrikeSwinging,2506.078766,"Williams, Tyler"
"Andrews, Tanner",96.79461,2025-06-07,StrikeSwinging,2332.672031,"Lucky, Nick"
"Haab, Jonathan",96.68186,4/29/2025,StrikeSwinging,2609.670653,"Abreu, Osvaldo"
"Mikolajchak, Nick",96.64128,2025-07-29,StrikeSwinging,2432.490669,"Martin, Mason"
"Thompson, Cory",96.62595,2025-07-09,StrikeSwinging,2089.915682,"Nelson, James"
"Robinson, Cam",96.56284,2025-07-29,StrikeSwinging,2298.52865,"Martin, Mason"
"Lambert, Carson",96.53655,2025-07-17,StrikeSwinging,2390.236645,"Barditch, Jonathan"
