Pitcher,SpinRate,PitchCount
"Mikolajchak, Nick",2771.542578547619,42
"McGowin, Kyle",2667.0834092525256,99
"Helvey, Clay",2600.811240386364,88
"Vallimont, Chris",2593.6608250757577,132
"Branche, Stevie",2579.5265757,20
"Richardson, David",2567.6280178461534,13
"Engler, Scott",2564.8882302777774,18
"Dipoto, Jonah",2542.4208636,10
"Alvarez, Manuel",2540.9518686666665,12
"Mejia, Adalberto",2518.18783293578,109
"Virbitsky, Kyle",2517.6716054545454,11
"Mahoney, Jack",2512.0738980243905,41
"Weisenburger, Jack",2510.925605786885,61
"Overton, Connor",2510.1981675555553,45
"Pace, Foster",2505.655628869565,23
"Horvath, Nick",2493.2850190999998,10
"Scrubb, Andre",2493.0452052152777,288
"Wells, Nick",2474.70135194,50
"Stashak, Cody",2473.51652325,40
"Saturria, Michael",2470.8989793992246,258
