Pitcher,SpinRate,PitchCount
"Blanton, Bryan",2634.6292151631014,374
"Picone, Domenic",2624.1233945588788,535
"Corona, Reibyn",2620.127442897727,88
"Kahaloa, Ian",2583.4405561324375,521
"Helvey, Clay",2582.353212575,240
"Blanchard, Jason",2557.211939521127,71
"Gant, John",2554.1326219634147,82
"Rivera, Eduardo",2545.905760288889,45
"Branche, Stevie",2542.5603054642856,280
"Lewis, Justin",2536.8163904328358,67
"Mejia, Adalberto",2533.605162409091,22
"Gilliam, Ryley",2530.8279886551722,116
"Hasler, Kent",2526.661798972973,259
"Mikolajchak, Nick",2515.869025957447,94
"Bedford, Matt",2513.298312695652,92
"Kelly, John",2509.299608299003,301
"Reed, Michael",2498.9611612620693,145
"Zeldin, Brian",2497.25984435,20
"Engler, Scott",2496.5528571632653,490
"Scafidi, Christian",2493.190319164179,134
