Pitcher,SpinRate,PitchCount
"Blanton, Bryan",2585.2714750409355,171
"DeSanti, Michael",2562.5761880612245,49
"Branche, Stevie",2509.102923987805,82
"Kelly, John",2498.3251185,10
"Snead, Kirby",2496.9905900367644,272
"Meza, Carlos",2496.0587051,10
"Gant, John",2491.342757,17
"Bedford, Matt",2484.295126758621,29
"McGowin, Kyle",2472.264758918182,220
"Reed, Michael",2463.695749577778,45
"Lewis, Justin",2440.3241563636366,77
"Tropeano, Nick",2435.8029781875,16
"Williams, Peyton",2434.6211689770994,131
"Vazquez, Rafi",2420.4583501444445,90
"Conklin, MacCallan",2418.917829702703,37
"Kaminsky, Rob",2417.5098401086957,46
"Lugo, Alejandro",2413.774739916667,12
"Wright, Jarod",2401.713429763636,55
"Rees, Jackson",2400.5833612566585,413
"Reyes, Carlo",2388.276165325,80
