row_number,inning,half,pitcher,batter,ball_count,strike_count,pitch,result,outs,runner_1B,runner_2B,runner_3B,score,away_score,home_score,pitcher_pitch_count,gameid,game_date,pitcher_throw,batter_hit,batter_height,batter_position,Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle,Horizontal Approach Angle,Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color,Handedness,Hit Type,Exit Velocity (mph),Launch Angle (°),Batter Name,Hit Time,Direction (°),Bearing (°),Distance (ft),Umpire
1,1,Top,John Kelly,Alsander Womack,0,0,Called Strike,,0,FALSE,FALSE,FALSE,0-0,0,0,1,624166,,R,R,,IF,5.22,4/30/2025 22:37,81.98,2579,8:00,-1.71,-5.74,-7.77,-2.66,-0.63,2.14,5.55,1.39,Slider,"hsla(49, 100%, 44%,1)",R,,,,,,,,,Miguel De La Cruz Segura
2,1,Top,John Kelly,Alsander Womack,0,1,Ball,,0,FALSE,FALSE,FALSE,0-0,0,0,2,624166,,R,R,,IF,5.22,4/30/2025 22:37,83.75,2461,8:45,0.84,-4.92,-6.93,-4.64,-2.59,2.39,5.41,1.38,Slider,"hsla(49, 100%, 44%,1)",R,,,,,,,,,Miguel De La Cruz Segura
3,1,Top,John Kelly,Alsander Womack,1,1,,single,0,FALSE,FALSE,FALSE,0-0,0,0,3,624166,,R,R,,IF,10.39,4/30/2025 22:37,165.28,4985,10:15,3.12,-9.28,-12.93,-4.36,-0.63,5.84,5.46,1.35,Slider,"hsla(49, 100%, 44%,1)",R,,,,,,,,,Miguel De La Cruz Segura
4,1,Top,John Kelly,Joseph Rosa,0,0,Ball,,0,TRUE,FALSE,FALSE,0-0,0,0,4,624166,,R,S,,IF,5.12,4/30/2025 22:38,84.37,2357,9:00,1.31,-5.97,-5.74,-0.4,1.63,3.4,5.4,1.51,Slider,"hsla(49, 100%, 44%,1)",L,,,,,,,,,Miguel De La Cruz Segura
5,1,Top,John Kelly,Joseph Rosa,1,0,Ball,,0,TRUE,FALSE,FALSE,0-0,0,0,5,624166,,R,S,,IF,5.62,4/30/2025 22:38,93.06,2493,12:30,12.92,2.66,-6.07,-2.9,-1.63,1.56,5.45,1.3,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
6,1,Top,John Kelly,Joseph Rosa,2,0,Foul,,0,TRUE,FALSE,FALSE,0-0,0,0,6,624166,,R,S,,IF,5.25,4/30/2025 22:38,86.44,2631,9:15,1.96,-5.57,-6.64,-2.46,-0.48,2.33,5.41,1.37,Slider,"hsla(49, 100%, 44%,1)",L,,,,,,,,,Miguel De La Cruz Segura
7,1,Top,John Kelly,Joseph Rosa,2,1,Ball,,0,TRUE,FALSE,FALSE,0-0,0,0,7,624166,,R,S,,IF,5.21,4/30/2025 22:39,85.12,2484,8:30,-0.65,-8.4,-6.11,-3.15,-0.81,3.11,5.4,1.45,Slider,"hsla(49, 100%, 44%,1)",L,,,,,,,,,Miguel De La Cruz Segura
8,1,Top,John Kelly,Joseph Rosa,3,1,Foul,,0,TRUE,FALSE,FALSE,0-0,0,0,8,624166,,R,S,,IF,5.61,4/30/2025 22:39,92.83,2534,12:15,10.82,1.47,-6.67,-1.63,-0.38,1.19,5.44,1.27,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
9,1,Top,John Kelly,Joseph Rosa,3,2,Foul,,0,TRUE,FALSE,FALSE,0-0,0,0,9,624166,,R,S,,IF,5.31,4/30/2025 22:39,85.85,2659,8:45,0.51,-5.88,-6.55,-2.11,-0.06,2.6,5.37,1.43,Slider,"hsla(49, 100%, 44%,1)",L,,,,,,,,,Miguel De La Cruz Segura
10,1,Top,John Kelly,Joseph Rosa,3,2,,Walk,0,TRUE,FALSE,FALSE,0-0,0,0,10,624166,,R,S,,IF,5.86,4/30/2025 22:40,96.28,2493,12:30,14.62,4.17,-5.94,-3.19,-2.08,1.34,5.38,1.24,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
