row_number,inning,half,pitcher,batter,ball_count,strike_count,pitch,result,outs,runner_1B,runner_2B,runner_3B,score,away_score,home_score,pitcher_pitch_count,gameid,game_date,pitcher_throw,batter_hit,batter_height,batter_position,Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle,Horizontal Approach Angle,Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color,Handedness,Hit Type,Exit Velocity (mph),Launch Angle (°),Batter Name,Hit Time,Direction (°),Bearing (°),Distance (ft)
24,1,Bottom,Juan Hillman,Tomo Otosaka,0,0,Ball,,0,FALSE,FALSE,FALSE,0-0,0,0,1,624482,,L,L,11-May,OF,5.1,5/4/2025 20:25,87.66,1963,10:00,11.58,-15.56,-7.2,-0.47,-1.69,1.81,6.23,-2.55,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
25,1,Bottom,Juan Hillman,Tomo Otosaka,1,0,Called Strike,,0,FALSE,FALSE,FALSE,0-0,0,0,2,624482,,L,L,11-May,OF,5.28,5/4/2025 20:25,86.75,1953,9:45,7.13,-16.14,-7.83,0.62,-0.74,1.45,6.04,-2.66,ChangeUp,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
26,1,Bottom,Juan Hillman,Tomo Otosaka,1,1,Swinging Strike,,0,FALSE,FALSE,FALSE,0-0,0,0,3,624482,,L,L,11-May,OF,5.04,5/4/2025 20:25,88.74,1965,10:00,10.58,-16.81,-7.02,-0.27,-1.3,1.92,6.17,-2.45,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
27,1,Bottom,Juan Hillman,Tomo Otosaka,1,2,Ball,,0,FALSE,FALSE,FALSE,0-0,0,0,4,624482,,L,L,11-May,OF,4.7,5/4/2025 20:25,79.23,2250,5:45,-5.12,0.98,-11.45,3.98,0.99,-0.48,5.96,-2.72,Curveball,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
28,1,Bottom,Juan Hillman,Tomo Otosaka,2,2,Ball,,0,FALSE,FALSE,FALSE,0-0,0,0,5,624482,,L,L,11-May,OF,4.62,5/4/2025 20:26,76.59,2246,4:30,-5.67,7.48,-10.36,2.51,-0.41,1.21,6.21,-2.16,Curveball,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
29,1,Bottom,Juan Hillman,Tomo Otosaka,3,2,Swinging Strike,strike out,0,FALSE,FALSE,FALSE,0-0,0,0,6,624482,,L,L,11-May,OF,5.24,5/4/2025 20:26,88.5,1943,9:45,7,-15.15,-6.67,0.76,-0.38,2.5,6.1,-2.36,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
30,1,Bottom,Juan Hillman,Jalen Miller,0,0,Called Strike,,1,FALSE,FALSE,FALSE,0-0,0,0,7,624482,,L,R,Jun-00,2B,5.19,5/4/2025 20:27,89.13,1952,10:00,8.31,-14.2,-6.99,0.92,-0.32,2.01,6.08,-2.37,Sinker,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
31,1,Bottom,Juan Hillman,Jalen Miller,0,1,Ball,,1,FALSE,FALSE,FALSE,0-0,0,0,8,624482,,L,R,Jun-00,2B,4.6,5/4/2025 20:27,75.94,2178,5:00,-8.08,6.03,-11.05,3.07,0.18,0.93,6.31,-2.23,Curveball,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
32,1,Bottom,Juan Hillman,Jalen Miller,1,1,Ball,,1,FALSE,FALSE,FALSE,0-0,0,0,9,624482,,L,R,Jun-00,2B,4.5,5/4/2025 20:27,75.75,2203,4:00,-2.73,7.94,-9.78,2.39,-0.79,1.54,6.15,-2.4,Curveball,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
33,1,Bottom,Juan Hillman,Jalen Miller,2,1,Ball,,1,FALSE,FALSE,FALSE,0-0,0,0,10,624482,,L,R,Jun-00,2B,5.18,5/4/2025 20:27,89.16,1974,9:45,7.89,-15.4,-7.84,0.75,-0.42,1.22,6.09,-2.41,Sinker,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
34,1,Bottom,Juan Hillman,Jalen Miller,3,1,,Walk,1,FALSE,FALSE,FALSE,0-0,0,0,11,624482,,L,R,Jun-00,2B,5.29,5/4/2025 20:28,90.43,2095,10:45,18.58,-12.08,-4.87,0.71,-0.74,3.16,6.15,-2.41,Four-Seam,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
35,1,Bottom,Juan Hillman,Frankie Tostado,0,0,Called Strike,,1,TRUE,FALSE,FALSE,0-0,0,0,12,624482,,L,L,2-Jun,1B,5.22,5/4/2025 20:28,88.82,2049,11:00,18.48,-10.77,-5.25,1.89,0.27,2.81,6.07,-2.41,Four-Seam,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
36,1,Bottom,Juan Hillman,Frankie Tostado,0,1,Ball,,1,TRUE,FALSE,FALSE,0-0,0,0,13,624482,,L,L,2-Jun,1B,5.27,5/4/2025 20:29,88.33,1938,10:15,10.67,-13.33,-7.9,2.52,1,1.02,6.14,-2.48,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
37,1,Bottom,Juan Hillman,Frankie Tostado,1,1,Foul,,1,TRUE,FALSE,FALSE,0-0,0,0,14,624482,,L,L,2-Jun,1B,4.49,5/4/2025 20:29,75.5,2352,4:45,-7.08,6.3,-10.02,3.15,0.11,1.79,6.26,-2.37,Curveball,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
38,1,Bottom,Juan Hillman,Frankie Tostado,1,2,,fly out,1,TRUE,FALSE,FALSE,0-0,0,0,15,624482,,L,L,2-Jun,1B,5.13,5/4/2025 20:30,90.08,2149,10:30,15.51,-12.6,-5.09,0.74,-0.48,3.38,6.21,-2.23,Four-Seam,"hsla(0, 0%, 58%, 1)",L,LineDrive,91.52,22.71,Frankie Tostado,5/4/2025 16:30,17.91,15.92,322.15
68,2,Bottom,Juan Hillman,Alerick Soularie,0,0,Called Strike,,0,FALSE,FALSE,FALSE,0-0,0,0,17,624482,,L,R,Jun-00,OF,5.17,5/4/2025 20:48,88.26,1977,10:00,11.89,-16.23,-6.74,1.06,0.13,2.06,6.16,-2.21,Sinker,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
69,2,Bottom,Juan Hillman,Alerick Soularie,0,1,,fly out,0,FALSE,FALSE,FALSE,0-0,0,0,18,624482,,L,R,Jun-00,OF,5.02,5/4/2025 20:48,88.33,1976,10:00,9.24,-14.68,-6,0.09,-0.94,2.99,6.11,-2.24,Sinker,"hsla(0, 0%, 58%, 1)",R,GroundBall,93.92,–7.62,Alerick Soularie,5/4/2025 16:48,–8.76,–5.51,21.09
70,2,Bottom,Juan Hillman,Osvaldo Tovalin,0,0,,L8,1,FALSE,FALSE,FALSE,0-0,0,0,19,624482,,L,L,2-Jun,IF,5.21,5/4/2025 20:48,88.22,1967,10:15,14.61,-15.6,-6.84,1.37,0.17,1.76,6.15,-2.42,Sinker,"hsla(0, 0%, 58%, 1)",L,FlyBall,92.88,23.16,Osvaldo Tovalin,5/4/2025 16:48,2.3,–5.50,332.64
71,2,Bottom,Juan Hillman,Justin Connell,0,0,Ball,,2,FALSE,FALSE,FALSE,0-0,0,0,20,624482,,L,R,2-Jun,OF,4.66,5/4/2025 20:49,75.69,2141,4:15,-5.52,8.9,-10.79,2.97,-0.19,0.89,6.24,-2.27,Curveball,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
72,2,Bottom,Juan Hillman,Justin Connell,1,0,Called Strike,,2,FALSE,FALSE,FALSE,0-0,0,0,21,624482,,L,R,2-Jun,OF,5.2,5/4/2025 20:49,87.61,1900,10:15,10.1,-12.66,-6.06,0.29,-1.21,2.91,6.12,-2.53,Sinker,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
73,2,Bottom,Juan Hillman,Justin Connell,1,1,Called Strike,,2,FALSE,FALSE,FALSE,0-0,0,0,22,624482,,L,R,2-Jun,OF,5.16,5/4/2025 20:50,88.65,1830,10:45,16.84,-11.08,-5.43,1.69,0.29,2.97,6.19,-2.22,Sinker,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
74,2,Bottom,Juan Hillman,Justin Connell,1,2,,double,2,FALSE,FALSE,FALSE,0-0,0,0,23,624482,,L,R,2-Jun,OF,5.78,5/4/2025 20:50,80.33,1485,8:45,0.26,-13.29,-8.26,0.58,-0.84,1.97,5.9,-2.49,ChangeUp,"hsla(0, 0%, 58%, 1)",R,FlyBall,84.69,25.9,Justin Connell,5/4/2025 16:50,34.5,44.97,285.4
75,2,Bottom,Juan Hillman,Jeffrey Wehler,0,0,,fly out to right field,2,FALSE,TRUE,FALSE,0-0,0,0,24,624482,,L,R,Jun-00,IF,4.67,5/4/2025 20:51,78.27,2109,4:15,-2.27,4.66,-8.35,2.89,-0.38,2.35,5.98,-2.74,Slider,"hsla(0, 0%, 58%, 1)",R,FlyBall,88.81,39.31,Jeffrey Wehler,5/4/2025 16:51,18.97,31.34,289.27
96,3,Bottom,Juan Hillman,William Simoneit,0,0,Called Strike,,0,FALSE,FALSE,FALSE,Jan-00,1,0,25,624482,,L,R,3-Jun,C,5.2,5/4/2025 21:04,87.16,1997,10:30,12.26,-11.74,-6.75,0.83,-0.45,2.15,6.19,-2.21,Sinker,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
97,3,Bottom,Juan Hillman,William Simoneit,0,1,Swinging Strike,,0,FALSE,FALSE,FALSE,Jan-00,1,0,26,624482,,L,R,3-Jun,C,4.5,5/4/2025 21:04,77.79,2126,4:30,-3.16,4.57,-9.32,2.5,-0.53,1.65,6,-2.53,Curveball,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
98,3,Bottom,Juan Hillman,William Simoneit,0,2,Ball,,0,FALSE,FALSE,FALSE,Jan-00,1,0,27,624482,,L,R,3-Jun,C,4.96,5/4/2025 21:04,78.17,2297,3:45,-1.76,7.29,-11.93,4.53,1.38,-0.75,6.27,-2.3,Slider,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
99,3,Bottom,Juan Hillman,William Simoneit,1,2,,L4,0,FALSE,FALSE,FALSE,Jan-00,1,0,28,624482,,L,R,3-Jun,C,4.67,5/4/2025 21:05,78.6,2281,3:30,0,5.43,-9.06,2.26,-0.79,1.53,5.95,-2.48,Slider,"hsla(0, 0%, 58%, 1)",R,Popup,57.53,26.36,Will Simoneit,5/4/2025 17:05,16.36,22.04,160.41
100,3,Bottom,Juan Hillman,Ryan Higgins,0,0,,P4,1,FALSE,FALSE,FALSE,Jan-00,1,0,29,624482,,L,R,1-Jun,3B,10.39,5/4/2025 21:05,176.65,3959,10:30,29.86,-25.03,-10.97,2.3,-0.11,5.96,6.1,-2.18,Four-Seam,"hsla(0, 0%, 58%, 1)",R,Popup,88.5,68.68,Ryan Higgins,5/4/2025 17:05,12.2,25.62,98.35
101,3,Bottom,Juan Hillman,Tomo Otosaka,0,0,Called Strike,,2,FALSE,FALSE,FALSE,Jan-00,1,0,30,624482,,L,L,11-May,OF,5.05,5/4/2025 21:06,87.5,2030,10:15,12.24,-15.61,-6.1,1.03,0.01,2.67,6.1,-2.26,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
102,3,Bottom,Juan Hillman,Tomo Otosaka,0,1,Ball,,2,FALSE,FALSE,FALSE,Jan-00,1,0,31,624482,,L,L,11-May,OF,5.15,5/4/2025 21:06,88.79,2041,10:00,10.46,-16.3,-6.32,-0.17,-1.32,2.52,6.08,-2.52,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
103,3,Bottom,Juan Hillman,Tomo Otosaka,1,1,Foul,,2,FALSE,FALSE,FALSE,Jan-00,1,0,32,624482,,L,L,11-May,OF,5.15,5/4/2025 21:06,88.37,2009,10:00,9.64,-15.84,-6.13,0.17,-0.83,2.81,6.13,-2.31,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
104,3,Bottom,Juan Hillman,Tomo Otosaka,1,2,Foul,,2,FALSE,FALSE,FALSE,Jan-00,1,0,33,624482,,L,L,11-May,OF,5.23,5/4/2025 21:07,91.54,1924,10:30,14.95,-13.92,-6.1,0.69,-0.55,2.13,6.07,-2.36,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
105,3,Bottom,Juan Hillman,Tomo Otosaka,1,2,,fly out,2,FALSE,FALSE,FALSE,Jan-00,1,0,34,624482,,L,L,11-May,OF,5.16,5/4/2025 21:07,90.59,2078,10:30,14.29,-14.48,-4.81,1.31,0.25,3.49,6.06,-2.18,Sinker,"hsla(0, 0%, 58%, 1)",L,GroundBall,74.2,–22.66,Tomo Otosaka,5/4/2025 17:07,–14.74,–15.07,8.91
127,4,Bottom,Juan Hillman,Jalen Miller,0,0,Called Strike,,0,FALSE,FALSE,FALSE,Jan-00,1,0,35,624482,,L,R,Jun-00,2B,,,,,,,,,,,,,,,,,,,,,,,,
128,4,Bottom,Juan Hillman,Jalen Miller,0,1,Swinging Strike,,0,FALSE,FALSE,FALSE,Jan-00,1,0,36,624482,,L,R,Jun-00,2B,,,,,,,,,,,,,,,,,,,,,,,,
129,4,Bottom,Juan Hillman,Jalen Miller,0,2,Ball,,0,FALSE,FALSE,FALSE,Jan-00,1,0,37,624482,,L,R,Jun-00,2B,,,,,,,,,,,,,,,,,,,,,,,,
130,4,Bottom,Juan Hillman,Jalen Miller,1,2,Foul,,0,FALSE,FALSE,FALSE,Jan-00,1,0,38,624482,,L,R,Jun-00,2B,,,,,,,,,,,,,,,,,,,,,,,,
131,4,Bottom,Juan Hillman,Jalen Miller,1,2,,fly out,0,FALSE,FALSE,FALSE,Jan-00,1,0,39,624482,,L,R,Jun-00,2B,,,,,,,,,,,,,,,,,FlyBall,108.8,7.78,Jalen Miller,5/4/2025 17:22,–17.37,–22.22,186.08
132,4,Bottom,Juan Hillman,Frankie Tostado,0,0,Foul,,1,FALSE,FALSE,FALSE,Jan-00,1,0,40,624482,,L,L,2-Jun,1B,5.17,5/4/2025 21:23,89.13,2087,10:00,10.38,-14.3,-6.67,0.49,-0.66,2.18,6.13,-2.32,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
133,4,Bottom,Juan Hillman,Frankie Tostado,0,1,Foul,,1,FALSE,FALSE,FALSE,Jan-00,1,0,41,624482,,L,L,2-Jun,1B,5.17,5/4/2025 21:23,89.37,2139,10:30,12.91,-12.44,-6.73,1.2,-0.07,1.84,6.09,-2.24,Sinker,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
