Batter,PA,AB,H,BB,IBB,HBP,AVG,OBP,SLG,Avg Exit Velo,Avg LA,Avg Distance
"Connell, Justin",2,26,2,1,0,0,0.077,1.5,0.192,111.1,12.0,218.0
"Miller, Jalen",4,26,2,1,0,0,0.077,0.75,0.192,96.9,20.3,324.4
"Alleyne, Bubba",1,26,1,1,0,0,0.038,2.0,0.038,95.3,-19.1,11.5
"Higgins, Ryan",2,26,1,1,0,0,0.038,1.0,0.038,22.9,10.7,23.8
"Tostado, Frankie",6,26,1,1,0,0,0.038,0.333,0.038,71.7,34.6,243.8
"Davis, Jaylin",1,26,0,1,0,0,0.0,1.0,0.0,,,
"Lewis, Brandon",1,26,0,1,0,0,0.0,1.0,0.0,,,
"Soularie, Alerick",1,26,0,1,0,0,0.0,1.0,0.0,,,
"Costes, Marty",2,26,0,1,0,0,0.0,0.5,0.0,,,
"Richards, Jairus",2,26,0,1,0,0,0.0,0.5,0.0,,,
"Simoneit, Will",2,26,0,1,0,0,0.0,0.5,0.0,,,
"Arocho, Jeremy",3,26,0,1,0,0,0.0,0.333,0.0,,,
