Batter,PA,AB,H,BB,IBB,HBP,AVG,OBP,SLG,Avg Exit Velo,Avg LA,Avg Distance
"Higgins, Ryan",1,29,1,0,0,0,0.034,1.0,0.069,112.6,18.0,387.5
"Simoneit, Will",1,29,1,0,0,0,0.034,1.0,0.069,100.8,19.9,289.3
"Arocho, Jeremy",2,29,1,0,0,0,0.034,0.5,0.034,73.9,34.0,257.1
"Davis, Jaylin",3,29,1,0,0,0,0.034,0.333,0.034,88.6,19.8,257.4
"Wehler, Jeffrey",4,29,0,0,0,0,0.0,0.0,0.0,,,
"Alleyne, Bubba",2,29,0,0,0,0,0.0,0.0,0.0,,,
"Berglund, Michael",2,29,0,0,0,0,0.0,0.0,0.0,,,
"Costes, Marty",2,29,0,0,0,0,0.0,0.0,0.0,,,
"Miller, Jalen",2,29,0,0,0,0,0.0,0.0,0.0,,,
"Olmeda, Alexis",2,29,0,0,0,0,0.0,0.0,0.0,,,
"Soularie, Alerick",2,29,0,0,0,0,0.0,0.0,0.0,,,
"Connell, Justin",1,29,0,0,0,0,0.0,0.0,0.0,,,
"Fontana, Shayne",1,29,0,0,0,0,0.0,0.0,0.0,,,
"Lewis, Brandon",1,29,0,0,0,0,0.0,0.0,0.0,,,
"Richards, Jairus",1,29,0,0,0,0,0.0,0.0,0.0,,,
"Tostado, Frankie",1,29,0,0,0,0,0.0,0.0,0.0,,,
"Walker, Mason",1,29,0,0,0,0,0.0,0.0,0.0,,,
