Batter,PA,AB,H,BB,IBB,HBP,AVG,OBP,SLG,Avg Exit Velo,Avg LA,Avg Distance
"Olmeda, Alexis",4,65,3,3,0,1,0.046,1.75,0.138,96.1,14.3,271.6
"Costes, Marty",7,65,3,3,0,1,0.046,1.0,0.062,92.2,2.4,159.2
"Simoneit, Will",4,65,2,3,0,1,0.031,1.5,0.077,101.2,17.9,214.5
"Tostado, Frankie",8,65,2,3,0,1,0.031,0.75,0.092,104.1,23.1,325.4
"Soularie, Alerick",1,65,1,3,0,1,0.015,5.0,0.015,104.8,7.1,186.9
"Tovalin, Osvaldo",1,65,1,3,0,1,0.015,5.0,0.031,91.5,34.3,318.1
"Alleyne, Bubba",4,65,1,3,0,1,0.015,1.25,0.031,66.2,46.3,197.1
"Arocho, Jeremy",5,65,1,3,0,1,0.015,1.0,0.062,94.1,27.8,352.7
"Davis, Jaylin",5,65,1,3,0,1,0.015,1.0,0.015,92.2,-1.4,32.1
"Wehler, Jeffrey",5,65,1,3,0,1,0.015,1.0,0.015,87.9,16.3,233.3
"Lewis, Brandon",7,65,1,3,0,1,0.015,0.714,0.015,111.3,10.7,252.2
"Miller, Jalen",8,65,1,3,0,1,0.015,0.625,0.031,78.2,22.0,234.4
"Berglund, Michael",1,65,0,3,0,1,0.0,4.0,0.0,,,
"Otosaka, Tomo",1,65,0,3,0,1,0.0,4.0,0.0,,,
"Richards, Jairus",1,65,0,3,0,1,0.0,4.0,0.0,,,
"Connell, Justin",3,65,0,3,0,1,0.0,1.333,0.0,,,
"Higgins, Ryan",4,65,0,3,0,1,0.0,1.0,0.0,,,
