Batter,PA,AB,H,BB,IBB,HBP,AVG,OBP,SLG,Avg Exit Velo,Avg LA,Avg Distance
"Otosaka, Tomo",2,35,2,4,0,0,0.057,3.0,0.086,91.6,21.7,173.6
"Miller, Jalen",4,35,2,4,0,0,0.057,1.5,0.057,100.8,12.0,227.7
"Wehler, Jeffrey",4,35,2,4,0,0,0.057,1.5,0.114,88.2,22.8,275.5
"Lewis, Brandon",5,35,2,4,0,0,0.057,1.2,0.057,80.4,9.0,104.3
"Connell, Justin",1,35,1,4,0,0,0.029,5.0,0.029,68.1,-16.1,11.0
"Higgins, Ryan",1,35,1,4,0,0,0.029,5.0,0.029,113.6,1.3,66.0
"Arocho, Jeremy",2,35,1,4,0,0,0.029,2.5,0.029,69.1,17.8,185.4
"Tostado, Frankie",5,35,1,4,0,0,0.029,1.0,0.057,83.3,5.9,124.0
"Olmeda, Alexis",1,35,0,4,0,0,0.0,4.0,0.0,,,
"Soularie, Alerick",1,35,0,4,0,0,0.0,4.0,0.0,,,
"Walker, Mason",1,35,0,4,0,0,0.0,4.0,0.0,,,
"Berglund, Michael",2,35,0,4,0,0,0.0,2.0,0.0,,,
"Davis, Jaylin",2,35,0,4,0,0,0.0,2.0,0.0,,,
"Simoneit, Will",2,35,0,4,0,0,0.0,2.0,0.0,,,
"Alleyne, Bubba",3,35,0,4,0,0,0.0,1.333,0.0,,,
"Costes, Marty",4,35,0,4,0,0,0.0,1.0,0.0,,,
