Pitcher,Batter,PA,AB,H,BB,IBB,HBP,AVG,OBP,SLG,Avg Exit Velo,Avg LA,Avg Distance
"Gilliam, Ryley","Berglund, Michael",1,3,0,4,0,0,0.0,4.0,0.0,,,
"Gilliam, Ryley","Higgins, Ryan",1,3,0,4,0,0,0.0,4.0,0.0,,,
"Gilliam, Ryley","Miller, Jalen",1,3,0,4,0,0,0.0,4.0,0.0,,,
"Gilliam, Ryley","Otosaka, Tomo",1,3,0,4,0,0,0.0,4.0,0.0,,,
"Gilliam, Ryley","Soularie, Alerick",1,3,0,4,0,0,0.0,4.0,0.0,,,
"Gilliam, Ryley","Wehler, Jeffrey",2,3,0,4,0,0,0.0,2.0,0.0,,,
"Engler, Scott","Higgins, Ryan",1,29,1,0,0,0,0.034,1.0,0.069,112.6,18.0,387.5
"Engler, Scott","Simoneit, Will",1,29,1,0,0,0,0.034,1.0,0.069,100.8,19.9,289.3
"Engler, Scott","Arocho, Jeremy",2,29,1,0,0,0,0.034,0.5,0.034,73.9,34.0,257.1
"Engler, Scott","Davis, Jaylin",3,29,1,0,0,0,0.034,0.333,0.034,88.6,19.8,257.4
"Engler, Scott","Wehler, Jeffrey",4,29,0,0,0,0,0.0,0.0,0.0,,,
"Engler, Scott","Alleyne, Bubba",2,29,0,0,0,0,0.0,0.0,0.0,,,
"Engler, Scott","Berglund, Michael",2,29,0,0,0,0,0.0,0.0,0.0,,,
"Engler, Scott","Costes, Marty",2,29,0,0,0,0,0.0,0.0,0.0,,,
"Engler, Scott","Miller, Jalen",2,29,0,0,0,0,0.0,0.0,0.0,,,
"Engler, Scott","Olmeda, Alexis",2,29,0,0,0,0,0.0,0.0,0.0,,,
"Engler, Scott","Soularie, Alerick",2,29,0,0,0,0,0.0,0.0,0.0,,,
"Engler, Scott","Connell, Justin",1,29,0,0,0,0,0.0,0.0,0.0,,,
"Engler, Scott","Fontana, Shayne",1,29,0,0,0,0,0.0,0.0,0.0,,,
"Engler, Scott","Lewis, Brandon",1,29,0,0,0,0,0.0,0.0,0.0,,,
"Engler, Scott","Richards, Jairus",1,29,0,0,0,0,0.0,0.0,0.0,,,
"Engler, Scott","Tostado, Frankie",1,29,0,0,0,0,0.0,0.0,0.0,,,
"Engler, Scott","Walker, Mason",1,29,0,0,0,0,0.0,0.0,0.0,,,
"Rees, Jackson","Otosaka, Tomo",2,35,2,4,0,0,0.057,3.0,0.086,91.6,21.7,173.6
"Rees, Jackson","Miller, Jalen",4,35,2,4,0,0,0.057,1.5,0.057,100.8,12.0,227.7
"Rees, Jackson","Wehler, Jeffrey",4,35,2,4,0,0,0.057,1.5,0.114,88.2,22.8,275.5
"Rees, Jackson","Lewis, Brandon",5,35,2,4,0,0,0.057,1.2,0.057,80.4,9.0,104.3
"Rees, Jackson","Connell, Justin",1,35,1,4,0,0,0.029,5.0,0.029,68.1,-16.1,11.0
"Rees, Jackson","Higgins, Ryan",1,35,1,4,0,0,0.029,5.0,0.029,113.6,1.3,66.0
"Rees, Jackson","Arocho, Jeremy",2,35,1,4,0,0,0.029,2.5,0.029,69.1,17.8,185.4
"Rees, Jackson","Tostado, Frankie",5,35,1,4,0,0,0.029,1.0,0.057,83.3,5.9,124.0
"Rees, Jackson","Olmeda, Alexis",1,35,0,4,0,0,0.0,4.0,0.0,,,
"Rees, Jackson","Soularie, Alerick",1,35,0,4,0,0,0.0,4.0,0.0,,,
"Rees, Jackson","Walker, Mason",1,35,0,4,0,0,0.0,4.0,0.0,,,
"Rees, Jackson","Berglund, Michael",2,35,0,4,0,0,0.0,2.0,0.0,,,
"Rees, Jackson","Davis, Jaylin",2,35,0,4,0,0,0.0,2.0,0.0,,,
"Rees, Jackson","Simoneit, Will",2,35,0,4,0,0,0.0,2.0,0.0,,,
"Rees, Jackson","Alleyne, Bubba",3,35,0,4,0,0,0.0,1.333,0.0,,,
"Rees, Jackson","Costes, Marty",4,35,0,4,0,0,0.0,1.0,0.0,,,
"Diehl, Phillip","Connell, Justin",2,26,2,1,0,0,0.077,1.5,0.192,111.1,12.0,218.0
"Diehl, Phillip","Miller, Jalen",4,26,2,1,0,0,0.077,0.75,0.192,96.9,20.3,324.4
"Diehl, Phillip","Alleyne, Bubba",1,26,1,1,0,0,0.038,2.0,0.038,95.3,-19.1,11.5
"Diehl, Phillip","Higgins, Ryan",2,26,1,1,0,0,0.038,1.0,0.038,22.9,10.7,23.8
"Diehl, Phillip","Tostado, Frankie",6,26,1,1,0,0,0.038,0.333,0.038,71.7,34.6,243.8
"Diehl, Phillip","Davis, Jaylin",1,26,0,1,0,0,0.0,1.0,0.0,,,
"Diehl, Phillip","Lewis, Brandon",1,26,0,1,0,0,0.0,1.0,0.0,,,
"Diehl, Phillip","Soularie, Alerick",1,26,0,1,0,0,0.0,1.0,0.0,,,
"Diehl, Phillip","Costes, Marty",2,26,0,1,0,0,0.0,0.5,0.0,,,
"Diehl, Phillip","Richards, Jairus",2,26,0,1,0,0,0.0,0.5,0.0,,,
"Diehl, Phillip","Simoneit, Will",2,26,0,1,0,0,0.0,0.5,0.0,,,
"Diehl, Phillip","Arocho, Jeremy",3,26,0,1,0,0,0.0,0.333,0.0,,,
"Sullivan, Billy","Alleyne, Bubba",2,13,1,1,0,0,0.077,1.0,0.077,93.9,11.8,223.8
"Sullivan, Billy","Arocho, Jeremy",1,13,0,1,0,0,0.0,1.0,0.0,,,
"Sullivan, Billy","Costes, Marty",1,13,0,1,0,0,0.0,1.0,0.0,,,
"Sullivan, Billy","Miller, Jalen",1,13,0,1,0,0,0.0,1.0,0.0,,,
"Sullivan, Billy","Olmeda, Alexis",1,13,0,1,0,0,0.0,1.0,0.0,,,
"Sullivan, Billy","Simoneit, Will",1,13,0,1,0,0,0.0,1.0,0.0,,,
"Sullivan, Billy","Higgins, Ryan",2,13,0,1,0,0,0.0,0.5,0.0,,,
"Sullivan, Billy","Lewis, Brandon",2,13,0,1,0,0,0.0,0.5,0.0,,,
"Sullivan, Billy","Wehler, Jeffrey",3,13,0,1,0,0,0.0,0.333,0.0,,,
"Johnson, Kyle","Alleyne, Bubba",1,3,0,1,0,0,0.0,1.0,0.0,,,
"Johnson, Kyle","Berglund, Michael",1,3,0,1,0,0,0.0,1.0,0.0,,,
