Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle (°),Horizontal Approach Angle (°),Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color
5.04,2025-04-30 23:48:26,88.06,2433,7:30,-1.47,-2.46,-7.78,-2.33,-0.2,1.39,5.3,1.79,Slider,"hsla(49, 100%, 44%,1)"
5.04,2025-04-30 23:59:31,85.42,2579,8:00,-3.41,-9.6,-9.27,-2.94,-0.14,0.4,5.36,1.83,Slider,"hsla(49, 100%, 44%,1)"
5.08,2025-05-01 00:00:56,86.07,2586,8:15,-2.45,-9.22,-7.96,-3,-0.45,1.51,5.38,1.61,Slider,"hsla(49, 100%, 44%,1)"
5.7,2025-05-01 00:05:10,92.07,2357,1:15,14.99,9.85,-4.54,-1.07,-0.12,2.84,5.38,1.69,Four-Seam,"hsla(321, 100%, 41%, 1)"
5.06,2025-05-01 00:04:10,83.81,2519,8:45,0.12,-13.76,-7.36,-4.05,-0.93,2.06,5.39,1.75,Slider,"hsla(49, 100%, 44%,1)"
5.09,2025-04-30 23:58:48,82.72,2509,8:30,-1.45,-8.96,-7.82,-2.57,0.13,1.86,5.4,1.8,Slider,"hsla(49, 100%, 44%,1)"
5.64,2025-05-01 00:04:50,91.29,2315,1:15,12.83,10.09,-6.25,0.36,1.2,1.51,5.43,1.71,Four-Seam,"hsla(321, 100%, 41%, 1)"
5.78,2025-04-30 23:59:04,91.8,2458,1:15,14.15,11.26,-5.35,-0.42,0.39,2.24,5.43,1.72,Four-Seam,"hsla(321, 100%, 41%, 1)"
5.59,2025-05-01 00:00:03,92.33,2529,1:30,14.63,12.58,-5.19,1.22,1.77,2.34,5.44,1.68,Four-Seam,"hsla(321, 100%, 41%, 1)"
5.71,2025-04-30 23:48:15,92.62,2432,1:30,11.49,11.57,-5.24,-1.5,-0.51,2.51,5.44,1.86,Sinker,"hsla(321, 100%, 41%, 1)"
5.8,2025-05-01 00:00:24,92.89,2479,1:15,15.05,10.62,-4.14,-0.29,0.56,3.27,5.46,1.72,Four-Seam,"hsla(321, 100%, 41%, 1)"
5.78,2025-04-30 23:58:12,90.6,2414,1:15,14.11,9.5,-5.17,-1.1,-0.13,2.51,5.47,1.69,Four-Seam,"hsla(321, 100%, 41%, 1)"
