Batter,PitcherHand,PA,AB,H,BB,HBP,AVG,OBP,SLG,K%,BIP%,Ground Out %,Fly Out %,Avg Exit Velo,Avg LA,Avg Distance
"Aklinski, Ben",Left,128,91,36,15,1,0.396,0.406,0.747,15.6,68.8,24.4,44.4,92.6,11.8,197.9
"Aklinski, Ben",Right,392,261,89,57,6,0.341,0.388,0.716,16.6,65.8,34.2,44.1,97.3,14.7,220.0
"Amezquita, Carlos",Left,17,9,4,1,0,0.444,0.294,0.444,41.2,52.9,40.0,40.0,102.6,1.1,135.2
"Amezquita, Carlos",Right,32,16,5,4,0,0.312,0.281,0.312,37.5,43.8,77.8,11.1,89.0,-7.4,115.5
"Brady, Chris",Right,5,2,1,1,0,0.5,0.4,0.5,40.0,40.0,100.0,0.0,46.4,-54.3,2.6
"Brewer, Aidan",Left,92,62,20,8,1,0.323,0.315,0.565,19.6,66.3,51.3,30.8,94.5,13.6,184.1
"Brewer, Aidan",Right,337,189,62,40,2,0.328,0.309,0.582,31.5,55.2,44.1,37.3,94.5,5.3,205.7
"Burt, D.J.",Left,83,55,16,18,1,0.291,0.422,0.509,10.8,65.1,36.1,27.8,96.4,11.6,210.8
"Burt, D.J.",Right,315,222,64,34,2,0.288,0.317,0.324,16.5,69.2,47.6,27.9,90.2,5.0,143.0
"Conley, Jack",Left,43,26,9,6,1,0.346,0.372,0.538,23.3,58.1,50.0,50.0,75.1,9.7,201.3
"Conley, Jack",Right,141,88,28,19,4,0.318,0.362,0.477,19.9,59.6,28.8,46.2,92.3,14.3,193.8
"Cutler, Brantley",Left,2,1,0,0,0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,,,
"Cutler, Brantley",Right,6,4,1,1,0,0.25,0.333,0.25,16.7,66.7,66.7,0.0,103.3,10.0,224.5
"Davidson, Braxton",Left,65,30,7,14,1,0.233,0.338,0.567,30.8,44.6,81.0,19.0,102.6,17.3,220.1
"Davidson, Braxton",Right,205,80,40,41,0,0.5,0.395,0.875,41.0,39.0,52.5,32.5,103.7,16.0,237.1
"Dickerson, Alex",Left,74,44,16,9,3,0.364,0.378,0.545,23.0,54.1,47.8,47.8,87.0,13.3,213.5
"Dickerson, Alex",Right,263,177,65,31,1,0.367,0.369,0.729,20.2,66.5,35.5,37.4,99.3,14.3,227.2
"Edwards, Evan",Left,77,48,22,13,2,0.458,0.481,1.021,18.2,62.3,34.6,46.2,97.9,16.1,266.6
"Edwards, Evan",Right,195,134,54,26,2,0.403,0.421,0.851,16.9,67.7,44.2,33.8,99.5,16.1,248.8
"Gonzalez, Luis",Left,121,90,26,14,9,0.289,0.405,0.456,7.4,68.6,48.1,31.5,95.0,11.8,190.8
"Gonzalez, Luis",Right,398,273,105,54,5,0.385,0.412,0.707,15.6,67.1,45.8,34.8,94.7,12.3,212.6
"Logan, Michael",Left,2,1,0,1,0,0.0,0.5,0.0,0.0,50.0,0.0,0.0,,,
"Logan, Michael",Right,11,7,2,0,0,0.286,0.182,0.286,36.4,36.4,50.0,50.0,92.4,-2.0,58.8
"Longhi, Nick",Left,29,24,6,2,1,0.25,0.31,0.542,6.9,82.8,47.1,35.3,93.9,9.9,169.5
"Longhi, Nick",Right,78,52,20,5,1,0.385,0.333,0.442,26.9,66.7,37.5,34.4,95.4,7.3,146.1
"Luplow, Jordan",Left,19,14,5,2,0,0.357,0.368,1.0,15.8,73.7,44.4,44.4,98.6,24.5,294.8
"Luplow, Jordan",Right,40,22,7,8,3,0.318,0.45,0.591,20.0,55.0,40.0,26.7,94.8,22.8,260.4
"Mendoza, Drew",Left,133,92,34,15,2,0.37,0.383,0.533,18.0,67.7,53.7,31.5,89.6,8.3,157.2
"Mendoza, Drew",Right,385,267,99,51,2,0.371,0.395,0.64,15.8,67.3,49.4,30.5,95.3,14.8,221.0
"Mirabal, Isaiah",Left,26,12,4,6,0,0.333,0.385,0.333,30.8,46.2,37.5,25.0,81.6,6.1,115.4
"Mirabal, Isaiah",Right,83,45,18,10,0,0.4,0.337,0.533,32.5,53.0,57.7,19.2,92.3,8.1,190.5
"Napleton, Luke",Left,24,15,8,3,0,0.533,0.458,1.0,25.0,62.5,14.3,85.7,106.8,18.8,295.0
"Napleton, Luke",Right,108,68,37,9,4,0.544,0.463,0.926,22.2,63.0,42.9,42.9,98.8,11.0,205.2
"Parks, Bryson",Right,12,3,2,1,2,0.667,0.417,0.667,50.0,25.0,100.0,0.0,86.6,1.9,56.3
"Viera, Max",Left,90,60,28,11,1,0.467,0.444,0.567,17.8,63.3,39.3,46.4,89.4,7.1,155.2
"Viera, Max",Right,282,193,59,31,6,0.306,0.34,0.472,17.0,66.7,45.9,36.1,93.9,8.1,177.5
"Watson, Nolan",Left,26,10,2,5,1,0.2,0.308,0.5,38.5,38.5,28.6,42.9,87.0,42.9,292.1
"Watson, Nolan",Right,107,61,17,13,1,0.279,0.29,0.443,28.0,54.2,31.7,43.9,94.2,12.4,194.0
"Williams, Miles",Right,5,1,0,0,0,0.0,0.0,0.0,80.0,20.0,100.0,0.0,,,
"Wilson, Cody",Left,27,22,7,1,2,0.318,0.37,0.318,7.4,74.1,30.8,53.8,95.4,10.7,171.0
"Wilson, Cody",Right,106,63,19,12,3,0.302,0.321,0.429,26.4,57.5,40.0,30.0,92.8,6.8,160.4
"Yetsko, Ian",Left,41,18,8,4,1,0.444,0.317,0.611,43.9,41.5,55.6,44.4,92.8,-6.1,137.5
"Yetsko, Ian",Right,122,67,17,11,3,0.254,0.254,0.343,33.6,51.6,37.8,37.8,92.7,15.6,241.0
