Batter,PA,AB,H,BB,HBP,AVG,OBP,SLG,Avg Exit Velo,Avg LA,Avg Distance
"Connell, Justin",2,1,1,1,0,1.0,1.0,2.0,84.7,25.9,285.4
"Tostado, Frankie",6,6,3,0,0,0.5,0.5,1.0,96.4,10.6,234.9
"Tovalin, Osvaldo",3,2,1,1,0,0.5,0.667,0.5,85.1,9.5,166.4
"Simoneit, Will",4,4,2,0,0,0.5,0.5,0.5,100.5,9.0,151.3
"Lewis, Brandon",2,2,1,0,0,0.5,0.5,0.5,77.8,23.7,244.2
"Soularie, Alerick",3,3,1,0,0,0.333,0.333,0.333,85.0,13.9,197.2
"Wehler, Jeffrey",5,5,1,0,0,0.2,0.2,0.2,70.0,24.7,219.8
"Higgins, Ryan",5,5,1,0,0,0.2,0.2,0.2,99.0,5.0,86.5
"Otosaka, Tomo",3,3,0,0,0,0.0,0.0,0.0,,,
"Miller, Jalen",3,2,0,1,0,0.0,0.333,0.0,,,
"Arocho, Jeremy",3,3,0,0,0,0.0,0.0,0.0,,,
"Williams, Chris",3,3,0,0,0,0.0,0.0,0.0,,,
"Fontana, Shayne",3,3,0,0,0,0.0,0.0,0.0,,,
"Alleyne, Bubba",2,1,0,1,0,0.0,0.5,0.0,,,
