gameid,inning,half,batting_team,defense_team,player,base,result,balls,strikes,outs
624144,3,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Joseph Carpenter,2,CS,2,1,1
624144,5,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Nick Ward,2,SB,3,0,2
624144,6,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Joe Campagna,2,CS,2,2,0
624145,1,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Kevin Watson Jr.,3,SB,1,0,0
624146,1,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Kevin Watson Jr.,2,SB,2,0,2
624146,2,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Slater Schield,2,SB,2,1,2
624146,4,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Kevin Watson Jr.,2,SB,1,0,0
624147,4,top,Long Island Ducks,Lancaster Stormers,Kole Kaler,2,CS,1,1,2
624147,5,bottom,Lancaster Stormers,Long Island Ducks,Joseph Carpenter,3,CS,1,1,1
624147,8,top,Long Island Ducks,Lancaster Stormers,JC Encarnacion,2,CS,1,0,1
624147,8,bottom,Lancaster Stormers,Long Island Ducks,Nick Ward,2,SB,0,1,3
624148,2,bottom,Lancaster Stormers,Long Island Ducks,Nick Lucky,2,SB,3,2,2
624148,4,top,Long Island Ducks,Lancaster Stormers,Cody Thomas,2,CS,2,2,2
624148,6,top,Long Island Ducks,Lancaster Stormers,Troy Viola,2,SB,2,1,3
624148,7,top,Long Island Ducks,Lancaster Stormers,Chris Roller,2,SB,1,2,1
624149,1,top,Long Island Ducks,Lancaster Stormers,Ivan Castillo,3,SB,1,2,2
624149,5,top,Long Island Ducks,Lancaster Stormers,Leobaldo Cabrera,2,SB,2,1,2
624149,6,bottom,Lancaster Stormers,Long Island Ducks,Nick Lucky,2,SB,0,1,2
624149,7,bottom,Lancaster Stormers,Long Island Ducks,Yeison Coca,3,SB,1,0,2
624150,1,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Luis Castro,2,SB,3,2,1
624150,1,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Melvin Mercedes,3,SB,3,2,1
624150,2,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Joe Campagna,2,SB,1,1,1
624150,2,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Yeison Coca,2,SB,2,2,1
624150,3,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Nick Lucky,2,SB,1,0,2
624150,3,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Nick Lucky,3,SB,3,2,3
624150,5,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Kevin Watson Jr.,2,SB,0,1,2
624151,1,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Nick Ward,2,SB,1,1,2
624151,6,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Mason Martin,2,SB,1,0,1
624151,7,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Nick Ward,2,SB,3,2,1
624151,7,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Melvin Mercedes,3,SB,3,2,1
624152,1,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Melvin Mercedes,2,SB,0,2,2
624152,2,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Joe Campagna,2,SB,2,2,1
624152,2,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Daniel Amaral,2,SB,1,0,2
624152,4,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Yeison Coca,2,SB,1,1,3
624152,8,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Joe Campagna,2,SB,1,2,0
624152,8,bottom,Lancaster Stormers,Staten Island Ferry Hawks,Yeison Coca,2,SB,1,0,3
624153,1,bottom,Lancaster Stormers,York Revolution,Nick Ward,2,CS,1,2,1
624153,3,top,York Revolution,Lancaster Stormers,Jalen Miller,2,SB,1,1,2
624153,3,top,York Revolution,Lancaster Stormers,Jeremy Arocho,2,CS,1,0,2
624153,6,top,York Revolution,Lancaster Stormers,Ryan Higgins,2,SB,3,2,1
624153,7,top,York Revolution,Lancaster Stormers,Jeremy Arocho,2,SB,0,1,1
624154,4,bottom,Lancaster Stormers,York Revolution,Luis Castro,2,SB,0,1,3
624154,7,top,York Revolution,Lancaster Stormers,Jeremy Arocho,2,SB,1,2,1
624154,7,top,York Revolution,Lancaster Stormers,Jeremy Arocho,3,SB,1,1,1
624156,4,top,Lexington Legends,Lancaster Stormers,Brenden Dixon,2,CS,3,2,0
624156,6,top,Lexington Legends,Lancaster Stormers,EJ Cumbo,2,CS,3,2,0
624156,6,bottom,Lancaster Stormers,Lexington Legends,Nick Lucky,2,SB,0,1,2
624157,1,top,Lexington Legends,Lancaster Stormers,Xane Washington,2,CS,0,1,0
624157,5,bottom,Lancaster Stormers,Lexington Legends,Kevin Watson Jr.,2,SB,0,1,1
624159,1,top,Long Island Ducks,Lancaster Stormers,River Town,2,SB,3,0,1
624159,3,top,Long Island Ducks,Lancaster Stormers,River Town,2,SB,0,1,0
624159,3,top,Long Island Ducks,Lancaster Stormers,River Town,3,SB,0,2,0
624159,5,top,Long Island Ducks,Lancaster Stormers,Ivan Castillo,2,SB,2,2,2
624159,6,top,Long Island Ducks,Lancaster Stormers,Austin Dennis,2,SB,1,0,1
624159,8,top,Long Island Ducks,Lancaster Stormers,Austin Dennis,3,SB,3,1,0
624159,8,top,Long Island Ducks,Lancaster Stormers,River Town,2,CS,3,1,0
624160,1,bottom,Lancaster Stormers,Long Island Ducks,Nick Lucky,2,SB,1,1,0
624160,1,bottom,Lancaster Stormers,Long Island Ducks,Nick Lucky,2,CS,0,1,1
624160,5,bottom,Lancaster Stormers,Long Island Ducks,Daniel Amaral,2,CS,1,0,0
624160,9,top,Long Island Ducks,Lancaster Stormers,Troy Viola,2,SB,2,2,1
624160,9,top,Long Island Ducks,Lancaster Stormers,River Town,3,SB,1,1,3
624161,2,top,Long Island Ducks,Lancaster Stormers,River Town,2,SB,2,0,2
624161,2,bottom,Lancaster Stormers,Long Island Ducks,Nick Lucky,2,SB,0,2,3
624161,4,top,Long Island Ducks,Lancaster Stormers,River Town,2,CS,1,2,2
624204,2,top,Lancaster Stormers,Southern Maryland Blue Crabs,Kevin Watson Jr.,2,CS,2,2,1
624204,3,bottom,Southern Maryland Blue Crabs,Lancaster Stormers,Giovanni Digiacomo,2,SB,1,0,3
624205,4,bottom,Southern Maryland Blue Crabs,Lancaster Stormers,Brett Barrera,2,SB,2,2,2
624205,5,top,Lancaster Stormers,Southern Maryland Blue Crabs,Mason Martin,2,CS,2,2,1
624206,2,top,Lancaster Stormers,Southern Maryland Blue Crabs,Alex Isola,2,SB,1,2,2
624206,4,bottom,Southern Maryland Blue Crabs,Lancaster Stormers,Jackson Loftin,2,SB,2,2,3
624206,5,top,Lancaster Stormers,Southern Maryland Blue Crabs,Kevin Watson Jr.,2,SB,1,0,3
624206,9,bottom,Southern Maryland Blue Crabs,Lancaster Stormers,Sam Dexter,3,SB,3,1,3
624209,9,top,York Revolution,Southern Maryland Blue Crabs,Jaylin Davis,2,SB,3,1,1
624211,1,bottom,Southern Maryland Blue Crabs,Gastonia Ghost Peppers,Jackson Loftin,2,SB,2,1,2
624211,7,top,Gastonia Ghost Peppers,Southern Maryland Blue Crabs,Dalton Guthrie,2,SB,1,2,3
624215,1,top,Staten Island Ferry Hawks,Southern Maryland Blue Crabs,Eddy Diaz,2,SB,2,1,1
624215,3,top,Staten Island Ferry Hawks,Southern Maryland Blue Crabs,Mark Contreras,2,SB,1,0,1
624215,5,top,Staten Island Ferry Hawks,Southern Maryland Blue Crabs,Tyler Dearden,2,CS,1,0,2
624218,2,top,Lexington Legends,Southern Maryland Blue Crabs,Andy Atwood,2,SB,2,1,1
624218,7,top,Lexington Legends,Southern Maryland Blue Crabs,Mason Dinesen,2,SB,0,2,1
624218,7,bottom,Southern Maryland Blue Crabs,Lexington Legends,Jackson Loftin,2,SB,1,0,3
624218,7,bottom,Southern Maryland Blue Crabs,Lexington Legends,Giovanni Digiacomo,3,SB,1,0,3
624219,5,bottom,Southern Maryland Blue Crabs,High Point Rockers,Ethan Wilson,2,SB,1,0,2
624219,6,bottom,Southern Maryland Blue Crabs,High Point Rockers,Giovanni Digiacomo,2,SB,3,0,0
624220,4,bottom,Southern Maryland Blue Crabs,High Point Rockers,Cooper Weiss,2,CS,1,1,1
624220,7,top,High Point Rockers,Southern Maryland Blue Crabs,Aidan Brewer,2,SB,0,2,1
624220,9,bottom,Southern Maryland Blue Crabs,High Point Rockers,Jackson Loftin,2,SB,1,2,2
