gameid,date,start_time,duration,end_time
624144,08/15/2025,06:47 PM,2:16,09:23 PM
624145,08/16/2025,06:52 PM,3:33,10:25 PM
624146,08/17/2025,02:03 PM,2:02,04:24 PM
624147,08/19/2025,06:49 PM,2:46,09:35 PM
624148,08/20/2025,06:49 PM,3:07,09:56 PM
624149,08/21/2025,06:47 PM,3:06,09:53 PM
624150,08/29/2025,06:46 PM,3:07,09:53 PM
624151,08/30/2025,06:47 PM,2:50,09:37 PM
624152,08/31/2025,02:05 PM,2:37,05:12 PM
624153,09/02/2025,06:46 PM,3:11,09:57 PM
624154,09/03/2025,06:47 PM,2:55,09:42 PM
624155,09/04/2025,06:48 PM,3:09,10:36 PM
624156,09/12/2025,06:52 PM,2:59,09:51 PM
624157,09/13/2025,06:58 PM,2:56,09:54 PM
624158,09/14/2025,02:01 PM,2:57,04:58 PM
624159,09/16/2025,06:47 PM,2:47,04:36 PM
624160,09/17/2025,06:49 PM,3:09,10:41 PM
624161,09/18/2025,06:50 PM,2:28,09:18 PM
624204,08/12/2025,06:39 PM,3:34,10:13 PM
624205,08/13/2025,06:35 PM,3:50,10:25 PM
624206,08/14/2025,09:00 PM,,12:31 AM
624207,08/15/2025,06:40 PM,3:06,09:46 PM
624208,08/16/2025,06:38 PM,2:53,09:31 PM
624209,08/17/2025,02:07 PM,3:16,05:23 PM
624210,08/19/2025,06:39 PM,3:38,10:17 PM
624211,08/20/2025,06:37 PM,2:58,09:35 PM
624212,08/21/2025,06:39 PM,2:46,09:25 PM
624213,08/26/2025,06:38 PM,2:29,09:07 PM
624214,08/27/2025,06:36 PM,2:29,09:05 PM
624215,08/28/2025,06:34 PM,2:56,09:30 PM
624216,08/29/2025,05:04 PM,2:16,07:20 PM
624217,08/30/2025,06:35 PM,2:48,09:23 PM
624218,08/31/2025,02:10 PM,2:23,04:33 PM
624219,09/09/2025,06:37 PM,2:55,09:32 PM
624220,09/10/2025,06:38 PM,2:53,09:31 PM
624221,09/11/2025,06:36 PM,3:38,10:14 PM
624222,09/12/2025,06:41 PM,2:51,09:32 PM
624223,09/13/2025,06:38 PM,2:29,09:07 PM
624224,09/14/2025,02:07 PM,2:04,04:11 PM
624270,08/19/2025,06:40 PM,2:30,09:10 PM
624271,08/20/2025,06:34 PM,2:56,09:30 PM
624272,08/21/2025,06:36 PM,2:35,09:11 PM
624273,08/22/2025,06:34 PM,2:27,09:02 PM
624274,08/23/2025,06:37 PM,3:17,09:54 PM
624275,08/24/2025,04:05 PM,2:49,06:54 PM
624276,08/26/2025,06:35 PM,3:01,09:36 PM
624277,08/27/2025,06:37 PM,2:46,09:23 PM
624278,08/28/2025,06:40 PM,3:20,10:00 PM
624279,09/02/2025,06:38 PM,2:41,09:19 PM
624280,09/03/2025,06:37 PM,2:32,09:25 PM
624281,09/04/2025,07:47 PM,3:01,10:48 PM
624282,09/05/2025,06:39 PM,2:30,09:09 PM
624283,09/06/2025,08:01 PM,4:03,12:04 AM
624284,09/07/2025,04:07 PM,2:28,06:35 PM
624285,09/16/2025,06:41 PM,3:07,09:48 PM
624286,09/17/2025,06:37 PM,2:52,09:29 PM
624287,09/18/2025,06:36 PM,3:21,09:57 PM
624333,08/12/2025,06:36 PM,3:10,09:46 PM
624334,08/13/2025,06:36 PM,1:48,08:24 PM
624335,08/14/2025,06:37 PM,3:05,09:42 PM
624336,08/15/2025,06:35 PM,2:16,08:51 PM
624337,08/16/2025,06:35 PM,2:40,09:15 PM
624338,08/17/2025,05:13 PM,2:45,07:58 PM
624339,08/26/2025,06:34 PM,2:37,09:11 PM
624340,08/27/2025,06:34 PM,2:48,09:22 PM
624341,08/28/2025,06:35 PM,2:48,09:23 PM
624342,08/29/2025,06:35 PM,2:35,09:10 PM
624343,08/30/2025,06:37 PM,2:38,09:15 PM
624344,08/31/2025,05:09 PM,2:44,07:53 PM
624345,09/09/2025,06:37 PM,3:12,09:49 PM
624346,09/10/2025,06:34 PM,2:37,09:11 PM
624347,09/11/2025,06:39 PM,3:00,09:39 PM
624348,09/12/2025,06:36 PM,2:43,09:19 PM
624349,09/13/2025,06:38 PM,2:16,08:54 PM
624350,09/14/2025,01:39 PM,2:49,04:28 PM
624399,08/19/2025,06:33 PM,2:31,09:04 PM
624400,08/21/2025,03:59 PM,1:41,05:40 PM
624401,08/21/2025,06:31 PM,1:58,08:29 PM
624402,08/22/2025,07:04 PM,3:05,10:09 PM
624403,08/23/2025,06:50 PM,2:39,09:29 PM
624404,08/24/2025,01:33 PM,3:17,04:50 PM
624405,09/03/2025,06:32 PM,2:59,09:31 PM
624406,09/04/2025,04:01 PM,1:42,05:43 PM
624407,09/04/2025,06:28 PM,2:20,08:48 PM
624408,09/05/2025,07:00 PM,2:46,09:46 PM
624409,09/06/2025,06:36 PM,,12:52 PM
624410,09/07/2025,01:35 PM,2:07,03:42 PM
624411,09/16/2025,06:32 PM,2:56,09:28 PM
624412,09/17/2025,06:32 PM,2:47,09:19 PM
624413,09/18/2025,10:37 AM,2:59,01:36 PM
624462,08/12/2025,06:39 PM,3:06,09:50 PM
624463,08/13/2025,12:07 PM,3:09,03:11 PM
624464,08/14/2025,06:40 PM,3:07,09:52 PM
624465,08/15/2025,06:40 PM,2:43,09:23 PM
624466,08/16/2025,06:39 PM,3:00,09:39 PM
624467,08/17/2025,03:09 PM,3:19,06:35 PM
624468,08/29/2025,06:39 PM,2:38,09:17 PM
624469,08/30/2025,06:42 PM,2:59,09:41 PM
624470,08/31/2025,03:09 PM,4:09,07:18 PM
624471,09/09/2025,06:38 PM,3:19,09:57 PM
624472,09/10/2025,06:39 PM,2:57,09:36 PM
624473,09/11/2025,06:43 PM,3:17,10:00 PM
624474,09/12/2025,06:39 PM,3:29,10:08 PM
624475,09/13/2025,06:41 PM,3:27,10:08 PM
624476,09/14/2025,03:08 PM,4:14,07:22 PM
624528,08/19/2025,06:36 PM,3:20,09:56 PM
624529,08/20/2025,06:34 PM,2:46,09:20 PM
624530,08/21/2025,06:34 PM,3:08,09:42 PM
624531,08/22/2025,06:36 PM,3:37,10:13 PM
624532,08/23/2025,06:36 PM,3:01,09:37 PM
624533,08/24/2025,01:03 PM,2:35,03:38 PM
624534,09/05/2025,06:39 PM,2:47,09:26 PM
624535,09/06/2025,06:38 PM,3:33,10:28 PM
624536,09/07/2025,01:03 PM,2:38,03:41 PM
624537,09/09/2025,06:38 PM,2:47,09:25 PM
624538,09/10/2025,06:36 PM,2:47,09:23 PM
624539,09/11/2025,06:37 PM,2:49,09:26 PM
624585,08/12/2025,06:33 PM,2:32,09:05 PM
624586,08/13/2025,06:32 PM,3:16,09:48 PM
624587,08/14/2025,06:30 PM,2:32,09:02 PM
624588,08/22/2025,06:37 PM,3:26,10:03 PM
624589,08/23/2025,06:03 PM,2:39,08:42 PM
624590,08/24/2025,02:01 PM,2:47,04:48 PM
624591,08/26/2025,06:32 PM,2:27,08:59 PM
624592,08/27/2025,06:31 PM,3:00,09:31 PM
624593,08/28/2025,06:36 PM,2:59,09:35 PM
624594,08/29/2025,06:32 PM,2:52,09:24 PM
624595,08/30/2025,06:02 PM,2:50,08:52 PM
624596,08/31/2025,02:01 PM,3:10,05:11 PM
624597,09/09/2025,06:33 PM,2:58,09:31 PM
624599,09/11/2025,06:34 PM,3:04,09:38 PM
624600,09/12/2025,06:38 PM,3:05,09:53 PM
624601,09/13/2025,06:02 PM,2:20,08:22 PM
624602,09/14/2025,02:05 PM,2:53,04:58 PM
624648,08/12/2025,06:48 PM,2:42,09:30 PM
624649,08/13/2025,08:08 PM,3:06,11:14 PM
624650,08/14/2025,06:48 PM,2:55,09:43 PM
624651,08/15/2025,07:00 PM,2:52,09:52 PM
624652,08/16/2025,07:05 PM,3:00,10:05 PM
624653,08/17/2025,02:03 PM,3:22,05:25 PM
624654,08/26/2025,06:48 PM,3:06,09:54 PM
624655,08/27/2025,06:49 PM,3:08,09:57 PM
624656,08/28/2025,06:49 PM,3:13,10:02 PM
624657,09/02/2025,06:49 PM,3:38,10:27 PM
624658,09/03/2025,06:50 PM,2:55,09:45 PM
624659,09/04/2025,06:47 PM,3:18,10:05 PM
624660,09/05/2025,07:04 PM,2:48,09:52 PM
624661,09/06/2025,07:04 PM,3:11,10:15 PM
624662,09/07/2025,02:05 PM,3:10,05:15 PM
624663,09/16/2025,06:50 PM,2:45,09:35 PM
624664,09/17/2025,11:04 AM,2:14,01:18 PM
624665,09/18/2025,07:10 PM,2:46,09:56 PM
624717,08/22/2025,07:01 PM,2:59,10:00 PM
624718,08/23/2025,07:02 PM,2:51,09:53 PM
624719,08/24/2025,04:02 PM,3:32,07:34 PM
624720,09/02/2025,06:32 PM,2:30,09:02 PM
624721,09/03/2025,12:31 PM,3:19,03:50 PM
624722,09/04/2025,06:30 PM,2:03,08:33 PM
624723,09/05/2025,07:17 PM,3:29,10:46 PM
624724,09/06/2025,07:30 PM,2:59,10:29 PM
624725,09/07/2025,04:01 PM,2:59,07:00 PM
624726,09/16/2025,06:33 PM,2:56,09:29 PM
624727,09/17/2025,12:32 PM,3:30,04:59 PM
624728,09/18/2025,06:33 PM,2:40,09:13 PM
632266,08/29/2025,08:02 PM,2:11,10:13 PM
632433,09/10/2025,06:32 PM,2:44,09:16 PM
