PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-25,18:40:40.47,1,1,"Gant, John",607231,Right,LI,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.38946,-1.411871,-3.568583,2646.1743,223.96774,1:30,6.61034,1.67356,6.58744,-14.03013,18.55532,16.85383,4.11995,-0.25856,84.88647,-4.096596,-0.568061,0.41085,,,,,,,,,,,,-9.4626,10.07434,-1.37769,50,6.47986,7.6417,-135.29656,-3.75922,-17.50093,30.12893,-13.54173,LI,LAN,CenterIslip,Independent,ATL,20250425-CenterIslip-1,50165d70-2226-11f0-b71b-5759137858f9,91.74261,,,8.503,,,,,,,ec583749-c087-44a1-a4c7-e34fbf4199c5,2025-04-25,22:40:40.47,2025-04-25T18:40:40.4740000-04:00,2025-04-25T22:40:40.4740000Z,,v3,1896,1889,,"O'Conner, Justin",592604,Right,LI,a3ff9cd3-449c-4215-ab7e-201361bf45bf,54.90942,-136.38545,15.06447,6.60687,-3.26981,-6.77086,-1.6653,8.2742,-8.75047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-25,18:40:53.78,1,2,"Gant, John",607231,Right,LI,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,0,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.00775,-2.012731,-4.166422,2571.456853,225.801064,1:30,6.55837,1.77507,6.81179,-14.00721,18.05084,17.42217,3.51379,-0.65417,85.16542,-4.706481,-1.054764,0.407512,,,,,,,,,,,,-10.02567,10.08985,-1.4431,50,6.38461,9.10031,-136.05366,-5.19423,-18.67872,31.53042,-13.37576,LI,LAN,CenterIslip,Independent,ATL,20250425-CenterIslip-1,580a5860-2226-11f0-b71b-5759137858f9,92.49412,,,8.84233,,,,,,,ec583749-c087-44a1-a4c7-e34fbf4199c5,2025-04-25,22:40:53.78,2025-04-25T18:40:53.7880000-04:00,2025-04-25T22:40:53.7880000Z,,v3,1896,1889,,"O'Conner, Justin",592604,Right,LI,6410562c-e23d-415e-9604-e38c32abe674,54.68468,-137.13504,15.76521,6.55489,-4.73549,-6.68788,-1.7662,9.74092,-9.33936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-25,18:41:07.78,1,3,"Gant, John",607231,Right,LI,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,0,2,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.51038,-1.353359,-2.831685,2550.463541,227.395737,1:30,6.47324,1.73888,6.79715,-15.1219,17.29107,17.56576,3.95251,0.56672,84.51638,-4.253742,0.311676,0.409761,,,,,,,,,,,,-9.71981,9.52422,-1.51607,50,6.35283,5.88463,-135.51749,-3.65055,-17.90437,32.23095,-14.62991,LI,LAN,CenterIslip,Independent,ATL,20250425-CenterIslip-1,607be7c0-2226-11f0-b71b-5759137858f9,91.98635,,,8.994,,,,,,,ec583749-c087-44a1-a4c7-e34fbf4199c5,2025-04-25,22:41:07.78,2025-04-25T18:41:07.7810000-04:00,2025-04-25T22:41:07.7810000Z,,v3,1896,1889,,"O'Conner, Justin",592604,Right,LI,a2b383fc-a7a5-4aa9-8f89-df577a48509e,54.69865,-136.63043,16.11548,6.47016,-3.14538,-7.31496,-1.72994,6.50286,-8.95219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-25,18:41:22.31,1,4,"Gant, John",607231,Right,LI,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,0,3,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.6025,-2.398304,-3.064768,2584.236271,222.828193,1:30,6.44664,1.78035,6.69017,-12.80879,19.7406,17.22214,3.13953,0.35645,84.55969,-4.879464,0.009735,0.410623,,,,,,,,,,,,-9.60465,11.0567,-1.53309,50,6.23677,6.44669,-135.51521,-6.03154,-17.68272,32.36791,-11.81802,LI,LAN,CenterIslip,Independent,ATL,20250425-CenterIslip-1,69230610-2226-11f0-b71b-5759137858f9,91.79338,,,9.04282,,,,,,,ec583749-c087-44a1-a4c7-e34fbf4199c5,2025-04-25,22:41:22.31,2025-04-25T18:41:22.3130000-04:00,2025-04-25T22:41:22.3130000Z,,v3,1896,1889,,"O'Conner, Justin",592604,Right,LI,025212b7-b1fe-4a1d-a1eb-19c4e377d9b8,54.80585,-136.65827,16.18395,6.4424,-5.61419,-5.90901,-1.77178,7.07115,-8.84136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-25,18:41:37.54,1,5,"Gant, John",607231,Right,LI,"Ward, Nick",682187,Left,LAN,Undefined,1,Top,0,3,1,Undefined,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,95.21418,-0.94269,-3.430368,2551.198635,222.126271,1:30,6.62051,1.73659,6.70766,-14.85068,16.48154,13.93245,4.50301,-0.30223,86.16487,-3.781175,-0.944193,0.402872,,,,,,,,,,,,-8.01949,8.93591,-1.45734,50,6.53226,7.59973,-137.92337,-2.73163,-15.34045,32.66348,-15.08054,LI,LAN,CenterIslip,Independent,ATL,20250425-CenterIslip-1,721c8a20-2226-11f0-b71b-5759137858f9,93.55935,,,9.04931,,,,,,,ec583749-c087-44a1-a4c7-e34fbf4199c5,2025-04-25,22:41:37.54,2025-04-25T18:41:37.5470000-04:00,2025-04-25T22:41:37.5470000Z,,v3,1896,1889,,"O'Conner, Justin",592604,Right,LI,9331feec-0508-4530-912b-c44a414ef239,54.7878,-139.05261,16.33174,6.61768,-2.21026,-7.54027,-1.72924,8.13009,-7.67022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-25,18:42:10.60,2,1,"Gant, John",607231,Right,LI,"Lucky, Nick",681879,Left,LAN,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.71453,-2.145887,-3.270554,2580.493234,224.709464,1:30,6.45478,1.77939,6.67039,-13.9028,18.48784,17.19241,3.29132,0.15951,84.92578,-4.814661,-0.203191,0.40962,,,,,,,,,,,,-9.63989,10.32359,-1.51386,50,6.26469,6.95314,-135.72521,-5.50161,-17.86196,31.55385,-13.04523,LI,LAN,CenterIslip,Independent,ATL,20250425-CenterIslip-1,85eed990-2226-11f0-b71b-5759137858f9,92.01805,,,8.78875,,,,,,,ec583749-c087-44a1-a4c7-e34fbf4199c5,2025-04-25,22:42:10.60,2025-04-25T18:42:10.6050000-04:00,2025-04-25T22:42:10.6050000Z,,v3,1896,1889,,"O'Conner, Justin",592604,Right,LI,90c52845-9d56-4750-aea2-dadf4cda0292,54.82652,-136.84269,15.77693,6.45135,-5.03961,-6.52262,-1.77131,7.58573,-8.93098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-25,18:42:33.24,2,2,"Gant, John",607231,Right,LI,"Lucky, Nick",681879,Left,LAN,Undefined,1,Top,0,0,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.3516,-1.713518,-3.138323,2678.082247,227.516334,1:30,6.33884,1.79065,6.7731,-13.76828,18.03615,18.50001,3.5941,0.40903,85.48253,-4.362131,0.169451,0.405896,,,,,,,,,,,,-10.29571,9.99418,-1.54217,50,6.18879,6.63698,-136.72994,-4.49539,-19.35704,32.0749,-13.38389,LI,LAN,CenterIslip,Independent,ATL,20250425-CenterIslip-1,936d97a0-2226-11f0-b71b-5759137858f9,92.86223,,,8.86906,,,,,,,ec583749-c087-44a1-a4c7-e34fbf4199c5,2025-04-25,22:42:33.24,2025-04-25T18:42:33.2490000-04:00,2025-04-25T22:42:33.2490000Z,,v3,1896,1889,,"O'Conner, Justin",592604,Right,LI,b984f5f6-f0e6-4a12-9b6b-5ae8cc3cb25f,54.72408,-137.83368,16.03745,6.33556,-4.03483,-6.69194,-1.78202,7.30308,-9.67852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-25,18:42:56.59,2,3,"Gant, John",607231,Right,LI,"Lucky, Nick",681879,Left,LAN,Undefined,1,Top,0,0,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.2089,-3.492429,-4.33209,2630.176424,229.615662,1:45,6.38797,1.82832,6.70576,-14.0652,18.02773,19.88533,1.94853,-0.55858,85.54134,-6.182486,-0.787423,0.407733,,,,,,,,,,,,-11.30662,10.48638,-1.477,50,6.08555,9.38939,-136.16957,-8.7534,-21.12897,31.21827,-12.57785,LI,LAN,CenterIslip,Independent,ATL,20250425-CenterIslip-1,a1577390-2226-11f0-b71b-5759137858f9,92.44385,,,8.66755,,,,,,,ec583749-c087-44a1-a4c7-e34fbf4199c5,2025-04-25,22:42:56.59,2025-04-25T18:42:56.5910000-04:00,2025-04-25T22:42:56.5910000Z,,v3,1896,1889,,"O'Conner, Justin",592604,Right,LI,4dd3e484-8f25-4491-bbc8-f4035850bfcf,54.79206,-137.2638,15.60914,6.38464,-8.31253,-6.28892,-1.81908,10.12998,-10.56449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-25,18:43:20.72,2,4,"Gant, John",607231,Right,LI,"Lucky, Nick",681879,Left,LAN,Undefined,1,Top,0,1,2,Undefined,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,94.40242,-2.872195,-3.094874,2665.980953,228.323866,1:30,6.47111,1.65661,6.75157,-13.80639,18.1184,19.07922,2.64064,0.36265,85.39891,-5.52538,0.315871,0.406663,,,,,,,,,,,,-10.56394,10.39524,-1.4109,50,6.22388,6.49202,-136.65306,-7.26473,-19.78982,32.73155,-12.70026,LI,LAN,CenterIslip,Independent,ATL,20250425-CenterIslip-1,afc2b480-2226-11f0-b71b-5759137858f9,92.68707,,,9.00351,,,,,,,ec583749-c087-44a1-a4c7-e34fbf4199c5,2025-04-25,22:43:20.72,2025-04-25T18:43:20.7270000-04:00,2025-04-25T22:43:20.7270000Z,,v3,1896,1889,,"O'Conner, Justin",592604,Right,LI,c0788725-f1b1-446a-bc99-506d5e5c1a2e,54.74493,-137.78489,16.36578,6.46749,-6.82556,-6.35013,-1.64722,7.17634,-9.89491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-25,18:43:59.48,3,1,"Gant, John",607231,Right,LI,"Martin, Mason",676733,Left,LAN,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.73554,-1.920554,-2.83161,2625.08354,232.710574,1:45,6.31302,1.98268,6.59979,-14.81804,16.33233,20.0167,3.28234,1.00508,86.60724,-4.745169,0.737861,0.401701,,,,,,,,,,,,-10.94508,9.1541,-1.75312,50,6.13894,5.90052,-138.7004,-5.13187,-21.12801,33.64906,-14.50328,LI,LAN,CenterIslip,Independent,ATL,20250425-CenterIslip-1,c6e3b9c0-2226-11f0-b71b-5759137858f9,93.83206,,,9.1283,,,,,,,ec583749-c087-44a1-a4c7-e34fbf4199c5,2025-04-25,22:43:59.48,2025-04-25T18:43:59.4840000-04:00,2025-04-25T22:43:59.4840000Z,,v3,1896,1889,,"O'Conner, Justin",592604,Right,LI,c0d7d4cf-c653-494a-a51c-0286b1934d81,54.89764,-139.88353,16.82453,6.31042,-4.62192,-7.25164,-1.97365,6.6434,-10.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
