PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,18:32:30.44,1,1,"Pace, Foster",699349,Right,YOR,"Kaler, Kole",689179,Left,LI,Undefined,1,Top,0,0,0,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,88.40542,-2.523065,-2.897363,2100.701643,218.814121,1:15,5.90578,2.21966,4.88054,-21.22399,16.07363,11.94201,1.74531,0.47114,80.76008,-6.439966,-0.796276,0.439554,73.74456,11.90324,6.06366,1982.066061,109.59004,8.69764,9.4812,150.52726,150.52726,4.628907,1.698022,-6.74874,9.00969,-1.94568,50,5.64026,5.9248,-127.97534,-6.42313,-11.18358,26.59939,-17.24379,YOR,LI,WellSpanPark,Independent,ATL,20250502-WellSpanPark-1,5616b060-27a5-11f0-af45-e7022035fe96,85.75159,10.58231,,7.64534,,,,1.77967,1.78203,-0.48883,d44263a2-f07d-45b9-8cb6-6172a9a5edf2,2025-05-02,22:32:30.44,2025-05-02T18:32:30.4403456-04:00,2025-05-02T22:32:30.4403456Z,GroundBall,v3,5435,1896,,"Berglund, Michael",668842,Right,YOR,1047c00d-3527-4b8f-985b-eec2290e0d28,55.61977,-129.13811,13.2997,5.90456,-5.66933,-8.62189,-2.21537,6.41368,-5.59179,168.57915,1.77966,105.24222,-14.52122,3.26124,-0.95765,0.52807,-0.2902,0.09224,-0.0121,1.78205,22.30679,-14.42321,0.24073,0.42673,-0.52593,0.33703,-0.10928,0.01438,-0.48882,11.17828,-2.4733,0.02606,0.30959,-0.34117,0.21017,-0.06752,0.00885,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-05-02,18:33:14.74,2,1,"Pace, Foster",699349,Right,YOR,"Town, River",701817,Left,LI,Undefined,1,Top,0,0,0,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.50396,-0.779799,-3.452643,1780.184759,248.639111,2:15,5.78801,2.33522,4.96019,-38.54589,5.08603,9.48304,1.83774,-0.14041,74.85883,-7.76395,-1.781821,0.475416,77.17747,-29.617127,64.732485,,,,,5.04674,5.04674,39.977185,0.035119,-5.67725,3.10666,-2.00885,50,5.68061,6.72404,-118.07845,-3.01796,-8.02424,22.24791,-27.78307,YOR,LI,WellSpanPark,Independent,ATL,20250502-WellSpanPark-1,7082e900-27a5-11f0-af45-e7022035fe96,79.28311,1.96916,,6.64514,,,,2.38875,1.96916,0.10991,d44263a2-f07d-45b9-8cb6-6172a9a5edf2,2025-05-02,22:33:14.74,2025-05-02T18:33:14.7474944-04:00,2025-05-02T22:33:14.7474944Z,GroundBall,v3,5435,1896,,"Berglund, Michael",668842,Right,YOR,33c0d0d0-331e-483d-8499-e321d1dcb098,55.54083,-119.11785,11.12396,5.79129,-1.71995,-13.89154,-2.33175,7.09892,-4.01212,,2.38819,42.10173,,,,,,,,1.9699,-56.07129,,,,,,,,0.10874,89.19775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
3,2025-05-02,18:33:39.61,2,2,"Pace, Foster",699349,Right,YOR,"Town, River",701817,Left,LI,Undefined,1,Top,0,0,1,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.42101,-1.073885,-2.546366,2347.593297,207.777645,1:00,5.74584,2.38873,4.98923,-28.46694,11.56012,5.3565,2.35845,0.4291,77.50763,-6.30775,-1.60181,0.455353,,,,,,,,,,,,-3.35418,6.47319,-2.14762,50,5.61984,5.24187,-123.60261,-3.36503,-5.15235,26.25842,-22.23052,YOR,LI,WellSpanPark,Independent,ATL,20250502-WellSpanPark-1,7f3b3880-27a5-11f0-af45-e7022035fe96,82.77627,,,7.91338,,,,,,,d44263a2-f07d-45b9-8cb6-6172a9a5edf2,2025-05-02,22:33:39.61,2025-05-02T18:33:39.6136448-04:00,2025-05-02T22:33:39.6136448Z,,v3,5435,1896,,"Berglund, Michael",668842,Right,YOR,a023b3c2-c75d-4de5-b555-4c674651534b,55.50386,-124.76639,13.12921,5.74714,-2.37978,-11.11526,-2.385,5.47022,-2.57618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,18:34:09.46,2,3,"Pace, Foster",699349,Right,YOR,"Town, River",701817,Left,LI,Undefined,1,Top,0,0,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.89007,-0.017738,-3.235266,2224.260818,212.987148,1:00,5.97567,2.30599,4.85505,-20.71269,17.39489,10.41359,4.23279,0.10803,79.2503,-3.888971,-1.406393,0.444301,,,,,,,,,,,,-6.0667,8.93099,-1.99568,50,5.95716,6.68019,-127.09934,-0.76531,-9.82611,28.44376,-17.70868,YOR,LI,WellSpanPark,Independent,ATL,20250502-WellSpanPark-1,9105aa00-27a5-11f0-af45-e7022035fe96,84.83539,,,8.63977,,,,,,,d44263a2-f07d-45b9-8cb6-6172a9a5edf2,2025-05-02,22:34:09.46,2025-05-02T18:34:09.4628864-04:00,2025-05-02T22:34:09.4628864Z,,v3,5435,1896,,"Berglund, Michael",668842,Right,YOR,543977e4-a4be-400a-91de-78235405b396,55.6404,-128.35541,14.22188,5.97369,0.0167,-8.85434,-2.30026,7.1141,-4.91305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-02,18:34:29.70,2,4,"Pace, Foster",699349,Right,YOR,"Town, River",701817,Left,LI,Undefined,1,Top,0,1,2,Undefined,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,88.1425,-0.260367,-3.414062,2188.217992,221.386241,1:30,5.9528,2.25388,4.76473,-22.13312,15.90776,12.82052,3.86106,0.08129,79.47353,-4.373125,-1.166206,0.443912,66.2542,71.97891,-40.62104,,,,,120.0307,71.77143,-57.487296,5.053389,-7.36693,8.27493,-1.92333,50,5.90818,6.99291,-127.459,-1.39165,-11.98492,28.90295,-18.71193,YOR,LI,WellSpanPark,Independent,ATL,20250502-WellSpanPark-1,9d313420-27a5-11f0-af45-e7022035fe96,84.90973,109.02194,,8.66897,,,,1.93485,4.78632,-1.44313,d44263a2-f07d-45b9-8cb6-6172a9a5edf2,2025-05-02,22:34:29.70,2025-05-02T18:34:29.7037312-04:00,2025-05-02T22:34:29.7037312Z,Popup,v3,5435,1896,,"Berglund, Michael",668842,Right,YOR,9e43abfe-5abd-442a-b6a0-4e06972143e7,55.73337,-128.75255,14.45147,5.95173,-0.5542,-9.35597,-2.2483,7.52929,-5.99246,157.427775,1.93577,22.77393,-5.99104,1.15324,0.32779,-0.3145,0.09745,-0.01397,0.00077,4.79004,92.31021,-24.17236,1.79412,0.26047,-0.2811,0.07776,-0.00996,0.00051,-1.45231,-19.40082,-2.26429,1.70325,-0.77852,0.21074,-0.02725,0.00094,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2025-05-02,18:35:11.04,3,1,"Pace, Foster",699349,Right,YOR,"Thomas, Cody",642137,Left,LI,Undefined,1,Top,1,0,0,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,2,0,,87.59567,-1.62974,-3.92781,2184.853577,221.305425,1:30,5.93832,2.34378,4.85463,-21.87139,16.66198,13.39564,2.56893,-0.26383,78.93783,-5.700322,-1.576521,0.446776,63.02387,-30.357951,4.855867,,,,,7.68429,7.52327,4.570918,0.058275,-7.88398,9.13142,-1.96792,50,5.75943,8.06541,-126.54757,-4.39027,-12.61348,29.05281,-17.56475,YOR,LI,WellSpanPark,Independent,ATL,20250502-WellSpanPark-1,b5d1fb90-27a5-11f0-af45-e7022035fe96,84.36539,2.73579,,8.65783,,,,3.00573,2.73579,0.21699,d44263a2-f07d-45b9-8cb6-6172a9a5edf2,2025-05-02,22:35:11.04,2025-05-02T18:35:11.0455808-04:00,2025-05-02T22:35:11.0455808Z,GroundBall,v3,5435,1896,,"Berglund, Michael",668842,Right,YOR,764b781c-88f9-485b-b643-033c1388bc4a,55.64395,-127.83674,14.5264,5.93695,-3.61086,-8.78238,-2.33823,8.62512,-6.30674,180,3.00206,79.86496,,,,,,,,2.73794,-46.94624,,,,,,,,0.21668,6.78488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-05-02,18:38:15.15,1,1,"Gant, John",607231,Right,LI,"Otosaka, Tomo",678465,Left,YOR,Undefined,1,Bottom,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.72635,-2.829535,-4.291883,2601.158634,235.951043,1:45,6.16227,1.54741,5.22265,-20.63576,12.63512,16.88013,1.7727,-1.08863,84.51137,-6.671023,-1.308668,0.415149,,,,,,,,,,,,-9.75713,7.55178,-1.16394,50,5.88537,9.33086,-135.31839,-7.47215,-17.85164,33.18211,-18.35734,YOR,LI,WellSpanPark,Independent,ATL,20250502-WellSpanPark-1,2390ec40-27a6-11f0-af45-e7022035fe96,90.79265,,,9.21498,,,,,,,d44263a2-f07d-45b9-8cb6-6172a9a5edf2,2025-05-02,22:38:15.15,2025-05-02T18:38:15.1527424-04:00,2025-05-02T22:38:15.1527424Z,,v3,5435,1896,,"O'Conner, Justin",592604,Right,LI,6b825a33-9cc3-4ccd-9d2e-6f0fc13199c8,55.27533,-136.60586,16.59105,6.16147,-6.75989,-9.17867,-1.53942,10.02351,-8.92582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,18:38:30.92,1,2,"Gant, John",607231,Right,LI,"Otosaka, Tomo",678465,Left,YOR,Undefined,1,Bottom,0,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.78493,-2.544174,-3.224014,2444.662143,225.723923,1:30,6.12247,1.92324,5.36829,-15.16517,17.43973,16.76666,2.46783,0.29431,85.36254,-5.411862,-0.249019,0.410973,80.23237,57.794383,-84.114856,4605.454977,,,,,68.09259,,,-9.34859,9.8069,-1.64617,50,5.88342,6.85698,-135.80484,-6.547,-17.41194,30.48714,-13.90848,YOR,LI,WellSpanPark,Independent,ATL,20250502-WellSpanPark-1,2cef73b0-27a6-11f0-af45-e7022035fe96,91.7152,87.76964,,8.42239,,,,0.596,3.71306,-1.65291,d44263a2-f07d-45b9-8cb6-6172a9a5edf2,2025-05-02,22:38:30.92,2025-05-02T18:38:30.9277184-04:00,2025-05-02T22:38:30.9277184Z,,v3,5435,1896,,"O'Conner, Justin",592604,Right,LI,2622cca7-40d6-42fd-b70b-709c8abbc932,55.13179,-136.95204,15.24357,6.11993,-6.02364,-6.95424,-1.91652,7.51217,-8.70597,,0.596,6.43042,-9.47133,3.0845,-0.7462,0.05944,0.10494,-0.07362,0.01671,3.71306,99.56874,-27.72918,3.42481,-0.69163,0.11981,-0.01556,-0.00087,0.00066,-1.65291,-62.38487,6.89891,-1.21411,0.1883,-0.02689,0.00443,-0.00056,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
9,2025-05-02,18:38:48.63,1,3,"Gant, John",607231,Right,LI,"Otosaka, Tomo",678465,Left,YOR,Undefined,1,Bottom,0,1,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,88.24851,-2.90619,-3.061928,2737.732924,193.711048,12:30,6.10461,1.89493,5.37454,-29.98065,6.58622,1.33744,0.87534,-0.867,81.49078,-8.360281,-2.824354,0.435226,,,,,,,,,,,,-1.48811,4.40083,-1.62135,50,5.82233,6.78213,-127.86846,-7.60752,-2.47541,25.20375,-24.85354,YOR,LI,WellSpanPark,Independent,ATL,20250502-WellSpanPark-1,37831fc0-27a6-11f0-af45-e7022035fe96,86.6042,,,6.75773,,,,,,,d44263a2-f07d-45b9-8cb6-6172a9a5edf2,2025-05-02,22:38:48.63,2025-05-02T18:38:48.6306816-04:00,2025-05-02T22:38:48.6306816Z,,v3,5435,1896,,"O'Conner, Justin",592604,Right,LI,f464258a-24f9-4f6b-b104-30b8b5c1516c,55.12662,-128.87499,12.60188,6.10633,-6.61498,-12.42677,-1.89417,6.88099,-1.23771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,18:39:04.86,1,4,"Gant, John",607231,Right,LI,"Otosaka, Tomo",678465,Left,YOR,Undefined,1,Bottom,0,2,1,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,94.20255,-2.953013,-3.571896,2538.465449,225.96592,1:30,6.0318,2.00713,5.21801,-15.92017,16.86107,16.2221,1.92064,-0.00391,85.15881,-5.957432,-0.702823,0.412082,101.14035,10.169092,-14.16145,1658.19792,105.53386,15.83853,-31.02377,257.86652,255.69263,-19.138748,2.358858,-9.18292,9.65611,-1.68967,50,5.74706,7.70798,-136.16158,-7.58401,-17.06974,32.64832,-14.22466,YOR,LI,WellSpanPark,Independent,ATL,20250502-WellSpanPark-1,412d0810-27a6-11f0-af45-e7022035fe96,91.46821,16.75273,,9.04374,,,,0.88697,1.91043,0.01091,d44263a2-f07d-45b9-8cb6-6172a9a5edf2,2025-05-02,22:39:04.86,2025-05-02T18:39:04.8687104-04:00,2025-05-02T22:39:04.8687104Z,LineDrive,v3,5435,1896,,"O'Conner, Justin",592604,Right,LI,ff5a2953-409e-433d-b42c-e6a1d7a1b0cb,55.28063,-137.42192,16.32416,6.02923,-7.03489,-7.11233,-1.99995,8.36693,-8.53487,137.900352,0.88697,141.57137,-25.67212,5.99637,-1.27677,0.24076,-0.0408,0.00562,-0.0004,1.91043,26.18993,-11.13266,-0.76332,0.47148,-0.14362,0.0342,-0.00506,0.00034,0.01091,-35.72192,-2.29108,1.97233,-0.7455,0.20853,-0.04508,0.0064,-0.00043,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
