PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-09,18:04:42.21,1,1,"Eastman, Colton",663678,Right,LEX_LEG,"Dues, Damon ",680815,Left,STA_YAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.92577,-1.948272,-2.682301,2402.329161,212.639554,1:00,6.16906,2.84061,5.72626,-19.08119,15.06969,8.93489,2.76165,1.08505,82.93001,-5.536792,-1.085449,0.420603,,,,,,,,,,,,-5.30012,8.5539,-2.62213,50,5.99457,5.78103,-131.82859,-5.10712,-9.30656,28.60028,-17.15417,LEX_LEG,STA_YAN,WildHealthField,Independent,ATL,20250509-WildHealthField-1,fe0d02e0-2d29-11f0-ad64-bb9b336888cc,89.61521,,,7.99576,,,,,,,f01349d1-2159-4eab-9565-88c37aebcfca,2025-05-09,23:04:42.21,2025-05-09T18:04:42.2194688-05:00,2025-05-09T23:04:42.2194688Z,,v3,495,586,,"Burgess, Colin",689878,Right,LEX_LEG,fb0c1b25-625a-4c4b-8dbf-c3f1e264aeee,54.77314,-132.86009,14.30014,6.16761,-4.48844,-8.57708,-2.83668,6.11669,-4.65328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-09,18:04:56.59,1,2,"Eastman, Colton",663678,Right,LEX_LEG,"Dues, Damon ",680815,Left,STA_YAN,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.50464,-1.230266,-2.400235,2350.270366,204.474258,12:45,6.21481,2.70639,5.85631,-21.89115,12.32064,5.11063,3.24628,0.90083,82.70214,-5.328876,-1.484452,0.420978,,,,,,,,,,,,-3.27575,6.97437,-2.51434,50,6.10207,5.2829,-131.3301,-3.54498,-5.71735,27.98196,-20.00126,LEX_LEG,STA_YAN,WildHealthField,Independent,ATL,20250509-WildHealthField-1,0699e270-2d2a-11f0-ad64-bb9b336888cc,89.53542,,,7.80249,,,,,,,f01349d1-2159-4eab-9565-88c37aebcfca,2025-05-09,23:04:56.59,2025-05-09T18:04:56.5921280-05:00,2025-05-09T23:04:56.5921280Z,,v3,495,586,,"Burgess, Colin",689878,Right,LEX_LEG,06375cbb-3b7e-4914-8c95-93154e2af69c,54.64287,-132.31564,13.99098,6.21452,-2.84052,-10.00063,-2.70395,5.48427,-2.85867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-09,18:05:12.02,1,3,"Eastman, Colton",663678,Right,LEX_LEG,"Dues, Damon ",680815,Left,STA_YAN,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.27912,-3.291337,-2.973263,2421.277695,199.829833,12:45,6.17146,2.828,6.01137,-19.61773,14.79883,4.92099,1.48,0.4811,82.37945,-6.981968,-2.089352,0.422236,,,,,,,,,,,,-3.4104,8.92654,-2.59715,50,5.90181,6.58768,-130.76671,-8.13425,-5.87728,28.79479,-16.79058,LEX_LEG,STA_YAN,WildHealthField,Independent,ATL,20250509-WildHealthField-1,0fc720b0-2d2a-11f0-ad64-bb9b336888cc,89.26873,,,7.89967,,,,,,,f01349d1-2159-4eab-9565-88c37aebcfca,2025-05-09,23:05:12.02,2025-05-09T18:05:12.0252416-05:00,2025-05-09T23:05:12.0252416Z,,v3,495,586,,"Burgess, Colin",689878,Right,LEX_LEG,cb8e4e6d-6a28-4683-b3ef-0467b287d037,54.48881,-131.75143,14.39739,6.17017,-7.56004,-8.39529,-2.82587,6.78867,-2.93864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-09,18:05:29.31,1,4,"Eastman, Colton",663678,Right,LEX_LEG,"Dues, Damon ",680815,Left,STA_YAN,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Double,0,0,,90.05142,-3.05962,-2.933941,2286.837328,209.672686,1:00,6.17239,2.8486,5.82234,-18.71603,16.30796,8.58382,1.76167,0.83377,81.62231,-6.598538,-1.397402,0.425946,81.00549,25.453658,-28.459626,4254.444449,90.90053,39.91495,-61.94403,245.81524,165.04242,-42.35271,3.5378,-5.28386,9.63154,-2.61356,50,5.91068,6.30861,-130.34246,-7.551,-8.99659,30.0241,-15.77484,LEX_LEG,STA_YAN,WildHealthField,Independent,ATL,20250509-WildHealthField-1,1a1893a0-2d2a-11f0-ad64-bb9b336888cc,88.49121,42.77346,,8.42911,,,,1.0222,1.72259,-0.7774,f01349d1-2159-4eab-9565-88c37aebcfca,2025-05-09,23:05:29.31,2025-05-09T18:05:29.3194240-05:00,2025-05-09T23:05:29.3194240Z,LineDrive,v3,495,586,,"Burgess, Colin",689878,Right,LEX_LEG,31aefa64-91e3-4455-8861-a323d0503573,54.67637,-131.41523,15.01205,6.17041,-6.98736,-7.88742,-2.84471,6.63006,-4.4983,131.769784,1.02182,94.325,-21.63821,5.03909,-1.36709,0.43156,-0.11959,0.01969,-0.00132,1.72292,51.05051,-17.20719,0.79757,0.15248,-0.16049,0.05988,-0.01015,0.00064,-0.77698,-51.13374,0.01688,0.98559,-0.32216,0.06681,-0.01017,0.001,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2025-05-09,18:06:16.08,2,1,"Eastman, Colton",663678,Right,LEX_LEG,"Contreras, Mark",676628,Left,STA_YAN,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.08467,0.419297,-2.555625,2239.209805,265.927075,2:45,5.97429,2.96746,6.15925,-37.89368,2.16075,12.82095,3.20425,1.6733,76.17156,-6.609077,-0.2433,0.455509,,,,,,,,,,,,-7.3137,1.40661,-2.77959,50,5.98696,4.89487,-120.68901,-0.31951,-10.78769,23.47972,-30.09931,LEX_LEG,STA_YAN,WildHealthField,Independent,ATL,20250509-WildHealthField-1,35e2d5a0-2d2a-11f0-ad64-bb9b336888cc,82.748,,,6.9131,,,,,,,f01349d1-2159-4eab-9565-88c37aebcfca,2025-05-09,23:06:16.08,2025-05-09T18:06:16.0823296-05:00,2025-05-09T23:06:16.0823296Z,,v3,495,586,,"Burgess, Colin",689878,Right,LEX_LEG,95dca35f-6ddc-48f0-abe9-a529e4f84a93,54.34185,-121.53077,11.73986,5.97907,0.75956,-15.04966,-2.96201,5.28161,-5.39385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-09,18:06:40.20,2,2,"Eastman, Colton",663678,Right,LEX_LEG,"Contreras, Mark",676628,Left,STA_YAN,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.29556,-2.321058,-4.544446,2276.310244,250.986083,2:15,6.02096,2.86807,6.33696,-32.72636,6.3291,14.57639,1.14876,-0.11031,77.08213,-8.41089,-1.912833,0.449793,,,,,,,,,,,,-8.96418,4.35547,-2.54326,50,5.83591,9.16376,-122.07858,-5.94928,-13.4532,25.27079,-25.63743,LEX_LEG,STA_YAN,WildHealthField,Independent,ATL,20250509-WildHealthField-1,44593a20-2d2a-11f0-ad64-bb9b336888cc,83.7996,,,7.21343,,,,,,,f01349d1-2159-4eab-9565-88c37aebcfca,2025-05-09,23:06:40.20,2025-05-09T18:06:40.2075648-05:00,2025-05-09T23:06:40.2075648Z,,v3,495,586,,"Burgess, Colin",689878,Right,LEX_LEG,223eb62b-53d3-46f2-a33a-caff37665700,54.16459,-122.93764,12.6354,6.02333,-5.07775,-12.81871,-2.86255,9.6211,-6.7266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-09,18:07:01.97,2,3,"Eastman, Colton",663678,Right,LEX_LEG,"Contreras, Mark",676628,Left,STA_YAN,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.50035,-2.465155,-3.798437,2345.974917,223.679597,1:30,6.23867,2.78589,5.77951,-22.82167,11.643,10.04426,2.03663,0.08338,82.72436,-6.713559,-2.003902,0.422531,107.74043,23.096405,1.123154,2296.790842,109.99791,45.3721,-0.64622,375.1362,370.97453,-3.210985,4.770492,-6.22681,6.97284,-2.4782,50,6.02093,8.27315,-131.07366,-6.42567,-10.81393,28.15258,-20.0645,LEX_LEG,STA_YAN,WildHealthField,Independent,ATL,20250509-WildHealthField-1,514e07b0-2d2a-11f0-ad64-bb9b336888cc,89.20633,70.11372,,7.77599,,,,1.3174,2.06848,-0.08092,f01349d1-2159-4eab-9565-88c37aebcfca,2025-05-09,23:07:01.97,2025-05-09T18:07:01.9725312-05:00,2025-05-09T23:07:01.9725312Z,FlyBall,v3,495,586,,"Burgess, Colin",689878,Right,LEX_LEG,b9ddea5a-aa5f-4772-b303-f09ec678f6ee,54.7215,-132.08388,14.07629,6.23858,-5.70568,-10.03225,-2.78203,8.66119,-5.40697,161.192856,1.31598,145.35925,-30.5945,7.46185,-1.7924,0.40014,-0.0706,0.0078,-0.00038,2.07095,61.9255,-14.7043,-0.07871,0.37308,-0.16054,0.03794,-0.00451,0.00021,-0.08101,2.85703,-5.4438,2.10131,-0.56502,0.10904,-0.01438,0.00117,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-05-09,18:07:46.52,3,1,"Eastman, Colton",663678,Right,LEX_LEG,"Sandoval, Pablo",467055,Left,STA_YAN,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.16308,-2.458393,-4.279466,2286.927041,249.911598,2:15,6.04328,2.92223,5.99346,-31.55202,7.7604,17.12572,1.12788,0.37603,76.74102,-8.336778,-1.205438,0.45127,,,,,,,,,,,,-10.25209,5.24079,-2.59382,50,5.83173,8.52499,-123.1117,-6.30649,-15.41851,29.01703,-24.2922,LEX_LEG,STA_YAN,WildHealthField,Independent,ATL,20250509-WildHealthField-1,6be0b410-2d2a-11f0-ad64-bb9b336888cc,83.52527,,,8.42206,,,,,,,f01349d1-2159-4eab-9565-88c37aebcfca,2025-05-09,23:07:46.52,2025-05-09T18:07:46.5295360-05:00,2025-05-09T23:07:46.5295360Z,,v3,495,586,,"Burgess, Colin",689878,Right,LEX_LEG,26bbfd07-4ef3-4b09-b66c-3af0ab1f73ad,54.50577,-124.16915,14.50851,6.04542,-5.42122,-12.1461,-2.91473,9.08688,-7.70925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-09,18:08:03.40,3,2,"Eastman, Colton",663678,Right,LEX_LEG,"Sandoval, Pablo",467055,Left,STA_YAN,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.14765,-1.064676,-2.384543,2314.149771,254.180342,2:30,6.11982,2.88705,6.10579,-33.28612,5.25197,13.92044,2.36041,1.84063,77.53082,-7.256328,0.125339,0.446804,,,,,,,,,,,,-7.86591,3.44646,-2.71064,50,6.02074,4.58845,-123.55748,-3.36977,-12.05594,26.58187,-26.89172,LEX_LEG,STA_YAN,WildHealthField,Independent,ATL,20250509-WildHealthField-1,75f34940-2d2a-11f0-ad64-bb9b336888cc,84.36021,,,7.61683,,,,,,,f01349d1-2159-4eab-9565-88c37aebcfca,2025-05-09,23:08:03.40,2025-05-09T18:08:03.4042880-05:00,2025-05-09T23:08:03.4042880Z,,v3,495,586,,"Burgess, Colin",689878,Right,LEX_LEG,afbaedd1-774d-4d59-ad89-7b0b99bedc9f,54.39364,-124.49913,13.29094,6.12324,-2.41715,-13.44586,-2.88075,5.01552,-6.02797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-09,18:08:22.26,3,3,"Eastman, Colton",663678,Right,LEX_LEG,"Sandoval, Pablo",467055,Left,STA_YAN,Undefined,1,Top,1,1,1,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.76522,-0.43346,-3.081641,2292.346885,265.858043,2:45,5.98054,3.06249,6.2583,-35.57317,2.78701,18.03883,2.61583,1.72135,76.88377,-7.093574,0.177917,0.445771,,,,,,,,,,,,-10.34819,2.06709,-2.84169,50,5.93158,5.95961,-124.25953,-2.08273,-15.78451,30.56321,-29.02104,LEX_LEG,STA_YAN,WildHealthField,Independent,ATL,20250509-WildHealthField-1,81338900-2d2a-11f0-ad64-bb9b336888cc,84.55564,,,8.88145,,,,,,,f01349d1-2159-4eab-9565-88c37aebcfca,2025-05-09,23:08:22.26,2025-05-09T18:08:22.2608384-05:00,2025-05-09T23:08:22.2608384Z,,v3,495,586,,"Burgess, Colin",689878,Right,LEX_LEG,f57b48d8-462a-41c0-b9df-6ce2c40abfea,54.23948,-125.29795,15.2816,5.9856,-1.09671,-14.51052,-3.05329,6.49591,-7.89226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
