PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-07,16:04:51.99,1,1,"Capuano, Christian",805894,Right,STA_YAN,"Roller, Chris",676896,Right,LI,Undefined,1,Top,0,0,0,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.07461,-1.342816,-3.997605,2164.063986,226.665162,1:30,5.49621,2.39056,6.47284,-23.72202,13.35843,12.87457,2.28298,-0.21371,78.56891,-5.835467,-1.668215,0.438272,,,,,,,,,,,,-7.84756,7.73756,-2.11379,50,5.39081,8.23292,-124.8253,-3.59201,-12.35362,25.65835,-19.99362,STA_YAN,LI,StatenIslandYankees,Independent,ATL,20250507-StatenIslandYankees-1,89df93d0-2b7e-11f0-acd5-35fb5b76a408,86.00235,,,7.50571,,,,,,,376733dc-67f3-4efc-96a9-8f75a6fab131,2025-05-07,20:04:51.99,2025-05-07T16:04:51.9906304-04:00,2025-05-07T20:04:51.9906304Z,,v3,586,1896,,"Scheffler, Matt",688032,Right,STA_YAN,f0dfa23e-0c1d-408b-9d49-c13c113a22ac,54.02532,-125.64999,12.82917,5.49594,-2.94939,-9.99681,-2.38479,8.62999,-6.17681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-07,16:05:03.25,1,2,"Capuano, Christian",805894,Right,STA_YAN,"Roller, Chris",676896,Right,LI,Undefined,1,Top,0,0,1,Undefined,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,86.25122,-0.523281,-3.401737,2141.096985,236.26231,2:00,5.30095,2.3062,6.31491,-26.49505,10.63642,14.10576,2.61017,0.34465,78.62279,-5.511355,-0.854305,0.438574,81.44637,18.578161,1.059478,1680.086854,109.96007,27.56627,2.94592,249.34628,248.68248,2.948771,2.947334,-8.35477,6.04351,-2.06364,50,5.2499,6.90233,-125.17683,-1.93161,-13.20225,26.23004,-22.62406,STA_YAN,LI,StatenIslandYankees,Independent,ATL,20250507-StatenIslandYankees-1,90934690-2b7e-11f0-acd5-35fb5b76a408,85.94325,28.78185,,7.62843,,,,1.78426,2.6751,-0.35501,376733dc-67f3-4efc-96a9-8f75a6fab131,2025-05-07,20:05:03.25,2025-05-07T16:05:03.2574976-04:00,2025-05-07T20:05:03.2574976Z,LineDrive,v3,586,1896,,"Scheffler, Matt",688032,Right,STA_YAN,9be24922-caf1-4e8a-abee-1deef0ec5f80,54.18464,-126.05065,13.11502,5.3017,-1.17792,-11.31203,-2.3009,7.34215,-6.60113,188.868876,1.78433,113.20752,-16.10444,3.28517,-0.5453,0.0218,0.02453,-0.0078,0.00081,2.67501,38.06048,-14.50989,0.55846,-0.15171,0.10488,-0.04629,0.01114,-0.00108,-0.35504,2.0954,0.77335,0.13988,-0.10604,0.04531,-0.01466,0.00297,-0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-05-07,16:05:35.36,2,1,"Capuano, Christian",805894,Right,STA_YAN,"Town, River",701817,Left,LI,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.87149,-0.942734,-2.065706,2077.510966,208.630205,1:00,5.48514,2.34825,6.11152,-23.78804,13.69056,6.84241,2.63046,1.00757,78.76845,-5.41282,-0.833134,0.440619,,,,,,,,,,,,-4.06583,7.67709,-2.19308,50,5.40024,4.22433,-124.72813,-2.76448,-6.42427,24.37939,-20.04377,STA_YAN,LI,StatenIslandYankees,Independent,ATL,20250507-StatenIslandYankees-1,a3980cd0-2b7e-11f0-acd5-35fb5b76a408,85.54432,,,7.10305,,,,,,,376733dc-67f3-4efc-96a9-8f75a6fab131,2025-05-07,20:05:35.36,2025-05-07T16:05:35.3630720-04:00,2025-05-07T20:05:35.3630720Z,,v3,586,1896,,"Scheffler, Matt",688032,Right,STA_YAN,24513ba8-ceaa-4110-a5a5-c9f8e50b9182,54.38586,-125.58246,12.1897,5.48481,-2.06209,-10.02189,-2.34506,4.44946,-3.21214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-07,16:05:50.79,2,2,"Capuano, Christian",805894,Right,STA_YAN,"Town, River",701817,Left,LI,Undefined,1,Top,0,0,1,Undefined,Slider,InPlay,Undefined,FlyBall,Out,1,0,,80.33851,-0.559152,-2.07601,2407.437832,163.625573,11:30,5.17272,2.56295,5.5761,-35.24888,8.78186,-2.15461,1.71271,0.44357,73.40769,-7.059081,-2.460311,0.477583,93.79213,24.748633,-13.091498,3367.711508,105.31274,44.48518,-31.76745,335.90948,328.11785,-24.64023,4.156106,0.48634,5.02634,-2.38275,50,5.10158,4.30874,-116.54092,-2.27786,0.66527,23.00385,-25.29858,STA_YAN,LI,StatenIslandYankees,Independent,ATL,20250507-StatenIslandYankees-1,acebe5e0-2b7e-11f0-acd5-35fb5b76a408,78.92325,57.55365,,6.93082,,,,1.56997,1.757,-0.43426,376733dc-67f3-4efc-96a9-8f75a6fab131,2025-05-07,20:05:50.79,2025-05-07T16:05:50.7951104-04:00,2025-05-07T20:05:50.7951104Z,LineDrive,v3,586,1896,,"Scheffler, Matt",688032,Right,STA_YAN,dcb8a89c-e872-4dea-a927-ed5ed75dc45f,54.92225,-117.5085,11.50192,5.17501,-1.21376,-12.64929,-2.56339,4.28076,0.33263,142.45397,1.56958,121.69157,-24.12217,5.84207,-1.31616,0.27632,-0.04679,0.00498,-0.00023,1.75743,57.57406,-15.72238,0.36921,0.10295,-0.04803,0.00814,-0.00021,-5E-05,-0.43427,-28.29512,-3.37617,1.1088,-0.29138,0.06229,-0.00998,0.00105,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-05-07,16:06:25.54,3,1,"Capuano, Christian",805894,Right,STA_YAN,"Thomas, Cody",642137,Left,LI,Undefined,1,Top,1,0,0,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.30594,0.445569,-1.793365,2380.314992,133.235708,10:30,5.12031,2.67341,5.45998,-37.1236,10.09989,-8.8767,2.44395,0.2545,70.49502,-6.43831,-3.372232,0.494596,66.00278,23.858204,-168.685193,4124.753276,-108.70493,13.94491,-16.82852,143.68293,56.73788,-172.593889,1.908319,3.89768,5.4104,-2.50896,50,5.13453,3.89615,-113.41653,-0.29076,4.97062,24.79155,-25.27428,STA_YAN,LI,StatenIslandYankees,Independent,ATL,20250507-StatenIslandYankees-1,c1a62450-2b7e-11f0-acd5-35fb5b76a408,76.20857,19.21528,,7.81092,,,,2.59341,2.57735,-0.3413,376733dc-67f3-4efc-96a9-8f75a6fab131,2025-05-07,20:06:25.54,2025-05-07T16:06:25.5482368-04:00,2025-05-07T20:06:25.5482368Z,LineDrive,v3,586,1896,,"Scheffler, Matt",688032,Right,STA_YAN,416fb435-97f9-4d95-aa91-635de367ae2d,55.03704,-114.51227,12.39577,5.1227,0.82632,-12.63714,-2.67631,3.67645,2.48531,22.778963,2.59348,-86.81746,5.70174,-0.40205,0.86365,-1.03953,0.70688,-0.24302,0.03267,2.57736,39.15467,-24.98982,2.65085,-0.64621,0.34849,-0.20226,0.07242,-0.01063,-0.34124,-17.37494,3.85875,-0.11519,0.63774,-0.79938,0.54552,-0.18727,0.0251,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2025-05-07,16:06:45.74,3,2,"Capuano, Christian",805894,Right,STA_YAN,"Thomas, Cody",642137,Left,LI,Undefined,1,Top,1,0,1,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Single,0,0,,85.99707,-0.77821,-3.006796,2188.619731,195.499261,12:30,5.47436,2.40295,6.21502,-22.58052,14.89013,3.79197,2.87344,-0.0584,78.43996,-5.050434,-2.323496,0.440572,71.07359,59.365213,-14.753165,,96.68187,98.08956,-52.46519,170.0555,170.0555,-30.550175,5.048792,-2.84417,8.31437,-2.17941,50,5.40466,6.41013,-124.80747,-2.34471,-4.4699,25.97089,-19.10722,STA_YAN,LI,StatenIslandYankees,Independent,ATL,20250507-StatenIslandYankees-1,cda40ec0-2b7e-11f0-acd5-35fb5b76a408,85.55335,102.56734,,7.5571,,,,1.77716,3.07101,-0.40924,376733dc-67f3-4efc-96a9-8f75a6fab131,2025-05-07,20:06:45.74,2025-05-07T16:06:45.7435648-04:00,2025-05-07T20:06:45.7435648Z,Popup,v3,586,1896,,"Scheffler, Matt",688032,Right,STA_YAN,d3bc1d01-4b39-4c50-99bd-259d1dab483e,54.28372,-125.6957,12.98544,5.47367,-1.69122,-9.55361,-2.40126,6.56301,-2.23495,152.073849,1.77863,51.2953,-12.3821,2.6139,0.33329,-0.4664,0.14774,-0.02074,0.0011,3.05883,89.92681,-24.93054,3.62202,-1.26219,0.34523,-0.05072,0.00278,2E-05,-0.40361,-13.66779,-3.60378,0.56697,0.74438,-0.52464,0.15107,-0.02058,0.00109,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2025-05-07,16:07:50.60,4,1,"Capuano, Christian",805894,Right,STA_YAN,"Beer, Seth",666179,Left,LI,Undefined,1,Top,1,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.7073,-1.991112,-1.838227,2153.901523,222.178424,1:30,5.52314,2.46516,6.39484,-22.29403,14.35083,11.89678,1.83239,1.76535,79.05954,-6.217922,0.317796,0.43569,,,,,,,,,,,,-6.73607,8.44028,-2.33827,50,5.36977,3.58099,-125.89388,-5.00139,-10.7515,26.86561,-18.70244,STA_YAN,LI,StatenIslandYankees,Independent,ATL,20250507-StatenIslandYankees-1,f44c7350-2b7e-11f0-acd5-35fb5b76a408,86.51199,,,7.64776,,,,,,,376733dc-67f3-4efc-96a9-8f75a6fab131,2025-05-07,20:07:50.60,2025-05-07T16:07:50.6002432-04:00,2025-05-07T20:07:50.6002432Z,,v3,586,1896,,"Scheffler, Matt",688032,Right,STA_YAN,fce801d0-38fa-4c94-8b43-fa40661ea7ad,54.10313,-126.76646,13.43281,5.52235,-4.39394,-9.35122,-2.46025,3.93019,-5.37575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-07,16:08:08.00,4,2,"Capuano, Christian",805894,Right,STA_YAN,"Beer, Seth",666179,Left,LI,Undefined,1,Top,1,1,0,Undefined,Slider,InPlay,Undefined,GroundBall,Out,1,1,,79.22721,-0.131206,-1.534052,2317.949541,151.51909,11:00,5.16793,2.58171,5.64742,-37.17778,8.30311,-3.63477,1.94736,0.84758,71.8334,-7.016498,-2.183557,0.485385,79.34285,-25.014932,25.762101,,,,,5.27713,2.76058,10.197118,0.039448,1.36087,4.7124,-2.44919,50,5.13337,3.21733,-114.87917,-1.43758,1.79375,23.99732,-25.96269,STA_YAN,LI,StatenIslandYankees,Independent,ATL,20250507-StatenIslandYankees-1,feb7afd0-2b7e-11f0-acd5-35fb5b76a408,77.65479,1.94535,,7.39381,,,,1.43916,1.94535,-0.87775,376733dc-67f3-4efc-96a9-8f75a6fab131,2025-05-07,20:08:08.00,2025-05-07T16:08:08.0098304-04:00,2025-05-07T20:08:08.0098304Z,GroundBall,v3,586,1896,,"Scheffler, Matt",688032,Right,STA_YAN,d4d1c039-bdd6-4eab-8603-9c7a48e06bad,54.84961,-115.88778,11.99866,5.17086,-0.34636,-12.98135,-2.58283,3.14194,0.89688,,1.43786,95.17769,,,,,,,,1.94602,-49.31376,,,,,,,,-0.87838,45.93305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2025-05-07,16:08:47.74,5,1,"Capuano, Christian",805894,Right,STA_YAN,"Viola, Troy",802112,Right,LI,Undefined,1,Top,2,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.06532,-0.93862,-3.14249,2208.546444,204.951513,12:45,5.35586,2.32948,6.16357,-19.27907,18.35977,7.94784,2.88084,0.08604,78.11741,-4.626501,-1.711938,0.44156,,,,,,,,,,,,-5.01351,10.12997,-2.09482,50,5.27459,6.53077,-124.79569,-2.56216,-7.85403,26.66779,-16.30466,STA_YAN,LI,StatenIslandYankees,Independent,ATL,20250507-StatenIslandYankees-1,16495130-2b7f-11f0-acd5-35fb5b76a408,85.36204,,,7.94791,,,,,,,376733dc-67f3-4efc-96a9-8f75a6fab131,2025-05-07,20:08:47.74,2025-05-07T16:08:47.7403648-04:00,2025-05-07T20:08:47.7403648Z,,v3,586,1896,,"Scheffler, Matt",688032,Right,STA_YAN,c4f8812a-2448-4c27-a3f2-fd5bed665ab7,54.33254,-125.7181,13.33389,5.35346,-1.9982,-8.15233,-2.32541,6.80243,-3.92701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-07,16:09:05.54,5,2,"Capuano, Christian",805894,Right,STA_YAN,"Viola, Troy",802112,Right,LI,Undefined,1,Top,2,0,1,Undefined,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,85.84505,-0.18824,-1.746081,2287.870125,236.21047,1:45,5.45299,2.47981,6.40235,-24.81702,13.07894,17.41717,3.21172,2.32509,76.99826,-4.927528,1.410049,0.443066,,,,,,,,,,,,-9.86575,7.29579,-2.36294,50,5.42821,3.15905,-124.60919,-1.09999,-15.14854,30.50914,-20.97158,STA_YAN,LI,StatenIslandYankees,Independent,ATL,20250507-StatenIslandYankees-1,20e058a0-2b7f-11f0-acd5-35fb5b76a408,85.07192,,,8.84678,,,,,,,376733dc-67f3-4efc-96a9-8f75a6fab131,2025-05-07,20:09:05.54,2025-05-07T16:09:05.5433216-04:00,2025-05-07T20:09:05.5433216Z,,v3,586,1896,,"Scheffler, Matt",688032,Right,STA_YAN,fa88c7bd-ec86-4c06-8f15-77feacb41f29,54.09745,-125.60839,15.25457,5.45299,-0.41315,-10.48579,-2.47453,3.65518,-7.57427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
