PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:06:28.47,1,1,"Eastman, Colton",663678,Right,LEX_LEG,"Womack, Alsander",703920,Right,WES_POW,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.33723,-2.823111,-2.492318,2346.365795,237.912861,2:00,6.27318,2.78424,5.92597,-22.83446,11.2004,16.24418,1.74609,1.8238,83.35745,-7.063638,0.42546,0.419888,,,,,,,,,,,,-9.0141,6.78961,-2.59419,50,6.03395,5.03155,-131.12524,-7.23168,-15.80594,25.87706,-20.26869,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20250427-WildHealthField-1,57331bd0-2392-11f0-9145-31cc2209c965,89.76786,,,6.97977,,,,,,,2fdab690-7aff-46f3-8e3c-8feb3cd8d7f1,2025-04-27,18:06:28.47,2025-04-27T13:06:28.4759040-05:00,2025-04-27T18:06:28.4759040Z,,v3,495,525,,"Burgess, Colin",689878,Right,LEX_LEG,f89f3905-dc0c-4dd6-b29d-1584321753d6,54.57659,-132.02533,12.93853,6.27323,-6.52667,-10.13434,-2.77876,5.58133,-7.90297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:06:42.43,1,2,"Eastman, Colton",663678,Right,LEX_LEG,"Womack, Alsander",703920,Right,WES_POW,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,88.98921,-1.674235,-4.090243,2453.158105,221.977566,1:30,6.21839,2.74677,6.13734,-20.52147,14.33099,11.95229,2.95649,-0.04396,81.87548,-5.534459,-1.942418,0.424902,104.22701,7.448845,-15.216494,1381.286676,104.41883,8.99227,-34.59306,187.40924,145.68141,-20.843874,1.450852,-7.28185,8.17339,-2.4405,50,6.07956,8.75814,-129.08901,-4.40407,-12.37207,25.13834,-18.28722,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20250427-WildHealthField-1,5f89d030-2392-11f0-9145-31cc2209c965,88.70864,9.29857,,7.11372,,,,2.43413,3.05906,0.01451,2fdab690-7aff-46f3-8e3c-8feb3cd8d7f1,2025-04-27,18:06:42.43,2025-04-27T13:06:42.4381952-05:00,2025-04-27T18:06:42.4381952Z,LineDrive,v3,495,525,,"Burgess, Colin",689878,Right,LEX_LEG,7871c7c6-8980-4e45-9764-137bee6587a7,54.36501,-129.93625,12.56917,6.21761,-3.78774,-9.14361,-2.74271,9.17512,-6.18604,102.404131,2.43413,146.262,-24.20692,4.89024,-0.98079,0.16832,-0.02744,0.00374,-0.00029,3.05906,19.8176,-16.25214,0.84015,-0.02489,-0.01869,0.00912,-0.00184,0.00017,0.01451,-39.78343,-7.57148,3.40921,-1.09351,0.29471,-0.06951,0.0125,-0.0012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-04-27,13:07:17.44,2,1,"Eastman, Colton",663678,Right,LEX_LEG,"Rosa, Joseph",660563,Left,WES_POW,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.48555,-3.047312,-3.572318,2504.063105,221.818079,1:30,6.08572,2.86169,6.18435,-19.94627,13.48237,11.22957,1.60148,0.49449,84.00152,-6.774139,-1.549854,0.416132,,,,,,,,,,,,-6.72122,8.01634,-2.59758,50,5.84477,7.75708,-131.31776,-7.62268,-11.90837,23.98957,-17.97103,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20250427-WildHealthField-1,745cc6c0-2392-11f0-9145-31cc2209c965,90.57815,,,6.48403,,,,,,,2fdab690-7aff-46f3-8e3c-8feb3cd8d7f1,2025-04-27,18:07:17.44,2025-04-27T13:07:17.4434816-05:00,2025-04-27T18:07:17.4434816Z,,v3,495,525,,"Burgess, Colin",689878,Right,LEX_LEG,92a7c629-18e1-4d16-9712-0acd96810a24,54.31909,-132.10443,11.99479,6.08508,-7.03337,-8.98552,-2.85836,8.14759,-5.95419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-27,13:07:31.49,2,2,"Eastman, Colton",663678,Right,LEX_LEG,"Rosa, Joseph",660563,Left,WES_POW,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.04669,-2.093,-4.394081,2234.571481,244.724238,2:15,6.0041,3.08025,6.14713,-28.28112,9.29394,17.10359,1.70673,0.43719,78.79981,-7.363076,-1.317655,0.441186,,,,,,,,,,,,-10.14111,5.74851,-2.75407,50,5.82958,8.92206,-124.67644,-5.44828,-15.94518,25.31556,-23.13548,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20250427-WildHealthField-1,7cc50750-2392-11f0-9145-31cc2209c965,85.43444,,,7.24688,,,,,,,2fdab690-7aff-46f3-8e3c-8feb3cd8d7f1,2025-04-27,18:07:31.49,2025-04-27T13:07:31.4935808-05:00,2025-04-27T18:07:31.4935808Z,,v3,495,525,,"Burgess, Colin",689878,Right,LEX_LEG,e7ca50ae-dcf0-403d-a71c-6226029b1917,54.35515,-125.55764,12.65778,6.00521,-4.64297,-11.56774,-3.07429,9.47709,-7.97259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,13:07:53.18,2,3,"Eastman, Colton",663678,Right,LEX_LEG,"Rosa, Joseph",660563,Left,WES_POW,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.65549,-4.353549,-5.522987,2228.465608,253.702824,2:30,5.81607,2.99049,6.08124,-31.05734,7.43217,20.87367,-0.82657,-0.39584,78.34065,-10.085368,-1.776399,0.446522,,,,,,,,,,,,-12.59154,5.47713,-2.5741,50,5.46078,11.16392,-123.59069,-10.43075,-19.34463,26.17828,-23.75945,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20250427-WildHealthField-1,89ad03a0-2392-11f0-9145-31cc2209c965,84.41345,,,7.31485,,,,,,,2fdab690-7aff-46f3-8e3c-8feb3cd8d7f1,2025-04-27,18:07:53.18,2025-04-27T13:07:53.1824640-05:00,2025-04-27T18:07:53.1824640Z,,v3,495,525,,"Burgess, Colin",689878,Right,LEX_LEG,4435ec15-755d-4431-b62a-76aa50a46262,54.42227,-124.52387,13.08914,5.81751,-9.58379,-11.87972,-2.98435,11.8535,-9.67232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:08:15.04,2,4,"Eastman, Colton",663678,Right,LEX_LEG,"Rosa, Joseph",660563,Left,WES_POW,Undefined,1,Top,1,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.25036,-2.280621,-3.218243,3289.737883,60.617097,8:00,6.3929,2.69691,5.59186,-46.59825,-3.74319,-8.88914,0.3757,-1.05204,75.50719,-10.684833,-4.805354,0.471164,,,,,,,,,,,,3.66236,-0.94709,-2.41445,50,6.16609,6.96694,-117.82587,-6.29326,5.15429,22.15255,-33.50693,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20250427-WildHealthField-1,96aec980-2392-11f0-9145-31cc2209c965,79.99848,,,5.74317,,,,,,,2fdab690-7aff-46f3-8e3c-8feb3cd8d7f1,2025-04-27,18:08:15.04,2025-04-27T13:08:15.0450000-05:00,2025-04-27T18:08:15.0450000Z,,v3,495,525,,"Burgess, Colin",689878,Right,LEX_LEG,05284ce1-6213-4218-88aa-4bd2a5769b82,54.91166,-118.74572,11.07628,6.39852,-4.90193,-16.75347,-2.69929,6.75292,2.57715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.61314,,,1.355615,,,,0.89702,5.95322,-0.75534,76.65989,7.92813,-48.14194,0.98076,60.73606,-3.61844,6.0587,21.18532,-14.60379,-0.86459,-40.01553,3.78746,High,High,High,,,High,High,High
7,2025-04-27,13:08:47.52,3,1,"Eastman, Colton",663678,Right,LEX_LEG,"Matijevic, JJ",1000309874,Left,WES_POW,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.21367,-1.116639,-3.626641,2466.459608,227.801212,1:30,6.27765,2.72251,6.10368,-21.81387,11.8667,12.06083,3.42494,0.36912,83.53457,-5.19126,-1.458565,0.417697,,,,,,,,,,,,-7.08197,6.69032,-2.44953,50,6.17998,7.80995,-131.03108,-3.25609,-12.49143,23.91441,-20.37344,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20250427-WildHealthField-1,a9f860f0-2392-11f0-9145-31cc2209c965,90.23875,,,6.6791,,,,,,,2fdab690-7aff-46f3-8e3c-8feb3cd8d7f1,2025-04-27,18:08:47.52,2025-04-27T13:08:47.5243520-05:00,2025-04-27T18:08:47.5243520Z,,v3,495,525,,"Burgess, Colin",689878,Right,LEX_LEG,c90b115e-9865-4eb5-b1dd-3df3f60f8884,54.39832,-131.83138,11.95721,6.27754,-2.5743,-10.18672,-2.71788,8.22797,-6.24572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,13:09:03.29,3,2,"Eastman, Colton",663678,Right,LEX_LEG,"Matijevic, JJ",1000309874,Left,WES_POW,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.74486,-1.519682,-3.462563,2521.795422,216.821503,1:15,6.19396,2.76383,5.98674,-19.46434,14.15064,9.85493,3.1605,0.37186,83.59604,-5.172901,-1.694876,0.41729,,,,,,,,,,,,-5.9465,7.96772,-2.49569,50,6.06292,7.5563,-131.71003,-4.11579,-10.53847,25.64844,-18.05357,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20250427-WildHealthField-1,b37e4680-2392-11f0-9145-31cc2209c965,90.32673,,,7.14881,,,,,,,2fdab690-7aff-46f3-8e3c-8feb3cd8d7f1,2025-04-27,18:09:03.29,2025-04-27T13:09:03.2900096-05:00,2025-04-27T18:09:03.2900096Z,,v3,495,525,,"Burgess, Colin",689878,Right,LEX_LEG,bb646f4a-ef67-4b81-a5e8-39fd11ead274,54.51464,-132.58627,12.82422,6.19299,-3.49902,-9.02679,-2.75999,7.91634,-5.26924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,13:09:18.99,3,3,"Eastman, Colton",663678,Right,LEX_LEG,"Matijevic, JJ",1000309874,Left,WES_POW,Undefined,1,Top,2,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.59981,-2.433945,-4.132464,2170.394375,252.403473,2:30,5.87323,2.98915,6.28664,-30.72285,6.59099,17.42788,1.06261,0.62628,79.44667,-8.120114,-0.985997,0.439649,,,,,,,,,,,,-10.18997,4.32839,-2.69278,50,5.67813,8.33988,-124.22584,-6.24027,-16.1017,22.27588,-25.33452,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20250427-WildHealthField-1,bcd74fb0-2392-11f0-9145-31cc2209c965,85.73297,,,6.15314,,,,,,,2fdab690-7aff-46f3-8e3c-8feb3cd8d7f1,2025-04-27,18:09:18.99,2025-04-27T13:09:18.9905920-05:00,2025-04-27T18:09:18.9905920Z,,v3,495,525,,"Burgess, Colin",689878,Right,LEX_LEG,9a8a5632-d7bb-44dc-9ff4-6362f506e28a,54.21773,-124.97987,11.13794,5.87485,-5.38271,-12.66726,-2.98431,8.88491,-8.05085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:09:41.89,3,4,"Eastman, Colton",663678,Right,LEX_LEG,"Matijevic, JJ",1000309874,Left,WES_POW,Undefined,1,Top,2,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.76359,-0.361679,-2.080056,2064.808966,257.698978,2:30,5.89385,3.04743,6.24839,-33.9049,5.65457,19.82096,2.73464,2.77992,76.24862,-6.694733,1.50359,0.452686,,,,,,,,,,,,-10.85205,3.46504,-2.90175,50,5.85055,3.65121,-121.64637,-1.81351,-16.12073,25.78575,-27.02673,LEX_LEG,WES_POW,WildHealthField,Independent,ATL,20250427-WildHealthField-1,ca8979d0-2392-11f0-9145-31cc2209c965,83.26404,,,7.51497,,,,,,,2fdab690-7aff-46f3-8e3c-8feb3cd8d7f1,2025-04-27,18:09:41.89,2025-04-27T13:09:41.8906624-05:00,2025-04-27T18:09:41.8906624Z,,v3,495,525,,"Burgess, Colin",689878,Right,LEX_LEG,bd648e9c-4033-4f3d-a940-37f3bc80c666,54.25194,-122.54435,12.89287,5.89732,-0.87231,-13.51337,-3.03867,4.21261,-8.06036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
