PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,14:04:27.29,1,1,"Corcino, Daniel",542289,Right,HAG_FLY,"Dues, Damon",680815,Left,STA_YAN,Undefined,1,Top,0,0,0,Undefined,Four-Seam,InPlay,Undefined,LineDrive,HomeRun,0,1,,87.25049,-2.032009,-3.549157,2335.646806,210.744776,1:00,5.94337,1.95561,5.58982,-21.15056,16.28166,8.93166,2.27902,-0.61831,79.41867,-5.998098,-1.959115,0.440346,104.58649,20.388106,30.41116,2650.569017,91.28607,35.69757,61.37395,364.34968,330.98383,41.51598,3.606242,-5.595,9.22398,-1.65682,50,5.75516,7.45974,-126.3489,-5.16795,-8.99771,26.98657,-17.34033,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20250427-HagerstownBallpark-1,17c43f60-2392-11f0-b68a-5d43b131b9e5,85.59729,46.55914,,7.83182,,,,2.40476,2.43995,0.76375,36e523ed-31e5-41f3-bfff-16b6ed215e0e,2025-04-27,18:04:27.29,2025-04-27T14:04:27.2905728-04:00,2025-04-27T18:04:27.2905728Z,LineDrive,v3,6089,586,,"DeLuca, Joe",700593,Right,HAG_FLY,92f0e591-d687-4abb-addd-541f11afebb3,54.90797,-127.39287,13.49329,5.94211,-4.49715,-8.67016,-1.95213,7.80781,-4.49886,,2.4047,124.00223,-27.19248,7.14051,-1.65383,0.32927,-0.05261,0.00538,-0.00021,2.43982,53.44381,-16.98544,0.28988,0.17007,-0.02983,-0.00837,0.0042,-0.00047,0.76369,72.78567,-0.41971,-1.26848,0.56187,-0.15615,0.02993,-0.0035,0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-04-27,14:05:08.72,2,1,"Corcino, Daniel",542289,Right,HAG_FLY,"Scantlin, Nate",676715,Left,STA_YAN,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.89716,0.089793,-1.397046,2281.06892,216.797789,1:15,5.99779,2.06637,5.33104,-20.21907,16.97111,11.75182,4.39714,1.73464,79.62469,-3.716059,0.689552,0.43892,,,,,,,,,,,,-6.25662,8.82863,-1.94873,50,5.9918,2.57,-127.43905,-0.46133,-10.21843,27.87328,-17.75501,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20250427-HagerstownBallpark-1,30579950-2392-11f0-b68a-5d43b131b9e5,85.87539,,,8.27247,,,,,,,36e523ed-31e5-41f3-bfff-16b6ed215e0e,2025-04-27,18:05:08.72,2025-04-27T14:05:08.7214592-04:00,2025-04-27T18:05:08.7214592Z,,v3,6089,586,,"DeLuca, Joe",700593,Right,HAG_FLY,c11d1ba6-d354-451a-a755-914d47e29154,55.16367,-128.56348,13.93664,5.99597,0.25492,-8.8775,-2.06073,2.98221,-5.10921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,14:05:19.99,2,2,"Corcino, Daniel",542289,Right,HAG_FLY,"Scantlin, Nate",676715,Left,STA_YAN,Undefined,1,Top,0,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.85055,-0.588755,-0.531355,2236.75052,217.309658,1:15,5.96898,1.90692,5.45052,-21.6695,16.56776,11.55898,3.61197,2.37271,78.14332,-4.678733,1.526548,0.445056,,,,,,,,,,,,-5.92744,8.91201,-1.86796,50,5.90262,0.64548,-125.84019,-1.98357,-9.35382,29.32198,-18.11041,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20250427-HagerstownBallpark-1,3717a820-2392-11f0-b68a-5d43b131b9e5,84.69144,,,8.70723,,,,,,,36e523ed-31e5-41f3-bfff-16b6ed215e0e,2025-04-27,18:05:19.99,2025-04-27T14:05:19.9943680-04:00,2025-04-27T18:05:19.9943680Z,,v3,6089,586,,"DeLuca, Joe",700593,Right,HAG_FLY,b80019da-d191-4567-9410-9ba96d8c0809,55.04246,-127.0097,14.66099,5.96732,-1.26124,-9.05521,-1.90115,1.01856,-4.67691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-27,14:05:40.16,2,3,"Corcino, Daniel",542289,Right,HAG_FLY,"Scantlin, Nate",676715,Left,STA_YAN,Undefined,1,Top,0,2,0,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,86.82945,-1.799291,-2.658238,2208.456736,221.506491,1:30,6.00534,2.05672,5.50658,-21.91745,16.2178,13.13264,2.49384,0.66336,78.4429,-5.920094,-0.319935,0.444462,78.26121,-12.96306,46.218193,,,,,12.53739,12.5356,36.397604,0.100183,-7.49504,9.15422,-1.83386,50,5.83385,5.2727,-125.73999,-4.65834,-11.84195,28.61843,-17.71063,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20250427-HagerstownBallpark-1,43394730-2392-11f0-b68a-5d43b131b9e5,84.80464,2.58674,,8.38655,,,,2.31624,2.58674,-0.6737,36e523ed-31e5-41f3-bfff-16b6ed215e0e,2025-04-27,18:05:40.16,2025-04-27T14:05:40.1662976-04:00,2025-04-27T18:05:40.1662976Z,GroundBall,v3,6089,586,,"DeLuca, Joe",700593,Right,HAG_FLY,dce43c5d-307b-4400-b4ea-53ebe1810a55,54.99004,-126.87064,14.30922,6.00407,-3.95864,-8.85531,-2.05142,5.74055,-5.92097,,2.31276,77.61166,,,,,,,,2.58789,-25.82021,,,,,,,,-0.67733,80.98415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2025-04-27,14:06:22.78,3,1,"Corcino, Daniel",542289,Right,HAG_FLY,"Sandoval, Pablo",467055,Left,STA_YAN,Undefined,1,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.02488,-0.138702,-1.727351,2285.864545,226.257937,1:30,6.04749,2.00311,5.5579,-22.38194,14.3458,13.70229,4.05268,1.53063,79.89402,-4.337574,0.716013,0.436183,,,,,,,,,,,,-7.41107,7.65146,-1.86306,50,6.02102,3.24637,-127.69141,-1.04777,-12.15954,27.82945,-19.62005,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20250427-HagerstownBallpark-1,5c979240-2392-11f0-b68a-5d43b131b9e5,86.41433,,,8.13086,,,,,,,36e523ed-31e5-41f3-bfff-16b6ed215e0e,2025-04-27,18:06:22.78,2025-04-27T14:06:22.7821056-04:00,2025-04-27T18:06:22.7821056Z,,v3,6089,586,,"DeLuca, Joe",700593,Right,HAG_FLY,f79814cb-12ce-431d-ab86-2b3371405a08,54.93829,-128.76318,13.91472,6.04682,-0.29217,-9.81002,-1.99711,3.71466,-6.07977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,14:06:35.59,3,2,"Corcino, Daniel",542289,Right,HAG_FLY,"Sandoval, Pablo",467055,Left,STA_YAN,Undefined,1,Top,1,1,0,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.40608,-1.781358,-3.028509,2211.030498,229.58275,1:45,5.96699,1.96835,5.67671,-24.38257,12.92591,13.63765,2.27164,0.27895,79.22521,-6.340424,-0.593015,0.439618,,,,,,,,,,,,-7.85658,7.49414,-1.72162,50,5.80151,6.11495,-126.60655,-4.74308,-12.62283,28.29637,-20.13354,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20250427-HagerstownBallpark-1,643d6d30-2392-11f0-b68a-5d43b131b9e5,85.73911,,,8.18087,,,,,,,36e523ed-31e5-41f3-bfff-16b6ed215e0e,2025-04-27,18:06:35.59,2025-04-27T14:06:35.5976704-04:00,2025-04-27T18:06:35.5976704Z,,v3,6089,586,,"DeLuca, Joe",700593,Right,HAG_FLY,205fc7a6-2455-4d10-b5dc-29d5db81f70c,54.81988,-127.67924,14.14819,5.96685,-3.97983,-10.06677,-1.96251,6.59347,-6.31141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-27,14:07:12.33,3,3,"Corcino, Daniel",542289,Right,HAG_FLY,"Sandoval, Pablo",467055,Left,STA_YAN,Undefined,1,Top,1,1,1,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.25618,-1.901419,-3.779729,2318.552117,205.802725,12:45,5.94952,2.02734,5.7681,-18.64056,17.54906,7.91811,2.62212,-0.83545,80.62039,-5.420023,-2.366441,0.432976,68.42824,6.464275,29.853812,1224.483771,,,,91.51149,88.80522,30.66404,0.958836,-5.13433,9.85382,-1.71938,50,5.78081,8.12103,-127.88213,-4.82458,-8.49546,26.5732,-15.8695,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20250427-HagerstownBallpark-1,7a18d310-2392-11f0-b68a-5d43b131b9e5,87.05441,5.04753,,7.6358,,,,2.55178,2.97455,0.78975,36e523ed-31e5-41f3-bfff-16b6ed215e0e,2025-04-27,18:07:12.33,2025-04-27T14:07:12.3310080-04:00,2025-04-27T18:07:12.3310080Z,GroundBall,v3,6089,586,,"DeLuca, Joe",700593,Right,HAG_FLY,a14eb9ab-95b5-42bd-8e1d-2f32df8c6ee4,54.73053,-128.86136,13.2866,5.94783,-4.23979,-7.93475,-2.02441,8.43408,-4.24773,,2.55178,86.48975,-8.6173,1.55937,-0.29761,0.04817,-0.00798,0.00148,-0.00016,2.97455,11.29904,-15.65314,0.74444,-0.10705,0.02206,-0.00169,0.00028,-7E-05,0.78975,49.64108,-2.12869,0.31456,-0.04718,0.00455,-0.00041,2E-05,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-04-27,14:07:53.30,4,1,"Corcino, Daniel",542289,Right,HAG_FLY,"Martorano, Brandon",668785,Right,STA_YAN,Undefined,1,Top,2,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.08332,-1.315811,-1.380134,2327.68114,200.319183,12:45,5.93363,1.92925,5.90182,-17.97032,17.82765,6.20126,3.21408,1.1646,80.91639,-4.715719,-0.267128,0.430626,,,,,,,,,,,,-3.52536,9.8017,-1.8218,50,5.81746,2.82335,-127.96909,-3.46743,-5.87979,24.97591,-15.82628,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20250427-HagerstownBallpark-1,92711fd0-2392-11f0-b68a-5d43b131b9e5,87.52931,,,7.16692,,,,,,,36e523ed-31e5-41f3-bfff-16b6ed215e0e,2025-04-27,18:07:53.30,2025-04-27T14:07:53.3053440-04:00,2025-04-27T18:07:53.3053440Z,,v3,6089,586,,"DeLuca, Joe",700593,Right,HAG_FLY,df28c00e-6134-41c7-a21a-30b15b8c4379,54.59516,-128.86281,12.48795,5.93141,-2.90111,-7.91314,-1.9266,3.03375,-2.9399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,14:08:08.28,4,2,"Corcino, Daniel",542289,Right,HAG_FLY,"Martorano, Brandon",668785,Right,STA_YAN,Undefined,1,Top,2,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.74423,-1.060892,-4.436639,2348.562187,200.422005,12:45,5.95068,1.91927,5.87489,-19.67647,17.08875,5.89233,3.32258,-1.71855,79.54451,-4.79183,-3.384784,0.436405,,,,,,,,,,,,-4.32398,9.41441,-1.56329,50,5.85334,9.59982,-126.96119,-2.93691,-7.00533,27.79556,-16.92162,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20250427-HagerstownBallpark-1,9b659ad0-2392-11f0-b68a-5d43b131b9e5,86.3703,,,8.19972,,,,,,,36e523ed-31e5-41f3-bfff-16b6ed215e0e,2025-04-27,18:08:08.28,2025-04-27T14:08:08.2813440-04:00,2025-04-27T18:08:08.2813440Z,,v3,6089,586,,"DeLuca, Joe",700593,Right,HAG_FLY,af78f9d9-8900-4ed7-a90c-17d665d833cf,54.61998,-127.96864,13.89778,5.94867,-2.32358,-8.46081,-1.91583,9.85372,-3.50267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,14:08:25.63,4,3,"Corcino, Daniel",542289,Right,HAG_FLY,"Martorano, Brandon",668785,Right,STA_YAN,Undefined,1,Top,2,1,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.98374,-0.735604,-3.584499,2278.249189,203.235363,12:45,5.92738,1.8929,5.8222,-20.86147,17.16777,6.84414,3.50367,-0.87356,78.45077,-4.671868,-2.361518,0.443844,,,,,,,,,,,,-4.48969,9.33422,-1.60354,50,5.85484,7.52441,-124.63838,-2.22515,-7.05699,25.23275,-17.50227,HAG_FLY,STA_YAN,HagerstownBallpark,Independent,ATL,20250427-HagerstownBallpark-1,a5dc9720-2392-11f0-b68a-5d43b131b9e5,84.92276,,,7.53297,,,,,,,36e523ed-31e5-41f3-bfff-16b6ed215e0e,2025-04-27,18:08:25.63,2025-04-27T14:08:25.6394752-04:00,2025-04-27T18:08:25.6394752Z,,v3,6089,586,,"DeLuca, Joe",700593,Right,HAG_FLY,87ff9bd7-7829-47a9-9b36-a1322ba638a5,54.67413,-125.58108,12.61638,5.92575,-1.57126,-8.75113,-1.88958,7.78806,-3.52849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
