PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-01,11:03:48.88,1,1,"Laio, Nic",681970,Right,LEX_LEG,"Robinson, Errol",642021,Right,HAG_FLY,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.7141,-3.545679,-4.680795,2257.064244,216.213563,1:15,6.1071,3.04055,6.05104,-17.19721,17.37056,11.93938,1.37645,-0.30734,82.56743,-6.791735,-2.541601,0.423163,,,,,,,,,,,,-7.39063,10.2093,-2.68211,50,5.82067,10.14446,-129.81981,-8.57482,-12.70061,25.40104,-14.62968,LEX_LEG,HAG_FLY,WildHealthField,Independent,ATL,20250501-WildHealthField-1,ddd2e290-26a5-11f0-8dca-95e55744e59b,89.07318,,,7.14667,,,,,,,28f0c7c1-d094-4586-b79a-184f4b390a71,2025-05-01,16:03:48.88,2025-05-01T11:03:48.8838144-05:00,2025-05-01T16:03:48.8838144Z,,v3,495,6089,,"Cottam, Kole",663526,Right,LEX_LEG,ad4567a9-b39a-4e79-b3d7-0ab7d961ecd1,54.45089,-130.68778,12.70052,6.10514,-8.07491,-7.31484,-3.03617,10.57845,-6.35031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-01,11:04:03.56,1,2,"Laio, Nic",681970,Right,LEX_LEG,"Robinson, Errol",642021,Right,HAG_FLY,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.257,-2.392007,-4.753627,2297.959484,214.345171,1:15,6.05955,3.08539,6.12782,-18.04958,15.80249,10.12603,2.33534,-0.47511,83.3515,-5.790325,-2.93758,0.418759,,,,,,,,,,,,-6.41142,9.06882,-2.72634,50,5.86637,10.4645,-130.7843,-6.02066,-11.23252,24.60672,-16.28586,LEX_LEG,HAG_FLY,WildHealthField,Independent,ATL,20250501-WildHealthField-1,e696d7b0-26a5-11f0-8dca-95e55744e59b,90.00986,,,6.9055,,,,,,,28f0c7c1-d094-4586-b79a-184f4b390a71,2025-05-01,16:04:03.56,2025-05-01T11:04:03.5600896-05:00,2025-05-01T16:04:03.5600896Z,,v3,495,6089,,"Cottam, Kole",663526,Right,LEX_LEG,f8c722f1-aab2-4203-9855-af9f735696a6,54.37403,-131.60469,12.30336,6.05805,-5.47769,-8.14293,-3.08146,10.83899,-5.61626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-01,11:04:17.48,1,3,"Laio, Nic",681970,Right,LEX_LEG,"Robinson, Errol",642021,Right,HAG_FLY,Undefined,1,Top,0,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.70651,-3.298971,-5.451355,2330.829435,224.361976,1:30,5.99367,3.05353,6.18139,-18.71513,15.58832,14.25639,1.37038,-0.80779,82.89422,-6.816567,-2.895009,0.421541,,,,,,,,,,,,-8.68036,9.18745,-2.64749,50,5.73337,11.80267,-129.7597,-8.06549,-14.98263,24.01006,-16.31613,LEX_LEG,HAG_FLY,WildHealthField,Independent,ATL,20250501-WildHealthField-1,eec7dba0-26a5-11f0-8dca-95e55744e59b,89.41571,,,6.8123,,,,,,,28f0c7c1-d094-4586-b79a-184f4b390a71,2025-05-01,16:04:17.48,2025-05-01T11:04:17.4874624-05:00,2025-05-01T16:04:17.4874624Z,,v3,495,6089,,"Cottam, Kole",663526,Right,LEX_LEG,7fad51e2-cb42-42e5-a4a3-f4cab1e31d0b,54.32017,-130.55663,12.00503,5.99209,-7.52392,-8.15807,-3.04749,12.29997,-7.49132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-01,11:04:33.01,1,4,"Laio, Nic",681970,Right,LEX_LEG,"Robinson, Errol",642021,Right,HAG_FLY,Undefined,1,Top,0,2,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.76318,-2.316083,-4.848006,2337.184298,209.04741,1:00,6.01697,3.03058,6.16229,-18.56162,14.75894,7.68378,2.32174,-0.81837,84.15072,-5.796034,-3.469735,0.415459,74.8536,34.545615,141.953446,4685.350343,-92.95948,45.98638,58.80869,228.93114,82.615,152.840005,3.180508,-5.14264,8.49225,-2.66594,50,5.83086,10.85138,-131.56268,-5.90593,-9.14962,23.96065,-17.06489,LEX_LEG,HAG_FLY,WildHealthField,Independent,ATL,20250501-WildHealthField-1,f81f8540-26a5-11f0-8dca-95e55744e59b,90.72492,46.37449,,6.61245,,,,0.86919,2.20236,0.77259,28f0c7c1-d094-4586-b79a-184f4b390a71,2025-05-01,16:04:33.01,2025-05-01T11:04:33.0142720-05:00,2025-05-01T16:04:33.0142720Z,FlyBall,v3,495,6089,,"Cottam, Kole",663526,Right,LEX_LEG,7a468eeb-7ae7-4480-8a1e-febba3bfa2b3,54.34032,-132.35079,11.98032,6.01589,-5.34463,-8.53244,-3.02781,11.15232,-4.57481,303.974112,0.86927,-71.21536,0.63136,1.13547,-0.37783,0.05613,0.00246,-0.00115,7E-05,2.2025,62.24967,-25.0104,2.63554,-0.36217,-0.03688,0.03726,-0.00913,0.00082,0.77219,55.74757,-13.11337,3.67567,-1.24595,0.50178,-0.17154,0.03294,-0.00247,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2025-05-01,11:04:54.04,1,5,"Laio, Nic",681970,Right,LEX_LEG,"Robinson, Errol",642021,Right,HAG_FLY,Undefined,1,Top,0,2,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.54466,-0.64067,-5.104466,2282.932216,32.838792,7:00,5.89687,3.17407,5.60461,-48.25416,-2.50654,-2.45366,1.2752,-1.80821,73.05967,-9.37059,-5.540152,0.486806,,,,,,,,,,,,-0.06839,-0.71661,-2.7344,50,5.81031,10.25379,-113.75668,-2.87331,-0.09027,19.45294,-33.11987,LEX_LEG,HAG_FLY,WildHealthField,Independent,ATL,20250501-WildHealthField-1,04b20e90-26a6-11f0-8dca-95e55744e59b,77.42808,,,5.48499,,,,,,,28f0c7c1-d094-4586-b79a-184f4b390a71,2025-05-01,16:04:54.04,2025-05-01T11:04:54.0433408-05:00,2025-05-01T16:04:54.0433408Z,,v3,495,6089,,"Cottam, Kole",663526,Right,LEX_LEG,2711ed6c-401f-4836-90e0-afa97ecd7845,54.89837,-114.59126,9.72647,5.9031,-1.45238,-16.55993,-3.1744,10.25766,-0.04513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-01,11:05:14.46,1,6,"Laio, Nic",681970,Right,LEX_LEG,"Robinson, Errol",642021,Right,HAG_FLY,Undefined,1,Top,0,3,2,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.23496,-2.854995,-4.472873,2340.397979,212.000601,1:00,6.03838,3.02654,6.06553,-14.55772,19.14025,11.24623,2.17272,-0.18427,82.99053,-5.654819,-2.457126,0.417805,99.44056,24.028005,4.170543,2347.516781,109.47115,43.60226,10.76926,381.47653,377.46136,7.342212,4.247626,-7.12524,11.05048,-2.68508,50,5.80841,9.85744,-132.01034,-6.99905,-12.51759,29.26772,-12.76055,LEX_LEG,HAG_FLY,WildHealthField,Independent,ATL,20250501-WildHealthField-1,10d05240-26a6-11f0-8dca-95e55744e59b,90.21545,59.5841,,8.24443,,,,1.60119,2.1706,0.18721,28f0c7c1-d094-4586-b79a-184f4b390a71,2025-05-01,16:05:14.46,2025-05-01T11:05:14.4610816-05:00,2025-05-01T16:05:14.4610816Z,LineDrive,v3,495,6089,,"Cottam, Kole",663526,Right,LEX_LEG,20ab7a62-f5f6-4ee4-a263-2838f8340a36,54.43521,-132.99002,14.63386,6.03554,-6.57191,-6.38028,-3.02205,10.27644,-6.2588,205.602879,1.60163,132.84707,-22.06397,5.40983,-1.18936,0.25129,-0.0521,0.00795,-0.00053,2.1716,59.35649,-16.07974,-0.10778,0.60447,-0.32179,0.09632,-0.01468,0.00088,0.18714,9.68986,3.032,-1.68751,0.54206,-0.12738,0.02212,-0.00245,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-05-01,11:05:50.60,2,1,"Laio, Nic",681970,Right,LEX_LEG,"Lujano, Jesus",665708,Left,HAG_FLY,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.20881,-0.827393,-3.057225,2382.267773,214.284762,1:15,6.02392,3.18006,6.06885,-17.07469,16.32095,10.40469,3.83419,1.2152,83.26734,-4.078759,-1.187273,0.415926,,,,,,,,,,,,-6.18886,8.95063,-2.94832,50,5.95049,6.62616,-132.36542,-2.41402,-10.98448,28.14248,-16.28769,LEX_LEG,HAG_FLY,WildHealthField,Independent,ATL,20250501-WildHealthField-1,26457c40-26a6-11f0-8dca-95e55744e59b,90.6229,,,7.94147,,,,,,,28f0c7c1-d094-4586-b79a-184f4b390a71,2025-05-01,16:05:50.60,2025-05-01T11:05:50.6024448-05:00,2025-05-01T16:05:50.6024448Z,,v3,495,6089,,"Cottam, Kole",663526,Right,LEX_LEG,f00a25f0-51d6-49b5-a5a8-4f55eaadaf9a,54.43087,-133.30415,14.07124,6.02195,-1.87072,-8.14385,-3.17546,6.99256,-5.49224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-01,11:06:03.57,2,2,"Laio, Nic",681970,Right,LEX_LEG,"Lujano, Jesus",665708,Left,HAG_FLY,Undefined,1,Top,1,1,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.38929,-2.685021,-3.380641,2265.177593,207.599778,1:00,6.06915,3.19343,5.99577,-17.54985,16.65682,8.12863,2.1123,0.73433,82.6436,-6.007509,-1.922275,0.420946,,,,,,,,,,,,-5.1113,9.64087,-2.93126,50,5.84744,7.39316,-130.98206,-6.67396,-8.87888,27.68752,-15.42688,LEX_LEG,HAG_FLY,WildHealthField,Independent,ATL,20250501-WildHealthField-1,2e1b67e0-26a6-11f0-8dca-95e55744e59b,89.54213,,,7.74569,,,,,,,28f0c7c1-d094-4586-b79a-184f4b390a71,2025-05-01,16:06:03.57,2025-05-01T11:06:03.5785216-05:00,2025-05-01T16:06:03.5785216Z,,v3,495,6089,,"Cottam, Kole",663526,Right,LEX_LEG,5fa46a77-abba-48f4-a54e-351cef66d6bd,54.50395,-131.93068,13.84376,6.06705,-6.14541,-7.71344,-3.18977,7.69737,-4.43944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-01,11:06:16.76,2,3,"Laio, Nic",681970,Right,LEX_LEG,"Lujano, Jesus",665708,Left,HAG_FLY,Undefined,1,Top,1,1,1,Undefined,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.21555,-2.257941,-4.000689,1937.20051,239.421244,2:00,5.8826,3.38027,6.46334,-27.90112,9.4726,14.22973,1.47735,0.88531,79.03277,-7.459839,-1.424354,0.440002,81.82606,-1.139735,10.283733,,,,,29.68622,29.02207,8.210099,0.241642,-8.4878,5.84118,-3.10361,50,5.71007,8.14275,-123.71009,-5.70228,-13.3056,22.00819,-23.01733,LEX_LEG,HAG_FLY,WildHealthField,Independent,ATL,20250501-WildHealthField-1,35f6f8d0-26a6-11f0-8dca-95e55744e59b,85.66426,1.57526,,6.18278,,,,1.90241,1.57526,-0.96285,28f0c7c1-d094-4586-b79a-184f4b390a71,2025-05-01,16:06:16.76,2025-05-01T11:06:16.7611904-05:00,2025-05-01T16:06:16.7611904Z,GroundBall,v3,495,6089,,"Cottam, Kole",663526,Right,LEX_LEG,b208ac58-ebe5-43da-bf65-466eb6c0d966,54.04,-124.42674,11.00409,5.88355,-4.95278,-11.50867,-3.37581,8.57602,-6.6528,295.451818,1.90446,117.94715,-17.56235,,,,,,,1.57649,-2.45455,-16.8615,,,,,,,-0.96315,21.43691,0.38813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-05-01,11:06:47.08,3,1,"Laio, Nic",681970,Right,LEX_LEG,"Sedio, Chad",670466,Left,HAG_FLY,Undefined,1,Top,2,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.90597,-1.974433,-2.946249,2244.36717,220.306535,1:15,6.06325,3.26595,6.12837,-19.34064,15.0552,11.81662,2.62326,1.5248,82.04291,-5.637228,-0.818707,0.422109,,,,,,,,,,,,-6.92839,8.67363,-3.04646,50,5.90194,6.22145,-130.41454,-5.07656,-11.90594,27.99173,-17.26903,LEX_LEG,HAG_FLY,WildHealthField,Independent,ATL,20250501-WildHealthField-1,480d8e80-26a6-11f0-8dca-95e55744e59b,89.29555,,,7.86306,,,,,,,28f0c7c1-d094-4586-b79a-184f4b390a71,2025-05-01,16:06:47.08,2025-05-01T11:06:47.0807040-05:00,2025-05-01T16:06:47.0807040Z,,v3,495,6089,,"Cottam, Kole",663526,Right,LEX_LEG,c1177e40-3d23-40c7-a3da-ef4e57f00cda,54.37148,-131.34947,13.99586,6.06186,-4.49977,-8.63451,-3.2609,6.61911,-5.95297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
