PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,16:01:54.17,1,1,"Grey, Connor",670119,Right,GAS,"Otosaka, Tomo",678465,Left,YOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.86441,-1.14256,-1.265166,2329.96843,206.160637,12:45,5.5644,0.83838,6.66206,-15.14131,17.7341,8.08579,3.25673,0.35432,82.04322,-4.120624,0.207146,0.412674,94.41099,20.131223,-25.63808,2752.627654,96.54933,32.4888,-52.70865,279.56442,275.24594,-33.171774,3.075253,-4.67792,10.08351,-0.7562,50,5.48124,2.61422,-133.27831,-3.00429,-8.20252,35.35973,-14.49312,GAS,YOR,CaroMontHealthPark,Independent,ATL,20250427-CaroMontHealthPark-1,7776bdb0-23a2-11f0-a0d9-3f6b815f5e07,91.33712,35.78787,,9.82119,,,,-0.10155,3.11292,-0.34189,19237589-5339-43fd-abd1-539a5d6659d3,2025-04-27,20:01:54.17,2025-04-27T16:01:54.1752832-04:00,2025-04-27T20:01:54.1752832Z,LineDrive,v3,5508,5435,,"Aviles, Luis",676417,Right,GAS,4a90521f-11f9-4873-ace4-a0405d4533de,53.83301,-134.29138,17.67987,5.56136,-2.58905,-7.24656,-0.83446,2.84922,-4.10126,,-0.10151,117.20829,-21.64646,4.61173,-1.00639,0.19061,-0.02936,0.00295,-0.00013,3.11291,47.65753,-19.33372,1.77511,-0.35417,0.07549,-0.01388,0.0021,-0.00016,-0.34189,-56.25309,2.15041,0.21395,-0.15304,0.04934,-0.01103,0.00159,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-04-27,16:02:27.90,2,1,"Grey, Connor",670119,Right,GAS,"Miller, Jalen",663692,Right,YOR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.18085,-1.409807,0.491282,2283.647583,202.092721,12:45,5.72354,0.86736,6.68207,-11.36048,21.23509,8.11126,3.48698,1.99269,82.39449,-3.696379,1.968554,0.410914,,,,,,,,,,,,-4.04929,11.97375,-0.90266,50,5.62403,-1.48381,-133.74455,-3.47746,-7.15898,35.27907,-11.00495,GAS,YOR,CaroMontHealthPark,Independent,ATL,20250427-CaroMontHealthPark-1,8b8f8c00-23a2-11f0-a0d9-3f6b815f5e07,91.7283,,,9.78636,,,,,,,19237589-5339-43fd-abd1-539a5d6659d3,2025-04-27,20:02:27.90,2025-04-27T16:02:27.9047168-04:00,2025-04-27T20:02:27.9047168Z,,v3,5508,5435,,"Aviles, Luis",676417,Right,GAS,db59ac63-4a11-4588-b4e6-93f04628d036,53.81181,-134.74627,17.63954,5.71833,-3.16498,-5.50248,-0.86342,-1.28053,-3.57949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,16:02:44.57,2,2,"Grey, Connor",670119,Right,GAS,"Miller, Jalen",663692,Right,YOR,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.95905,-3.096599,-2.216489,2346.401811,195.636883,12:30,5.59066,0.71479,6.72787,-12.62481,19.43222,5.09236,1.70374,-0.8875,83.28597,-5.599683,-1.288895,0.407505,,,,,,,,,,,,-3.46134,11.69717,-0.57027,50,5.38079,5.01131,-134.70084,-7.55155,-6.21154,35.60457,-11.18285,GAS,YOR,CaroMontHealthPark,Independent,ATL,20250427-CaroMontHealthPark-1,9578a030-23a2-11f0-a0d9-3f6b815f5e07,92.49562,,,9.67309,,,,,,,19237589-5339-43fd-abd1-539a5d6659d3,2025-04-27,20:02:44.57,2025-04-27T16:02:44.5701632-04:00,2025-04-27T20:02:44.5701632Z,,v3,5508,5435,,"Aviles, Luis",676417,Right,GAS,8550f182-02fe-4ce9-9bc8-894cc566d49b,53.76895,-135.6934,17.80228,5.58696,-7.2398,-5.59143,-0.71239,5.18447,-3.10577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-27,16:02:59.86,2,3,"Grey, Connor",670119,Right,GAS,"Miller, Jalen",663692,Right,YOR,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.08091,-0.939485,-1.989556,2584.930243,98.904903,9:15,5.56145,0.93891,6.30271,-35.44258,2.36945,-6.30697,1.74174,-1.42043,77.74028,-7.550669,-3.130627,0.442575,,,,,,,,,,,,2.60394,1.95721,-0.79,50,5.47587,4.58405,-124.86157,-3.17423,4.02618,29.96907,-29.14782,GAS,YOR,CaroMontHealthPark,Independent,ATL,20250427-CaroMontHealthPark-1,9ea28310-23a2-11f0-a0d9-3f6b815f5e07,85.1663,,,8.34063,,,,,,,19237589-5339-43fd-abd1-539a5d6659d3,2025-04-27,20:02:59.86,2025-04-27T16:02:59.8679552-04:00,2025-04-27T20:02:59.8679552Z,,v3,5508,5435,,"Aviles, Luis",676417,Right,GAS,f06dd62f-8841-457f-9c99-8711e2723e68,54.19463,-125.86433,14.98454,5.56576,-2.19895,-14.57391,-0.94113,4.44933,2.01309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,16:03:17.07,2,4,"Grey, Connor",670119,Right,GAS,"Miller, Jalen",663692,Right,YOR,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.19877,-1.219551,-0.286555,2273.293482,205.172039,12:45,5.52351,0.88482,6.67851,-13.86304,18.338,8.09185,3.25247,1.29701,83.36673,-3.936935,1.187601,0.408419,,,,,,,,,,,,-4.31185,10.3413,-0.86825,50,5.43584,0.33982,-133.93931,-3.15714,-7.74054,32.11052,-13.60951,GAS,YOR,CaroMontHealthPark,Independent,ATL,20250427-CaroMontHealthPark-1,a8be4000-23a2-11f0-a0d9-3f6b815f5e07,92.28859,,,8.83204,,,,,,,19237589-5339-43fd-abd1-539a5d6659d3,2025-04-27,20:03:17.07,2025-04-27T16:03:17.0775552-04:00,2025-04-27T20:03:17.0775552Z,,v3,5508,5435,,"Aviles, Luis",676417,Right,GAS,98ae1e14-a9b0-4a1b-82b5-859176d270f0,53.81746,-134.8514,16.05526,5.52003,-2.77056,-6.80476,-0.88103,0.55969,-3.87027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,16:03:37.15,2,5,"Grey, Connor",670119,Right,GAS,"Miller, Jalen",663692,Right,YOR,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.39931,0.036533,-0.568603,2330.229169,185.76737,12:15,5.70695,0.49641,6.88525,-13.7415,17.99875,1.70929,4.59511,0.12075,83.59639,-2.669324,-0.256034,0.405487,,,,,,,,,,,,-1.07441,9.83666,-0.46092,50,5.70358,1.26547,-134.3183,-0.20066,-1.94281,31.86385,-14.38694,GAS,YOR,CaroMontHealthPark,Independent,ATL,20250427-CaroMontHealthPark-1,b4b65e10-23a2-11f0-a0d9-3f6b815f5e07,92.95601,,,8.80292,,,,,,,19237589-5339-43fd-abd1-539a5d6659d3,2025-04-27,20:03:37.15,2025-04-27T16:03:37.1501056-04:00,2025-04-27T20:03:37.1501056Z,,v3,5508,5435,,"Aviles, Luis",676417,Right,GAS,317c0e45-e97a-441d-89b7-43b8d8ea0835,53.61086,-135.17218,15.93192,5.7038,0.18488,-7.19347,-0.49552,1.31753,-0.9714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-27,16:03:58.87,2,6,"Grey, Connor",670119,Right,GAS,"Miller, Jalen",663692,Right,YOR,Undefined,1,Top,1,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.31185,-1.539453,-0.642018,2304.110516,195.461136,12:30,5.54939,0.75019,6.69132,-14.41772,17.75737,4.59599,2.9396,0.54601,83.34209,-4.359986,0.195509,0.408255,68.77132,36.961901,168.415892,3264.053596,,,,,35.9337,,,-2.63114,10.19709,-0.70905,50,5.44077,1.3212,-134.08837,-3.93933,-4.7211,32.90358,-13.87717,GAS,YOR,CaroMontHealthPark,Independent,ATL,20250427-CaroMontHealthPark-1,c1bcdee0-23a2-11f0-a0d9-3f6b815f5e07,92.32581,25.64635,,8.96975,,,,1.54955,2.9052,-0.54394,19237589-5339-43fd-abd1-539a5d6659d3,2025-04-27,20:03:58.87,2025-04-27T16:03:58.8709376-04:00,2025-04-27T20:03:58.8709376Z,,v3,5508,5435,,"Aviles, Luis",676417,Right,GAS,54806a02-b761-4ecf-bdd7-adae38fe2590,53.80623,-135.01914,16.45179,5.54665,-3.54678,-6.93859,-0.74831,1.45475,-2.36055,333.574432,1.55142,-79.00759,5.09843,,,,,,,2.92551,60.08176,-27.09677,,,,,,,-0.53632,15.97091,-5.01022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2025-04-27,16:04:19.03,2,7,"Grey, Connor",670119,Right,GAS,"Miller, Jalen",663692,Right,YOR,Undefined,1,Top,1,3,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,78.46539,1.588796,-0.484621,2949.64167,52.135794,7:45,5.53191,0.84095,6.53623,-54.71948,-10.26894,-15.02174,2.4297,-0.85539,71.94701,-8.558913,-3.218165,0.479855,,,,,,,,,,,,7.72402,-5.41575,-0.80154,50,5.61952,1.4792,-114.13905,1.56166,10.10871,22.56301,-39.26184,GAS,YOR,CaroMontHealthPark,Independent,ATL,20250427-CaroMontHealthPark-1,cdd38170-23a2-11f0-a0d9-3f6b815f5e07,78.54967,,,6.51839,,,,,,,19237589-5339-43fd-abd1-539a5d6659d3,2025-04-27,20:04:19.03,2025-04-27T16:04:19.0340000-04:00,2025-04-27T20:04:19.0340000Z,,v3,5508,5435,,"Aviles, Luis",676417,Right,GAS,eea3fe70-415c-4146-8736-a7df7b903e4b,53.96671,-114.92051,11.2815,5.54188,2.92149,-19.63092,-0.84671,1.12909,5.05435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.37204,2.956778,1.946573,1.010205,-0.03657,2.20672,0.93807,0.40974,5.33344,-1.08379,68.59857,8.84566,-56.41239,0.47919,72.56502,-5.04985,5.42279,18.25301,-14.67067,-1.22281,-61.98638,7.21632,High,High,High,,,High,High,High
9,2025-04-27,16:04:54.26,3,1,"Grey, Connor",670119,Right,GAS,"Tostado, Frankie",676762,Left,YOR,Undefined,1,Top,2,0,0,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.90448,1.852391,-0.015002,2860.140024,44.754663,7:30,5.62966,0.62079,6.35753,-63.26287,-16.30399,-17.74615,2.06322,-0.87186,70.1543,-9.825077,-3.237254,0.493208,101.88062,28.072936,47.334543,3465.584223,69.11026,53.23772,85.57822,365.29957,150.14082,63.348527,4.652871,9.31532,-8.76465,-0.61149,50,5.73447,0.6276,-111.80298,1.74313,11.59005,23.35873,-43.07896,GAS,YOR,CaroMontHealthPark,Independent,ATL,20250427-CaroMontHealthPark-1,e2d06e30-23a2-11f0-a0d9-3f6b815f5e07,76.423,74.57391,,6.75017,,,,2.54589,2.48524,0.11661,19237589-5339-43fd-abd1-539a5d6659d3,2025-04-27,20:04:54.26,2025-04-27T16:04:54.2672896-04:00,2025-04-27T20:04:54.2672896Z,FlyBall,v3,5508,5435,,"Aviles, Luis",676417,Right,GAS,5a25d96a-1d2d-4724-827d-daab71a87e5f,54.14721,-112.66611,11.67937,5.64064,3.33495,-21.53948,-0.62677,0.19933,5.79503,,2.54604,89.349,-26.29033,6.87239,-1.71467,0.40635,-0.08018,0.0099,-0.00052,2.4864,70.29133,-19.30984,1.09458,0.12122,-0.14035,0.04403,-0.00614,0.00032,0.11543,96.97962,-9.65927,1.47407,-0.35809,0.13301,-0.03763,0.00573,-0.00034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
10,2025-04-27,16:05:13.47,3,2,"Grey, Connor",670119,Right,GAS,"Tostado, Frankie",676762,Left,YOR,Undefined,1,Top,2,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.26149,-1.73446,-1.915044,2365.230862,190.148215,12:15,5.63609,0.66706,6.88864,-14.29359,16.91847,2.83595,2.86334,-0.84205,84.48854,-4.528871,-1.396744,0.402099,64.64473,12.945723,-56.454526,3380.025455,,,,114.26117,100.49587,-61.198084,1.498128,-2.09543,9.8406,-0.54689,50,5.52084,4.4191,-135.46614,-4.42695,-3.85184,32.56956,-14.08498,GAS,YOR,CaroMontHealthPark,Independent,ATL,20250427-CaroMontHealthPark-1,ee38f670-23a2-11f0-a0d9-3f6b815f5e07,93.73927,9.75202,,8.77295,,,,0.12613,2.67936,0.90292,19237589-5339-43fd-abd1-539a5d6659d3,2025-04-27,20:05:13.47,2025-04-27T16:05:13.4722048-04:00,2025-04-27T20:05:13.4722048Z,GroundBall,v3,5508,5435,,"Aviles, Luis",676417,Right,GAS,2c1729e2-c7f1-46aa-8879-7304328c0343,53.60884,-136.33104,16.28478,5.63344,-4.05292,-7.04249,-0.6656,4.52139,-1.92592,,0.12613,51.06139,-12.8423,2.80487,-0.56407,0.11883,-0.02809,0.00555,-0.00052,2.67936,21.24041,-16.52118,0.9379,-0.12179,-0.00367,0.00515,0.00316,-0.00175,0.90292,-77.01247,8.60275,-1.93293,0.40189,-0.08865,0.02107,-0.00354,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
