PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,18:53:52.94,1,1,"Henriquez, Jonh",806430,Right,WES_POW,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.53931,-1.367081,-1.970421,2424.440429,208.188055,1:00,5.32488,1.38889,5.77885,-18.56143,13.67607,6.75441,2.5051,0.11765,85.06157,-4.865687,-0.761291,0.40865,,,,,,,,,,,,-3.99166,7.67937,-1.23022,50,5.20088,4.35735,-135.68232,-3.85457,-7.40633,30.98286,-17.92526,WES_POW,SMD,GoMart,Independent,ATL,20250502-GoMart-1,52212be0-27a8-11f0-ae00-8f209a97ada4,92.2364,,,8.47775,,,,,,,954ed70e-9547-4536-8dc2-77230aa4ec73,2025-05-02,22:53:52.94,2025-05-02T18:53:52.9471488-04:00,2025-05-02T22:53:52.9471488Z,,v3,525,5433,,"Soto, Jonathan",675853,Right,WES_POW,838c332d-194e-4ff0-8a96-7e0c26755ebe,54.71751,-136.75532,15.49143,5.32362,-3.23378,-8.96263,-1.38556,4.61385,-3.70316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,18:54:03.75,1,2,"Henriquez, Jonh",806430,Right,WES_POW,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,0,1,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.80092,-0.923463,-2.186478,2412.151936,183.339603,12:00,5.51375,1.53172,5.60619,-19.79096,11.90343,0.63169,3.00177,-0.45764,85.94693,-4.632407,-2.073825,0.405194,,,,,,,,,,,,-0.97583,6.62012,-1.34502,50,5.42212,5.21686,-137.42652,-2.91903,-1.85143,32.70159,-19.61368,WES_POW,SMD,GoMart,Independent,ATL,20250502-GoMart-1,58916d00-27a8-11f0-ae00-8f209a97ada4,93.02325,,,8.854,,,,,,,954ed70e-9547-4536-8dc2-77230aa4ec73,2025-05-02,22:54:03.75,2025-05-02T18:54:03.7565440-04:00,2025-05-02T22:54:03.7565440Z,,v3,525,5433,,"Soto, Jonathan",675853,Right,WES_POW,90eca7d2-176e-419c-9a83-09185e18cb1d,54.88967,-138.58516,16.35079,5.51324,-2.2241,-9.80684,-1.53102,5.28246,-0.92572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,18:54:23.64,1,3,"Henriquez, Jonh",806430,Right,WES_POW,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,0,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.39789,-0.937787,-0.290331,2517.708745,195.714429,12:30,5.4916,1.29422,5.56809,-16.17469,15.90595,4.1576,3.2676,1.36947,85.22047,-4.013738,0.451464,0.407655,,,,,,,,,,,,-2.22299,8.7015,-1.27211,50,5.40062,0.50485,-136.93449,-2.77786,-4.16534,33.95187,-15.8696,WES_POW,SMD,GoMart,Independent,ATL,20250502-GoMart-1,648a0040-27a8-11f0-ae00-8f209a97ada4,92.46158,,,9.17742,,,,,,,954ed70e-9547-4536-8dc2-77230aa4ec73,2025-05-02,22:54:23.64,2025-05-02T18:54:23.6465152-04:00,2025-05-02T22:54:23.6465152Z,,v3,525,5433,,"Soto, Jonathan",675853,Right,WES_POW,300f2168-7e5c-4ae3-958b-310dc723a4c4,54.93073,-138.15162,16.97594,5.49001,-2.20896,-7.9348,-1.29288,0.65417,-2.08267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,18:54:35.81,1,4,"Henriquez, Jonh",806430,Right,WES_POW,"Loftin, Jackson",699816,Right,SMD,Undefined,1,Top,0,1,2,Undefined,Slider,InPlay,Undefined,FlyBall,Out,1,0,,80.24527,1.292777,-1.893647,2521.253662,69.024058,8:15,5.06037,1.80176,4.94835,-47.01274,-1.32992,-7.72323,2.36513,-0.63189,72.55073,-7.246083,-3.255001,0.486461,74.29494,56.632165,16.12103,,101.07904,110.30604,43.39381,188.08577,186.74579,25.681197,5.29601,3.20288,-0.61587,-1.61124,50,5.14719,4.17091,-116.16194,0.89066,4.30575,25.03541,-33.002,WES_POW,SMD,GoMart,Independent,ATL,20250502-GoMart-1,6bd86c60-27a8-11f0-ae00-8f209a97ada4,77.48299,110.55058,,7.69454,,,,1.14413,2.3848,0.64681,954ed70e-9547-4536-8dc2-77230aa4ec73,2025-05-02,22:54:35.81,2025-05-02T18:54:35.8135296-04:00,2025-05-02T22:54:35.8135296Z,Popup,v3,525,5433,,"Soto, Jonathan",675853,Right,WES_POW,8767cd73-9a2a-4d34-9bf9-99719b725d70,55.54931,-117.35184,12.51771,5.06758,2.4592,-16.501,-1.80462,3.96626,2.15287,194.27802,1.14924,57.47603,-13.50965,3.19826,-0.40095,0.00427,0.00528,-0.00039,-1E-05,2.38568,90.97152,-22.57464,1.72251,0.08737,-0.19458,0.06168,-0.00867,0.00046,0.64675,16.64368,-0.1402,-0.09786,0.02358,0.00465,-0.00361,0.00068,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2025-05-02,18:55:07.22,2,1,"Henriquez, Jonh",806430,Right,WES_POW,"Taylor, John",10923412,Left,SMD,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.84643,-1.52699,-0.564782,2423.111755,197.472753,12:30,5.47685,1.61544,5.55884,-14.36607,17.32969,5.11256,2.85261,1.5138,85.91896,-4.269677,0.347212,0.405202,,,,,,,,,,,,-2.73193,9.51044,-1.57002,50,5.3357,1.10964,-137.53692,-4.11414,-5.19202,32.73297,-14.09952,WES_POW,SMD,GoMart,Independent,ATL,20250502-GoMart-1,7e66f130-27a8-11f0-ae00-8f209a97ada4,93.02127,,,8.92746,,,,,,,954ed70e-9547-4536-8dc2-77230aa4ec73,2025-05-02,22:55:07.22,2025-05-02T18:55:07.2211968-04:00,2025-05-02T22:55:07.2211968Z,,v3,525,5433,,"Soto, Jonathan",675853,Right,WES_POW,d6e33aef-b5ee-4d92-8115-29e88b9611c9,54.93662,-138.70683,16.36648,5.47374,-3.6102,-7.04976,-1.613,1.29521,-2.59601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-02,18:55:19.71,2,2,"Henriquez, Jonh",806430,Right,WES_POW,"Taylor, John",10923412,Left,SMD,Undefined,1,Top,1,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.21404,-0.962554,-2.91437,2423.77665,207.009997,1:00,5.3655,1.67186,5.83018,-17.66383,14.86363,7.00977,2.99752,-0.45541,84.45061,-4.313649,-1.660028,0.410484,76.48834,23.938371,-170.225387,2378.369739,,,,,50.46151,,,-4.47587,8.2152,-1.43803,50,5.27657,6.56908,-135.13718,-2.83827,-8.20608,31.80074,-17.11226,WES_POW,SMD,GoMart,Independent,ATL,20250502-GoMart-1,85f04370-27a8-11f0-ae00-8f209a97ada4,91.82435,20.3451,,8.76343,,,,1.69833,3.12166,0.43302,954ed70e-9547-4536-8dc2-77230aa4ec73,2025-05-02,22:55:19.71,2025-05-02T18:55:19.7191168-04:00,2025-05-02T22:55:19.7191168Z,,v3,525,5433,,"Soto, Jonathan",675853,Right,WES_POW,6241f334-ab20-4555-b546-f6b00da7a4ad,54.66779,-136.23118,15.90037,5.36409,-2.24957,-8.55613,-1.66887,6.85139,-4.10304,355.671192,1.69833,-101.04458,9.70756,-1.17494,0.22698,-0.02894,0.00365,0.0015,-0.00112,3.12166,45.51856,-26.41111,3.14421,-0.68455,0.14543,-0.02499,0.00109,0.00153,0.43302,-17.40732,1.22203,0.26203,-0.07945,0.02737,-0.00589,0.001,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-05-02,18:55:36.93,2,3,"Henriquez, Jonh",806430,Right,WES_POW,"Taylor, John",10923412,Left,SMD,Undefined,1,Top,1,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.18176,-0.951786,-4.739898,2370.754105,249.591835,2:15,5.33274,1.76186,5.78564,-27.41942,5.08083,10.85556,2.15919,-1.7533,85.12659,-6.016645,-2.804161,0.410313,,,,,,,,,,,,-6.86709,3.17016,-1.37703,50,5.23756,10.70242,-134.91396,-3.25751,-12.64788,29.54547,-26.33523,WES_POW,SMD,GoMart,Independent,ATL,20250502-GoMart-1,903bea00-27a8-11f0-ae00-8f209a97ada4,91.86276,,,8.05517,,,,,,,954ed70e-9547-4536-8dc2-77230aa4ec73,2025-05-02,22:55:36.93,2025-05-02T18:55:36.9397248-04:00,2025-05-02T22:55:36.9397248Z,,v3,525,5433,,"Soto, Jonathan",675853,Right,WES_POW,407bede3-108a-46a0-9324-18b2124e15e7,54.71357,-135.94229,14.77274,5.33498,-2.34092,-13.16762,-1.75719,11.14263,-6.32394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,18:55:51.57,2,4,"Henriquez, Jonh",806430,Right,WES_POW,"Taylor, John",10923412,Left,SMD,Undefined,1,Top,1,2,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.57926,-0.794964,-1.620862,2456.120757,185.19536,12:15,5.40178,1.66957,5.7473,-17.95414,13.57292,1.14012,3.16514,0.25514,86.03289,-4.18076,-1.416894,0.404123,,,,,,,,,,,,-1.0474,7.44288,-1.53558,50,5.32485,3.83085,-137.24752,-2.50789,-1.98966,31.53649,-18.03534,WES_POW,SMD,GoMart,Independent,ATL,20250502-GoMart-1,98d61000-27a8-11f0-ae00-8f209a97ada4,93.26981,,,8.54637,,,,,,,954ed70e-9547-4536-8dc2-77230aa4ec73,2025-05-02,22:55:51.57,2025-05-02T18:55:51.5747328-04:00,2025-05-02T22:55:51.5747328Z,,v3,525,5433,,"Soto, Jonathan",675853,Right,WES_POW,4fbc6f0f-0c45-4145-9e56-4bddf2a49361,54.7494,-138.33453,15.76825,5.40058,-1.88624,-9.01767,-1.66881,3.89943,-0.99483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,18:56:05.96,2,5,"Henriquez, Jonh",806430,Right,WES_POW,"Taylor, John",10923412,Left,SMD,Undefined,1,Top,1,2,2,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.84296,0.409971,-2.057183,2624.693305,49.642412,7:45,4.98178,2.0002,5.11363,-46.39227,-5.40689,-7.85969,1.50224,-0.59361,77.01891,-7.970437,-3.447964,0.460772,,,,,,,,,,,,3.36299,-2.5124,-1.79996,50,4.98372,4.70393,-121.65659,-0.88944,5.02873,24.36763,-35.9309,WES_POW,SMD,GoMart,Independent,ATL,20250502-GoMart-1,a188a000-27a8-11f0-ae00-8f209a97ada4,81.80284,,,6.82405,,,,,,,954ed70e-9547-4536-8dc2-77230aa4ec73,2025-05-02,22:56:05.96,2025-05-02T18:56:05.9644416-04:00,2025-05-02T22:56:05.9644416Z,,v3,525,5433,,"Soto, Jonathan",675853,Right,WES_POW,44c2199f-d935-46e6-9ce5-e585ed0e3443,55.38784,-122.73102,12.18382,4.98801,0.69484,-17.96545,-2.00248,4.4822,2.51437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,18:56:31.18,2,6,"Henriquez, Jonh",806430,Right,WES_POW,"Taylor, John",10923412,Left,SMD,Undefined,1,Top,1,2,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.82634,-0.8113,-1.12589,2415.721268,199.976216,12:45,5.46462,1.41136,5.73037,-15.88158,14.82162,5.02284,3.38539,0.78125,87.16128,-3.822732,-0.227209,0.398807,,,,,,,,,,,,-2.86063,8.05815,-1.32052,50,5.38727,2.49544,-139.0851,-2.49004,-5.58451,32.18412,-16.44293,WES_POW,SMD,GoMart,Independent,ATL,20250502-GoMart-1,b0751ee0-27a8-11f0-ae00-8f209a97ada4,94.51288,,,8.66506,,,,,,,954ed70e-9547-4536-8dc2-77230aa4ec73,2025-05-02,22:56:31.18,2025-05-02T18:56:31.1887360-04:00,2025-05-02T22:56:31.1887360Z,,v3,525,5433,,"Soto, Jonathan",675853,Right,WES_POW,e9d4f332-5de3-4037-b82e-47157ee53de3,54.76605,-140.18362,16.09206,5.46268,-1.9288,-8.22146,-1.40895,2.68605,-2.79226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
