PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-04,18:00:56.88,1,1,"Backman, Brandon",1000057358,Right,HP,"Rock, Dylan",676423,Right,LEX_LEG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.57658,-1.983946,-1.812864,2327.928029,212.58509,1:00,6.03583,2.31444,6.47267,-17.84048,16.16233,9.65193,2.72552,1.45337,82.10437,-5.389,-0.061763,0.41969,,,,,,,,,,,,-5.52111,9.31768,-2.19056,50,5.88778,3.73718,-130.14912,-4.98835,-9.4878,26.8329,-16.16194,HP,LEX_LEG,HighPoint,Independent,ATL,20250504-HighPoint-2,4210e600-2933-11f0-b820-1722f762b73f,89.81013,,,7.47221,,,,,,,9652c3f3-2e70-4a69-8258-82277be37020,2025-05-04,22:00:56.88,2025-05-04T18:00:56.8851456-04:00,2025-05-04T22:00:56.8851456Z,,v3,5431,495,,"Watson, Nolan",1000013269,Right,HP,f3359ec8-0cb8-486e-8759-7747863fa986,54.02577,-130.97649,13.41645,6.03391,-4.49002,-8.08097,-2.31031,4.02972,-4.7439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-04,18:01:07.91,1,2,"Backman, Brandon",1000057358,Right,HP,"Rock, Dylan",676423,Right,LEX_LEG,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.27496,-3.0932,-3.063449,2263.745454,218.025576,1:15,5.97364,2.30927,6.49069,-18.60107,14.86032,10.81938,1.57704,0.39584,83.07118,-6.617612,-1.102087,0.416336,,,,,,,,,,,,-6.44201,8.91048,-2.09853,50,5.74782,6.58084,-130.97964,-7.60467,-11.25203,26.25236,-16.61044,HP,LEX_LEG,HighPoint,Independent,ATL,20250504-HighPoint-2,48a4dbc0-2933-11f0-b820-1722f762b73f,90.5338,,,7.20377,,,,,,,9652c3f3-2e70-4a69-8258-82277be37020,2025-05-04,22:01:07.91,2025-05-04T18:01:07.9106560-04:00,2025-05-04T22:01:07.9106560Z,,v3,5431,495,,"Watson, Nolan",1000013269,Right,HP,170e1744-1d4c-4d74-ae86-50c5c5f439c8,54.00832,-131.78058,13.12618,5.9721,-7.0979,-8.30522,-2.30454,6.92413,-5.62601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-04,18:01:23.07,1,3,"Backman, Brandon",1000057358,Right,HP,"Rock, Dylan",676423,Right,LEX_LEG,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.18239,-2.375341,-2.868463,2420.010952,213.395192,1:00,6.01875,2.26952,6.55954,-16.52847,17.06828,10.53422,2.45959,0.51526,82.38453,-5.551287,-0.956481,0.417177,,,,,,,,,,,,-6.29532,9.94056,-2.07554,50,5.84735,6.13821,-130.87562,-5.8537,-10.90684,27.90268,-14.95173,HP,LEX_LEG,HighPoint,Independent,ATL,20250504-HighPoint-2,51b03a20-2933-11f0-b820-1722f762b73f,90.35129,,,7.79787,,,,,,,9652c3f3-2e70-4a69-8258-82277be37020,2025-05-04,22:01:23.07,2025-05-04T18:01:23.0714368-04:00,2025-05-04T22:01:23.0714368Z,,v3,5431,495,,"Watson, Nolan",1000013269,Right,HP,ed6010d5-8532-4324-94ac-2c0fd15155a5,53.93828,-131.71259,13.95134,6.0162,-5.40521,-7.47586,-2.26457,6.46537,-5.45342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-04,18:01:37.11,1,4,"Backman, Brandon",1000057358,Right,HP,"Rock, Dylan",676423,Right,LEX_LEG,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,89.6087,-2.644595,-2.701159,2180.939408,215.559894,1:15,5.99435,2.33353,6.55708,-17.22332,16.74158,11.19528,2.12988,0.78799,82.07201,-5.940927,-0.668533,0.419456,87.82404,0.079095,-19.194046,1242.843956,,,,41.37733,39.83018,-19.8548,0.31807,-6.65374,9.868,-2.15168,50,5.80414,5.71239,-130.0931,-6.46512,-11.40614,27.21838,-15.25792,HP,LEX_LEG,HighPoint,Independent,ATL,20250504-HighPoint-2,5a08c340-2933-11f0-b820-1722f762b73f,89.86026,2.24225,,7.53669,,,,1.88302,2.24225,-0.80002,9652c3f3-2e70-4a69-8258-82277be37020,2025-05-04,22:01:37.11,2025-05-04T18:01:37.1154944-04:00,2025-05-04T22:01:37.1154944Z,GroundBall,v3,5431,495,,"Watson, Nolan",1000013269,Right,HP,032b5bfe-9bfd-4212-b522-f8e36b557336,53.94298,-130.91546,13.60919,5.99251,-6.00412,-7.62896,-2.32948,6.057,-5.70307,26.859621,1.88573,121.53419,-16.08283,,,,,,,2.24657,-0.00341,-22.23697,,,,,,,-0.7997,-42.36176,2.17574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-05-04,18:02:11.80,2,1,"Backman, Brandon",1000057358,Right,HP,"Fuentes, Brian",1000059283,Right,LEX_LEG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.93659,-0.942406,-3.228184,2149.217426,216.828612,1:15,6.06569,2.34336,6.63778,-20.66698,13.62335,9.40989,3.47925,0.16908,81.50126,-4.876024,-1.518823,0.421461,22.62309,-5.107918,-22.666194,,,,,33.85697,1.95317,-24.074154,1.035363,-5.79768,7.75099,-2.12838,50,5.99324,6.92323,-129.17749,-2.68909,-9.82218,26.24638,-19.04267,HP,LEX_LEG,HighPoint,Independent,ATL,20250504-HighPoint-2,6ebbd5c0-2933-11f0-b820-1722f762b73f,89.43283,3.18321,,7.43532,,,,,,,9652c3f3-2e70-4a69-8258-82277be37020,2025-05-04,22:02:11.80,2025-05-04T18:02:11.8001152-04:00,2025-05-04T22:02:11.8001152Z,GroundBall,v3,5431,495,,"Watson, Nolan",1000013269,Right,HP,c1e4814b-a143-4be1-b5f1-ceea46d70747,53.86063,-129.95953,13.12319,6.06491,-2.1217,-9.52134,-2.33902,7.21589,-4.91109,,-2.15861,31.74082,,,,,,,,3.2033,-3.07469,,,,,,,,-6E-05,-13.25548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2025-05-04,18:02:22.17,2,2,"Backman, Brandon",1000057358,Right,HP,"Fuentes, Brian",1000059283,Right,LEX_LEG,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.85807,-1.578924,-3.664909,2380.608917,210.840519,1:00,5.98096,2.10093,6.76049,-16.55576,17.04135,9.52823,3.15592,-0.45689,82.01442,-4.776503,-1.931573,0.417179,,,,,,,,,,,,-6.02752,9.76449,-1.86384,50,5.87057,7.98374,-130.39926,-3.99584,-10.36647,27.71364,-15.38057,HP,LEX_LEG,HighPoint,Independent,ATL,20250504-HighPoint-2,74e59800-2933-11f0-b820-1722f762b73f,90.35078,,,7.84366,,,,,,,9652c3f3-2e70-4a69-8258-82277be37020,2025-05-04,22:02:22.17,2025-05-04T18:02:22.1718528-04:00,2025-05-04T22:02:22.1718528Z,,v3,5431,495,,"Watson, Nolan",1000013269,Right,HP,9d427ae5-709c-41a8-805d-105bfc48fa0b,53.7371,-131.1911,13.85682,5.97846,-3.55638,-7.69028,-2.09618,8.27993,-5.18324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-04,18:02:35.78,2,3,"Backman, Brandon",1000057358,Right,HP,"Fuentes, Brian",1000059283,Right,LEX_LEG,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.05477,-1.262811,-3.936881,2298.044414,218.18364,1:15,5.99102,2.17736,6.53431,-18.56446,15.94032,11.66268,3.28271,-0.46765,81.28451,-4.815985,-1.825074,0.422777,,,,,,,,,,,,-7.17481,9.03532,-1.90829,50,5.89492,8.43011,-129.1783,-3.3421,-12.11583,27.068,-16.91644,HP,LEX_LEG,HighPoint,Independent,ATL,20250504-HighPoint-2,7d08b940-2933-11f0-b820-1722f762b73f,89.15445,,,7.77026,,,,,,,9652c3f3-2e70-4a69-8258-82277be37020,2025-05-04,22:02:35.78,2025-05-04T18:02:35.7876736-04:00,2025-05-04T22:02:35.7876736Z,,v3,5431,495,,"Watson, Nolan",1000013269,Right,HP,b1879744-03ae-466a-9318-dfcbc0684f4d,53.9637,-130.0062,13.534,5.98923,-2.82469,-8.45822,-2.1718,8.80068,-6.05791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-04,18:02:47.62,2,4,"Backman, Brandon",1000057358,Right,HP,"Fuentes, Brian",1000059283,Right,LEX_LEG,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.69724,-0.899077,-3.608333,2365.813618,218.166041,1:15,5.9657,2.23535,6.76022,-19.2041,15.14261,11.063,3.5425,-0.14271,81.20412,-4.578421,-1.595343,0.421807,,,,,,,,,,,,-6.79118,8.57182,-2.00249,50,5.89902,7.70343,-128.80228,-2.51228,-11.43423,26.19024,-17.74182,HP,LEX_LEG,HighPoint,Independent,ATL,20250504-HighPoint-2,84138cb0-2933-11f0-b820-1722f762b73f,89.35938,,,7.49312,,,,,,,9652c3f3-2e70-4a69-8258-82277be37020,2025-05-04,22:02:47.62,2025-05-04T18:02:47.6214784-04:00,2025-05-04T22:02:47.6214784Z,,v3,5431,495,,"Watson, Nolan",1000013269,Right,HP,c61b3954-53b5-407f-bcb5-282734d1e6ec,53.73818,-129.56016,13.09512,5.96429,-1.99888,-8.87091,-2.2302,8.0343,-5.71711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-04,18:03:05.66,2,5,"Backman, Brandon",1000057358,Right,HP,"Fuentes, Brian",1000059283,Right,LEX_LEG,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.91535,-0.760999,-2.97475,2287.455962,212.635481,1:00,6.11042,2.16636,6.77658,-17.7593,16.15564,9.71477,3.93468,0.25739,81.86843,-4.1663,-1.204957,0.419147,,,,,,,,,,,,-5.87713,9.05,-1.97556,50,6.05355,6.35588,-129.27885,-2.15995,-10.02955,24.83779,-16.7299,HP,LEX_LEG,HighPoint,Independent,ATL,20250504-HighPoint-2,8ed21950-2933-11f0-b820-1722f762b73f,89.92644,,,7.04692,,,,,,,9652c3f3-2e70-4a69-8258-82277be37020,2025-05-04,22:03:05.66,2025-05-04T18:03:05.6618496-04:00,2025-05-04T22:03:05.6618496Z,,v3,5431,495,,"Watson, Nolan",1000013269,Right,HP,876f83af-f6d6-47e9-a61b-0bf831e89edc,53.72275,-129.99212,12.4189,6.10868,-1.67951,-8.36495,-2.16222,6.6439,-5.01478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-04,18:03:20.73,2,6,"Backman, Brandon",1000057358,Right,HP,"Fuentes, Brian",1000059283,Right,LEX_LEG,Undefined,1,Top,1,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.39925,-3.429949,-4.010563,2127.253206,214.164534,1:15,5.96892,2.21944,6.71985,-19.08269,14.61454,9.26056,1.23214,-0.68066,82.80876,-7.039556,-2.327442,0.4178,,,,,,,,,,,,-5.90339,8.88922,-1.95727,50,5.73359,8.75506,-129.67182,-8.30017,-10.16721,24.19321,-16.86438,HP,LEX_LEG,HighPoint,Independent,ATL,20250504-HighPoint-2,97d11ba0-2933-11f0-b820-1722f762b73f,90.21643,,,6.5905,,,,,,,9652c3f3-2e70-4a69-8258-82277be37020,2025-05-04,22:03:20.73,2025-05-04T18:03:20.7377408-04:00,2025-05-04T22:03:20.7377408Z,,v3,5431,495,,"Watson, Nolan",1000013269,Right,HP,b8d88627-d228-4cbc-b150-db5b2d3a1237,53.78128,-130.37539,12.0966,5.96784,-7.80973,-8.43219,-2.21618,9.05073,-5.08361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
