PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,19:54:52.31,1,1,"Kahaloa, Ian",663447,Right,SMD,"Wilson, Cody",680963,Right,HP,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.41092,-2.964622,-4.997416,2687.870119,202.029048,12:45,5.37037,2.48596,6.51157,-14.77131,17.73032,6.7117,1.40612,-1.55228,83.73525,-5.82221,-3.786362,0.410321,,,,,,,,,,,,-5.01843,10.51008,-2.13923,50,5.15592,11.40476,-133.58979,-7.30687,-8.98448,31.28,-13.35795,SMD,HP,RegencyFurnitureStadium,Independent,ATL,20250426-RegencyFurnitureStadium-1,d8ea7310-22f9-11f0-914c-415cb53ac77d,91.86081,,,8.67567,,,,,,,17029b56-e2ad-4492-a3b5-bc432e60bafe,2025-04-26,23:54:52.31,2025-04-26T19:54:52.3101184-04:00,2025-04-26T23:54:52.3101184Z,,v3,5433,5431,,"McCarthy, Ryan",811735,Right,SMD,7f69b483-34e7-4b48-b5cb-be7ff645c4d1,53.98386,-134.51938,15.64,5.36717,-6.9099,-6.67897,-2.48213,11.67176,-4.49224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-26,19:55:05.63,1,2,"Kahaloa, Ian",663447,Right,SMD,"Wilson, Cody",680963,Right,HP,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,92.5138,-1.558725,-3.266356,2648.376949,206.636817,1:00,5.48313,2.58542,6.13992,-15.04292,17.21158,8.13977,2.78637,0.2419,84.86091,-4.430977,-1.802124,0.408758,94.57467,20.454285,-7.629315,1533.858996,109.41614,35.24882,-11.31459,316.26077,304.29699,-3.103886,3.39318,-5.1015,9.63375,-2.34051,50,5.3563,7.32766,-134.2949,-4.09218,-9.35832,27.86388,-14.50174,SMD,HP,RegencyFurnitureStadium,Independent,ATL,20250426-RegencyFurnitureStadium-1,e0dc7230-22f9-11f0-914c-415cb53ac77d,92.21202,41.65424,,7.65289,,,,1.22189,2.81302,-0.21977,17029b56-e2ad-4492-a3b5-bc432e60bafe,2025-04-26,23:55:05.63,2025-04-26T19:55:05.6379392-04:00,2025-04-26T23:55:05.6379392Z,LineDrive,v3,5433,5431,,"McCarthy, Ryan",811735,Right,SMD,ea169399-84b5-49c4-9493-c2070a15ec3f,54.35923,-135.19634,13.93194,5.4811,-3.62302,-7.25087,-2.58247,7.63042,-4.67916,209.106189,1.22194,128.81152,-20.95289,5.36214,-1.11651,0.18723,-0.02113,0.00073,9E-05,2.81285,48.47944,-15.33403,-0.12139,0.20904,-0.02199,-0.0147,0.00551,-0.00056,-0.21979,-17.25387,7.64043,-2.19775,0.51495,-0.10134,0.01522,-0.00139,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
3,2025-04-26,19:55:44.49,2,1,"Kahaloa, Ian",663447,Right,SMD,"Gonzalez, Luis",8894175,Left,HP,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.84806,-2.138966,-5.615453,2232.994602,228.564268,1:30,5.2935,2.54985,6.27615,-21.34422,12.10174,12.55375,1.53277,-1.59675,83.5181,-6.14457,-3.361699,0.416239,,,,,,,,,,,,-7.95182,7.15756,-2.13969,50,5.12425,12.41105,-131.45174,-5.58852,-14.00828,26.08898,-19.56494,SMD,HP,RegencyFurnitureStadium,Independent,ATL,20250426-RegencyFurnitureStadium-1,f80b5a20-22f9-11f0-914c-415cb53ac77d,90.55469,,,7.32996,,,,,,,17029b56-e2ad-4492-a3b5-bc432e60bafe,2025-04-26,23:55:44.49,2025-04-26T19:55:44.4964352-04:00,2025-04-26T23:55:44.4964352Z,,v3,5433,5431,,"McCarthy, Ryan",811735,Right,SMD,6797523f-d3be-49b0-8395-92375198bdbc,54.2222,-132.28705,13.04449,5.29316,-4.96209,-9.78247,-2.54425,12.85956,-7.00414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-26,19:56:00.90,2,2,"Kahaloa, Ian",663447,Right,SMD,"Gonzalez, Luis",8894175,Left,HP,Undefined,1,Top,1,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.31509,-2.177949,-4.553183,2200.025878,229.726232,1:45,5.32622,2.60957,5.88613,-19.63824,12.31012,13.42961,1.65994,-0.50816,86.09801,-5.840414,-2.152872,0.406814,,,,,,,,,,,,-8.01134,7.13485,-2.2495,50,5.13856,10.18498,-135.23515,-5.82262,-14.99993,26.44433,-18.81521,SMD,HP,RegencyFurnitureStadium,Independent,ATL,20250426-RegencyFurnitureStadium-1,01d2b580-22fa-11f0-914c-415cb53ac77d,92.65276,,,7.21708,,,,,,,17029b56-e2ad-4492-a3b5-bc432e60bafe,2025-04-26,23:56:00.90,2025-04-26T19:56:00.9025536-04:00,2025-04-26T23:56:00.9025536Z,,v3,5433,5431,,"McCarthy, Ryan",811735,Right,SMD,02b4e2bd-0b8d-4f51-9cc1-fcf4f484fd18,54.61344,-136.13429,13.22217,5.32566,-5.18288,-9.4076,-2.60448,10.695,-7.49996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-26,19:56:19.40,2,3,"Kahaloa, Ian",663447,Right,SMD,"Gonzalez, Luis",8894175,Left,HP,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.8213,-1.648453,-4.814232,2659.534909,206.871283,1:00,5.40608,2.36325,6.2859,-15.73028,16.4521,7.80563,2.57022,-1.4335,84.61069,-4.65988,-3.411039,0.408301,,,,,,,,,,,,-5.38307,9.30772,-2.01128,50,5.27632,10.98638,-134.38997,-4.31409,-9.83237,29.46425,-15.1731,SMD,HP,RegencyFurnitureStadium,Independent,ATL,20250426-RegencyFurnitureStadium-1,0cd7e810-22fa-11f0-914c-415cb53ac77d,92.31528,,,8.21061,,,,,,,17029b56-e2ad-4492-a3b5-bc432e60bafe,2025-04-26,23:56:19.40,2025-04-26T19:56:19.4002432-04:00,2025-04-26T23:56:19.4002432Z,,v3,5433,5431,,"McCarthy, Ryan",811735,Right,SMD,4f40563f-c18e-4b62-ad0a-3f2ead28a3c6,54.21034,-135.30992,14.73212,5.40362,-3.84035,-7.58655,-2.35909,11.29337,-4.91619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-26,19:56:36.77,2,4,"Kahaloa, Ian",663447,Right,SMD,"Gonzalez, Luis",8894175,Left,HP,Undefined,1,Top,1,2,1,Sinker,Sinker,InPlay,Undefined,LineDrive,HomeRun,0,0,,90.93979,-1.756307,-5.10788,2210.797386,241.166349,2:00,5.36829,3.03646,6.07191,-23.2719,10.55461,17.14828,1.79682,-0.27353,82.94016,-6.11561,-2.034741,0.418601,102.92851,25.997292,18.455286,2333.935035,103.75759,50.08572,36.52893,407.08305,399.34488,20.711894,4.781014,-10.33512,6.26815,-2.64939,50,5.21937,11.05472,-131.62219,-4.80687,-18.0943,28.45938,-21.2,SMD,HP,RegencyFurnitureStadium,Independent,ATL,20250426-RegencyFurnitureStadium-1,1730ae00-22fa-11f0-914c-415cb53ac77d,90.04386,74.79618,,7.99963,,,,1.94421,1.93262,0.28634,17029b56-e2ad-4492-a3b5-bc432e60bafe,2025-04-26,23:56:36.77,2025-04-26T19:56:36.7772160-04:00,2025-04-26T23:56:36.7772160Z,FlyBall,v3,5433,5431,,"McCarthy, Ryan",811735,Right,SMD,bf00dfc4-dfc6-4a45-819c-fb61e315aae7,54.4274,-132.57603,14.22969,5.36857,-4.09634,-10.6,-3.03006,11.66117,-9.04715,195.625995,1.94653,128.65766,-25.69415,6.7199,-1.32412,0.18381,-0.01739,0.00135,-7E-05,1.93245,66.16895,-15.28661,-0.54219,0.63798,-0.26261,0.06679,-0.0091,0.0005,0.28658,42.95003,-4.6999,0.51297,0.02807,-0.02227,0.00305,-3E-05,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-04-26,19:57:27.25,3,1,"Kahaloa, Ian",663447,Right,SMD,"Aklinski, Ben",679701,Right,HP,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,LineDrive,Double,0,0,,82.47961,0.144085,-3.393955,2294.369848,122.5415,10:00,5.35338,2.89219,5.89098,-37.51915,3.42106,-3.48418,2.3608,-0.55308,76.10926,-6.757357,-4.017595,0.460518,82.64551,9.159282,-39.912556,3132.977665,,,,125.48966,122.35185,-44.472361,1.175393,0.90658,2.01854,-2.6164,50,5.34304,7.23136,-119.74134,-0.90707,1.32199,22.17763,-29.23059,SMD,HP,RegencyFurnitureStadium,Independent,ATL,20250426-RegencyFurnitureStadium-1,35479f20-22fa-11f0-914c-415cb53ac77d,81.84795,7.69354,,6.37035,,,,3.7327,2.98325,0.0398,17029b56-e2ad-4492-a3b5-bc432e60bafe,2025-04-26,23:57:27.25,2025-04-26T19:57:27.2590000-04:00,2025-04-26T23:57:27.2590000Z,GroundBall,v3,5433,5431,,"McCarthy, Ryan",811735,Right,SMD,f6f77f5b-1c03-4dec-aa1d-0bf76202f542,54.60943,-120.59204,11.08882,5.35633,0.21417,-14.6153,-2.89281,7.18065,0.661,,3.7327,91.78819,-19.15895,3.41446,-0.71269,0.10928,-0.01286,0.00013,0.00029,2.98325,19.29471,-20.78775,2.32346,-0.47252,0.09973,-0.01681,0.00237,-0.00019,0.0398,-76.78077,0.41245,1.54184,-0.55739,0.15844,-0.03143,0.00389,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-04-26,19:58:18.57,4,1,"Kahaloa, Ian",663447,Right,SMD,"Edwards, Evan",657212,Left,HP,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.81017,0.149571,-2.724659,2370.417381,146.954128,11:00,5.41097,2.52352,5.84999,-31.76104,5.76756,-3.09768,2.90336,-0.26828,79.65542,-5.69642,-3.279213,0.440913,,,,,,,,,,,,0.93748,3.24051,-2.30013,50,5.40441,6.05969,-124.715,-0.74648,1.49742,21.75558,-26.99804,SMD,HP,RegencyFurnitureStadium,Independent,ATL,20250426-RegencyFurnitureStadium-1,53f244c0-22fa-11f0-914c-415cb53ac77d,85.48733,,,6.15475,,,,,,,17029b56-e2ad-4492-a3b5-bc432e60bafe,2025-04-26,23:58:18.57,2025-04-26T19:58:18.5786368-04:00,2025-04-26T23:58:18.5786368Z,,v3,5433,5431,,"McCarthy, Ryan",811735,Right,SMD,d1080400-c029-4a1d-b5c8-570b936c9ac7,54.64921,-125.5234,10.87779,5.41351,0.25672,-13.49902,-2.52426,6.00405,0.74871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-26,19:58:36.92,4,2,"Kahaloa, Ian",663447,Right,SMD,"Edwards, Evan",657212,Left,HP,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.66055,-2.380326,-1.997488,2529.210532,194.507844,12:30,5.46256,2.39647,6.53635,-14.58572,18.05777,4.39051,2.06122,0.92947,83.41374,-5.205415,-1.200363,0.411216,,,,,,,,,,,,-2.88142,10.48756,-2.25969,50,5.29081,4.46346,-133.04966,-5.88878,-5.13606,30.04262,-13.48027,SMD,HP,RegencyFurnitureStadium,Independent,ATL,20250426-RegencyFurnitureStadium-1,5ed12aa0-22fa-11f0-914c-415cb53ac77d,91.66099,,,8.24681,,,,,,,17029b56-e2ad-4492-a3b5-bc432e60bafe,2025-04-26,23:58:36.92,2025-04-26T19:58:36.9276416-04:00,2025-04-26T23:58:36.9276416Z,,v3,5433,5431,,"McCarthy, Ryan",811735,Right,SMD,9a225fbc-fe96-461a-9d30-7600040e7962,53.9599,-133.94082,15.02131,5.45956,-5.48891,-6.74013,-2.39435,4.61581,-2.56803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-26,19:58:54.95,4,3,"Kahaloa, Ian",663447,Right,SMD,"Edwards, Evan",657212,Left,HP,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.80262,-1.065984,-4.469296,2550.30537,204.554529,12:45,5.5205,2.49973,6.36061,-13.75891,18.54375,7.95922,3.3898,-0.9584,83.89469,-3.746236,-3.035456,0.409063,76.2917,7.082822,163.315647,2475.699999,,,,,50.29058,,,-5.38296,10.20579,-2.17845,50,5.43583,10.1394,-134.3132,-2.82162,-9.7543,31.27265,-13.68046,SMD,HP,RegencyFurnitureStadium,Independent,ATL,20250426-RegencyFurnitureStadium-1,697c0830-22fa-11f0-914c-415cb53ac77d,92.14328,10.09438,,8.90793,,,,,,,17029b56-e2ad-4492-a3b5-bc432e60bafe,2025-04-26,23:58:54.95,2025-04-26T19:58:54.9580000-04:00,2025-04-26T23:58:54.9580000Z,,v3,5433,5431,,"McCarthy, Ryan",811735,Right,SMD,8d012868-2e0a-4844-a0d4-9b3cf15f6d5f,54.1307,-135.27155,15.63633,5.51587,-2.40238,-6.84023,-2.49376,10.43832,-4.87715,193.958859,-2.97632,-106.27279,9.33972,,,,,,,3.6483,14.0935,0.92311,,,,,,,0.84194,31.75136,-7.1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
